1 1:181.95859 2:2.5975144 3:5.7405972 4:0.6007123 5:3.7665439 6:-2.0441139 7:2.8384943 8:-0.7039452 9:3.3240223 10:-2.2909083 11:2.0937884 12:-2.589059 13:2.517044 14:181.95859 15:2.5975144 16:5.7405972 17:0.6007123 18:3.7665439 19:-2.0441139 20:2.8384943 21:-0.7039452 22:3.3240223 23:-2.2909083 24:2.0937884 25:-2.589059 26:2.517044 
1 1:238.61327 2:3.4254403 3:9.010341 4:0.1486918 5:7.07626 6:-0.6682257 7:0.6008366 8:-1.7401166 9:3.1243982 10:-1.5180427 11:6.2607574 12:0.37357464 13:5.3599153 14:238.61327 15:3.4254403 16:9.010341 17:0.1486918 18:7.07626 19:-0.6682257 20:0.6008366 21:-1.7401166 22:3.1243982 23:-1.5180427 24:6.2607574 25:0.37357464 26:5.3599153 
1 1:234.3388 2:3.049792 3:7.6721306 4:-0.65029496 5:2.6264956 6:-0.3143293 7:5.269275 8:-0.45072138 9:4.006402 10:-1.589096 11:5.3865976 12:-2.8118398 13:2.8422298 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:242.38017 2:-1.0399051 3:10.465358 4:-2.4786055 5:3.7557378 6:1.2882546 7:3.203056 8:1.639794 9:0.84662753 10:-0.28904125 11:3.3694932 12:-1.0651106 13:3.2614727 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:247.21182 2:-6.4254756 3:12.673167 4:-5.68084 5:5.086013 6:2.9525113 7:-0.8478551 8:-0.10051359 9:-0.597454 10:-0.38479567 11:1.272616 12:-0.12256302 13:2.4232666 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:235.76006 2:2.173803 3:11.759918 4:-2.27778 5:6.765695 6:0.31760186 7:0.6680262 8:-0.8757249 9:2.3243823 10:-1.6097368 11:2.8248403 12:-1.2011667 13:3.4739556 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:233.06535 2:4.024289 3:8.881865 4:-1.9303828 5:7.657187 6:1.0548228 7:6.2445025 8:0.36735937 9:1.0162109 10:-4.769966 11:4.9508286 12:-1.640263 13:2.0408924 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:233.90198 2:1.9566991 3:6.7581263 4:-1.9029967 5:3.028115 6:-2.0163393 7:3.1514676 8:-1.004156 9:1.2789445 10:-3.8001387 11:4.385759 12:-1.9262837 13:2.2455318 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:233.79329 2:3.1056664 3:9.040742 4:-0.8906369 5:2.3216035 6:0.1827575 7:4.6234183 8:-2.5826259 9:2.7822113 10:-1.1552372 11:4.6176467 12:-1.6782868 13:2.941145 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:232.49927 2:1.8685225 3:9.019437 4:-0.82649374 5:2.9500422 6:1.8034672 7:7.1574836 8:-1.0521327 9:1.5421125 10:0.10296578 11:4.6477623 12:-2.4983857 13:1.7546941 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
1 1:233.73242 2:3.03725 3:10.850348 4:2.8269753 5:4.103274 6:-0.34669727 7:5.457946 8:-0.16737223 9:3.7112355 10:-1.305233 11:4.319318 12:-3.1425452 13:2.1783113 14:89.68118 15:7.019682 16:4.8749485 17:-0.2193007 18:2.2649248 19:-3.5845401 20:1.5050964 21:-1.3944297 22:1.4533386 23:1.1146672 24:2.2131522 25:-1.9278475 26:1.1073921 
