1 1:138.26393 2:0.11307597 3:3.838918 4:-2.565769 5:5.1489964 6:0.9302707 7:-3.574239 8:-4.26316 9:0.8421218 10:-1.135742 11:6.7079635 12:-4.2373905 13:1.7767861 14:138.26393 15:0.11307597 16:3.838918 17:-2.565769 18:5.1489964 19:0.9302707 20:-3.574239 21:-4.26316 22:0.8421218 23:-1.135742 24:6.7079635 25:-4.2373905 26:1.7767861 
1 1:235.06134 2:7.638781 3:10.033935 4:0.23110552 5:6.0219564 6:-2.3542044 7:0.06490821 8:-1.8860942 9:1.6068171 10:-3.4636848 11:6.1933346 12:-3.2919633 13:2.679935 14:235.06134 15:7.638781 16:10.033935 17:0.23110552 18:6.0219564 19:-2.3542044 20:0.06490821 21:-1.8860942 22:1.6068171 23:-3.4636848 24:6.1933346 25:-3.2919633 26:2.679935 
1 1:234.8998 2:5.656076 3:6.9017706 4:-3.044825 5:1.9013895 6:0.115875065 7:2.6513174 8:-3.1683502 9:1.2613348 10:-3.129046 11:5.3067007 12:-3.7971263 13:1.6376235 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:236.82678 2:6.5902734 3:6.8933825 4:-2.1006088 5:2.392341 6:-0.600624 7:3.4745781 8:-3.261525 9:1.4156662 10:-4.1952925 11:4.2035995 12:-3.8763993 13:1.4747151 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:240.07141 2:6.219376 3:10.409541 4:-1.6273422 5:3.8357177 6:-1.7832341 7:0.030371472 8:-4.2631993 9:2.640894 10:-4.820999 11:4.316639 12:-1.9113803 13:3.2289605 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:240.8391 2:5.213869 3:8.94722 4:-0.83572066 5:4.3374133 6:-2.1099377 7:1.5342872 8:-3.6700413 9:3.3847287 10:-3.3172836 11:4.6452737 12:-1.8394368 13:3.6578069 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:244.76923 2:6.61135 3:11.380544 4:-0.35039553 5:5.681444 6:-0.9009836 7:0.29557794 8:-4.616783 9:2.7031147 10:-3.6655374 11:4.861633 12:-3.2233026 13:0.97760755 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:241.89774 2:3.4412186 3:9.646709 4:-0.004275734 5:5.939182 6:1.3472592 7:2.5272117 8:-3.2691886 9:3.4656756 10:-4.5901484 11:4.187947 12:-1.5898257 13:1.4991428 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:240.73825 2:6.1400976 3:10.0325775 4:-1.4013032 5:3.2872505 6:0.29689866 7:2.7913008 8:-4.1771426 9:2.0327878 10:-1.7835846 11:3.0220332 12:-2.9812887 13:4.411219 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:251.42609 2:8.914765 3:14.266218 4:-2.1101325 5:0.5241106 6:2.021933 7:3.210933 8:-3.998198 9:5.5725756 10:-4.5286713 11:2.0327346 12:-1.7599822 13:3.0887055 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:266.93402 2:10.392941 3:14.399381 4:-2.872438 5:1.6544778 6:0.09904607 7:4.082427 8:-2.9194884 9:6.3448424 10:-4.8325214 11:2.6256056 12:-0.68606687 13:3.3550947 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:264.66672 2:6.0675826 3:12.114771 4:-0.5254065 5:4.4027376 6:-1.2886947 7:1.9676548 8:-2.7709308 9:3.2158031 10:-5.011558 11:3.2340124 12:-1.0074552 13:2.2133076 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
