1 1:210.1416 2:9.497702 3:10.091044 4:-1.0184137 5:4.049404 6:-1.1623931 7:5.223008 8:-1.2583708 9:0.48997983 10:-3.6469302 11:6.412092 12:-5.671428 13:2.4515276 14:210.1416 15:9.497702 16:10.091044 17:-1.0184137 18:4.049404 19:-1.1623931 20:5.223008 21:-1.2583708 22:0.48997983 23:-3.6469302 24:6.412092 25:-5.671428 26:2.4515276 
1 1:226.08528 2:4.816009 3:6.4892936 4:-0.52917796 5:4.665249 6:-1.4026184 7:2.3657968 8:-2.0740592 9:2.8007202 10:-2.3293252 11:5.461331 12:-4.875945 13:2.9132876 14:226.08528 15:4.816009 16:6.4892936 17:-0.52917796 18:4.665249 19:-1.4026184 20:2.3657968 21:-2.0740592 22:2.8007202 23:-2.3293252 24:5.461331 25:-4.875945 26:2.9132876 
1 1:231.27487 2:5.6437573 3:6.441082 4:-1.2611812 5:5.0459166 6:-2.2379503 7:3.434123 8:0.47026825 9:1.9676732 10:-4.182197 11:3.6130269 12:-4.7171764 13:3.30331 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:232.22289 2:7.010018 3:7.4158564 4:-2.6801589 5:4.6102104 6:-0.3529906 7:2.3238885 8:-1.8420813 9:3.3935075 10:-2.3297725 11:4.207067 12:-3.6682127 13:3.2684448 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:228.55751 2:3.410563 3:7.4351864 4:1.9631919 5:3.6545014 6:-3.1549428 7:-0.41549024 8:-3.2870328 9:2.4745784 10:-0.8604982 11:8.025562 12:-2.7896762 13:3.7861478 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:229.27505 2:3.5371802 3:6.0658584 4:0.5752314 5:4.0739145 6:-0.9384553 7:0.6585349 8:-0.22321223 9:4.4658914 10:-2.0252247 11:7.8156576 12:-3.680415 13:4.5750875 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:231.3611 2:6.687448 3:10.135806 4:0.7920558 5:6.0522003 6:-1.4979957 7:0.6852531 8:-3.8643484 9:3.0726714 10:-3.04628 11:5.5510483 12:-1.9910098 13:1.8833708 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:232.3493 2:7.8125787 3:9.093753 4:-0.78403485 5:5.042889 6:-2.1163027 7:1.905839 8:-2.294304 9:3.6502254 10:-3.2120717 11:7.0419326 12:-2.433017 13:2.1084876 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:230.04623 2:6.2256455 3:7.4869785 4:-1.1436452 5:3.2210262 6:-3.381835 7:2.3042665 8:-2.0968134 9:4.3791494 10:-1.3974454 11:7.382181 12:-1.2848849 13:4.138536 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:228.57967 2:5.161581 3:7.5150423 4:-0.8967648 5:3.3037124 6:-1.8275343 7:2.4961596 8:-1.7539481 9:5.086683 10:-1.5747876 11:5.897295 12:-1.4876734 13:4.2468867 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
1 1:231.40407 2:8.55582 3:7.881509 4:1.0724322 5:4.704242 6:0.055470888 7:2.5234077 8:-1.9379174 9:3.970071 10:-1.1174887 11:6.6852336 12:-3.1193461 13:5.1021724 14:85.764145 15:4.3617463 16:2.8098907 17:2.103249 18:3.798768 19:-1.4133316 20:1.5662197 21:-0.8533763 22:1.0439084 23:0.022579188 24:2.2110143 25:-1.7822105 26:1.00402 
