1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:228.85248 2:8.504756 3:12.472748 4:1.4891751 5:7.304783 6:1.6650795 7:6.2293906 8:-2.8776343 9:6.3964553 10:-3.1132224 11:5.152353 12:-1.732546 13:2.4776952 14:228.85248 15:8.504756 16:12.472748 17:1.4891751 18:7.304783 19:1.6650795 20:6.2293906 21:-2.8776343 22:6.3964553 23:-3.1132224 24:5.152353 25:-1.732546 26:2.4776952 
1 1:232.14354 2:7.9621725 3:15.571165 4:2.3197045 5:8.033537 6:2.7239387 7:7.0305967 8:-4.7693877 9:4.328746 10:-2.5886216 11:4.7282066 12:-1.0975344 13:3.2742312 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:234.03639 2:8.38223 3:14.523393 4:2.0752678 5:5.1312366 6:0.5812547 7:4.6590295 8:-5.277941 9:4.7464294 10:-1.9601749 11:6.1466193 12:-1.2995422 13:2.0782425 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:237.71443 2:10.123136 3:14.907239 4:-0.59192705 5:5.2859173 6:1.8691843 7:6.256543 8:-4.289865 9:5.6971292 10:-4.2209496 11:4.602093 12:0.03767639 13:2.8047497 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:233.90614 2:9.865417 3:14.5164995 4:1.2146531 5:8.155327 6:2.6388857 7:4.9980903 8:-5.630335 9:4.6665883 10:-3.4362664 11:6.9447665 12:-0.32738304 13:3.3783145 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:235.29237 2:10.134375 3:13.276883 4:1.4197842 5:9.086908 6:1.8294517 7:4.2332706 8:-4.8063207 9:4.35182 10:-2.6899168 11:7.7354565 12:-1.219448 13:4.1303587 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:232.94945 2:8.9767685 3:12.982398 4:0.4885464 5:8.677223 6:1.424373 7:5.0235143 8:-2.2581432 9:4.9657216 10:-1.90751 11:7.6608615 12:-1.7818971 13:5.6295543 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:232.93265 2:11.381216 3:16.184565 4:0.0012511818 5:6.6695156 6:2.888102 7:6.4457345 8:-3.3465474 9:3.7787688 10:-2.0876777 11:7.041133 12:-1.6654952 13:5.0233116 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:230.00568 2:9.332682 3:15.549496 4:0.4592308 5:7.885312 6:1.907645 7:5.6567273 8:-2.9368682 9:4.7852774 10:-0.7086883 11:5.8792768 12:-1.9915127 13:4.583627 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:232.66664 2:9.693032 3:14.147284 4:-0.988387 5:6.043035 6:1.7941093 7:7.2373614 8:0.14086962 9:6.0323315 10:-1.7318708 11:7.437817 12:-3.889767 13:4.3576813 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:230.12071 2:9.740398 3:13.89751 4:-2.109178 5:4.6545477 6:3.5486896 7:7.4587646 8:-1.2886182 9:3.8135552 10:-2.2557983 11:7.257638 12:-3.575631 13:5.6660924 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:227.32213 2:9.911343 3:11.260505 4:-1.746852 5:5.154001 6:1.2574329 7:8.154259 8:-0.7461264 9:5.8660855 10:-1.8661283 11:6.519865 12:-1.6615717 13:5.659016 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:228.09169 2:8.858446 3:13.459522 4:-0.577348 5:7.190915 6:1.7242317 7:6.979321 8:-0.21219236 9:6.9669642 10:-1.5351579 11:6.4499645 12:-2.0275881 13:3.4784827 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:227.71251 2:5.450924 3:10.258708 4:1.32043 5:5.954001 6:1.9781905 7:6.7142735 8:-1.9691592 9:5.6977754 10:-2.6416202 11:5.4653907 12:0.06833501 13:4.587699 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:238.43585 2:0.78811365 3:8.768303 4:4.6244884 5:3.7975314 6:0.5564388 7:6.6317782 8:-1.7591246 9:2.7544262 10:-3.4507246 11:3.0465908 12:-1.5728084 13:2.749394 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:284.06973 2:-18.390718 3:4.2911415 4:9.848783 5:4.973443 6:1.6298343 7:9.450462 8:-4.145939 9:1.4652095 10:-0.22324729 11:4.5691943 12:-2.2382479 13:1.7123425 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:277.48276 2:-14.143449 3:7.9072165 4:9.328963 5:4.683075 6:3.7675052 7:10.965986 8:-2.944434 9:2.1654515 10:-0.6438575 11:4.548411 12:-3.182444 13:2.702093 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:236.28957 2:6.3910584 3:10.679103 4:1.7226161 5:6.7397475 6:3.750601 7:9.562088 8:-0.788645 9:6.661436 10:-1.299179 11:5.1611004 12:-4.9233065 13:3.281669 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:236.4153 2:6.2548923 3:10.370799 4:0.22598372 5:5.0568757 6:3.8518662 7:7.016473 8:-3.7720761 9:6.3813987 10:-1.8116208 11:4.861701 12:-3.7389963 13:4.5986023 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:237.63377 2:6.892138 3:10.648081 4:2.555475 5:2.5149617 6:1.4040192 7:5.481255 8:-4.083093 9:3.4435456 10:-1.8453767 11:5.742907 12:-3.2122793 13:6.1516037 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:243.46596 2:6.968681 3:9.573669 4:4.075925 5:4.746319 6:1.4404825 7:7.8903275 8:-1.1536157 9:3.8331387 10:-3.5492384 11:7.321509 12:-3.7051141 13:4.4772954 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:237.34683 2:9.8509245 3:10.008492 4:2.9846363 5:6.9318614 6:3.0767004 7:8.943839 8:-4.343352 9:4.2292686 10:-3.3674378 11:6.0410624 12:-3.2536561 13:3.916849 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:235.94566 2:11.406461 3:12.421038 4:0.71456194 5:6.157846 6:4.931587 7:8.051533 8:-5.8692365 9:5.403079 10:-2.605643 11:5.3651013 12:-3.011255 13:5.833101 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:236.30246 2:10.574553 3:10.727321 4:-0.9472449 5:6.3693194 6:2.9659061 7:7.136803 8:-2.7202983 9:3.678936 10:-3.205522 11:6.018081 12:-3.4854693 13:5.4506245 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:231.57195 2:10.197046 3:9.677265 4:-2.5371475 5:3.3076856 6:1.3569857 7:5.7048154 8:-1.4177551 9:4.915839 10:-3.5989566 11:5.9198394 12:-1.7322093 13:5.8855114 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:233.22488 2:8.784186 3:8.947943 4:-1.3728954 5:5.2688107 6:0.9737262 7:7.377617 8:-2.8238342 9:4.269041 10:-1.9874312 11:4.508609 12:-3.9856992 13:5.1424046 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:242.45013 2:7.73646 3:9.015732 4:-0.008032337 5:7.1504164 6:-0.6391227 7:7.38849 8:-3.7635865 9:4.2567987 10:-0.23325607 11:4.956805 12:-3.9787974 13:3.7530823 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:226.69421 2:10.319186 3:10.746142 4:0.8731307 5:7.4423223 6:0.4641039 7:7.9567456 8:-1.3183706 9:4.1900105 10:-3.3103485 11:6.109593 12:-1.2265407 13:6.048299 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:226.41869 2:9.868935 3:10.458754 4:2.0290174 5:7.2554727 6:1.030844 7:5.234595 8:-2.7214034 9:4.5594807 10:-3.6601605 11:6.2563725 12:-2.5508564 13:5.411894 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:226.95697 2:7.8196898 3:11.333065 4:-0.35606325 5:4.578036 6:1.7517235 7:4.0601463 8:-4.239684 9:3.6495612 10:-0.9132536 11:6.3455787 12:-1.7613082 13:3.8093653 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
1 1:228.74594 2:8.527783 3:10.639108 4:-0.87273335 5:4.0199633 6:1.4393051 7:7.657035 8:-3.053136 9:4.255801 10:-1.0670937 11:6.9224763 12:-2.553298 13:3.3653367 14:85.99464 15:4.8403463 16:0.9658609 17:0.7938177 18:4.6889787 19:-0.29603553 20:1.5038038 21:-1.6220803 22:1.4888084 23:-1.2669216 24:0.80908346 25:-0.97278893 26:2.1423998 
