1 1:157.50935 2:-3.783868 3:8.494298 4:-3.4425433 5:6.9231257 6:-4.045148 7:-1.5862058 8:-3.2917533 9:-0.124139875 10:0.66218454 11:2.7127328 12:-0.29237196 13:1.7547241 14:157.50935 15:-3.783868 16:8.494298 17:-3.4425433 18:6.9231257 19:-4.045148 20:-1.5862058 21:-3.2917533 22:-0.124139875 23:0.66218454 24:2.7127328 25:-0.29237196 26:1.7547241 
1 1:234.8332 2:-0.31296358 3:13.996276 4:-2.321045 5:6.671232 6:0.94382113 7:2.4858534 8:-1.0960788 9:2.3234782 10:-2.0886548 11:2.0251377 12:-1.0267957 13:3.8868775 14:234.8332 15:-0.31296358 16:13.996276 17:-2.321045 18:6.671232 19:0.94382113 20:2.4858534 21:-1.0960788 22:2.3234782 23:-2.0886548 24:2.0251377 25:-1.0267957 26:3.8868775 
1 1:229.75307 2:1.3768108 3:10.364276 4:-1.3834687 5:7.508212 6:-1.1436417 7:1.0984446 8:-1.3730242 9:4.623794 10:-2.4876719 11:2.8736513 12:-0.07961691 13:1.8984995 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:224.73805 2:2.2386837 3:9.139261 4:-2.7474983 5:5.7221823 6:-0.49911892 7:2.0795925 8:-0.43814248 9:3.490286 10:-3.9139688 11:3.169213 12:-0.99325526 13:3.2995918 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:222.1975 2:4.859003 3:12.332151 4:-3.2229867 5:4.2667046 6:-1.0484128 7:2.4715307 8:-1.1985207 9:1.849626 10:-1.1816298 11:5.3892326 12:-1.8489991 13:2.4273062 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:221.18044 2:3.160997 3:12.829925 4:-1.8705544 5:6.590831 6:1.4500875 7:3.8577137 8:-0.96214896 9:1.7039614 10:-2.5005932 11:4.9768825 12:-0.07621729 13:3.1159904 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:229.52019 2:2.2776 3:13.88254 4:1.6698067 5:3.286502 6:-0.18379852 7:2.9483497 8:-3.4585147 9:3.8092704 10:-2.090096 11:1.9683591 12:-1.9649607 13:3.9194458 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:244.72946 2:-7.3461494 3:12.149427 4:5.3883677 5:1.114755 6:0.8223839 7:7.4564767 8:-2.063701 9:3.4849718 10:-1.0296443 11:2.0482974 12:0.47470507 13:4.543172 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:249.20052 2:-12.027255 3:8.528152 4:1.3326148 5:-2.3824651 6:2.3382769 7:8.335856 8:-5.3782067 9:-1.2287264 10:-2.8373804 11:4.229992 12:1.2814745 13:4.394015 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:240.44406 2:-11.644523 3:12.461382 4:0.5131575 5:-0.060766682 6:6.6130342 7:5.0916934 8:-3.003448 9:0.7015785 10:-2.45687 11:2.6106305 12:0.07630269 13:4.4964795 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:218.69049 2:4.609732 3:9.748939 4:-2.5400462 5:3.3749092 6:0.63245213 7:3.0377276 8:-2.1995194 9:4.296261 10:-3.8512373 11:4.772268 12:-1.2427493 13:6.061698 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
