1 1:169.99437 2:-2.974522 3:4.785626 4:-1.7625918 5:3.5072312 6:0.44809905 7:5.207121 8:1.8304282 9:1.4743685 10:-5.698346 11:-0.49073935 12:-1.3225447 13:2.681752 14:169.99437 15:-2.974522 16:4.785626 17:-1.7625918 18:3.5072312 19:0.44809905 20:5.207121 21:1.8304282 22:1.4743685 23:-5.698346 24:-0.49073935 25:-1.3225447 26:2.681752 
1 1:220.91925 2:5.016624 3:9.967516 4:-1.3794562 5:6.1658616 6:2.0528746 7:1.6507419 8:-3.2465713 9:0.87532955 10:-3.467763 11:4.1280694 12:-1.10097 13:4.7541904 14:220.91925 15:5.016624 16:9.967516 17:-1.3794562 18:6.1658616 19:2.0528746 20:1.6507419 21:-3.2465713 22:0.87532955 23:-3.467763 24:4.1280694 25:-1.10097 26:4.7541904 
1 1:228.32172 2:9.195241 3:14.072752 4:-0.8209471 5:4.512453 6:-1.5811912 7:2.7388766 8:-5.1287584 9:0.8844082 10:-4.7982574 11:3.270394 12:-3.1958458 13:3.4628966 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:226.24213 2:8.206275 3:13.034837 4:0.51962924 5:5.6596236 6:-0.38368976 7:3.2136633 8:-4.4409404 9:1.5005301 10:-5.3891835 11:3.7308362 12:-1.2557874 13:4.1848598 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:220.59654 2:6.3909826 3:10.240543 4:-2.5305996 5:3.8488798 6:0.13441041 7:2.559084 8:-2.2212954 9:3.25347 10:-1.6763046 11:4.366297 12:-1.4614018 13:4.2765894 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:218.7496 2:5.0597944 3:10.284843 4:-2.883591 5:4.092011 6:0.2730224 7:1.5735847 8:-1.5890055 9:4.0253434 10:-1.5882381 11:3.9540486 12:-3.171314 13:5.492175 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:221.51936 2:5.450697 3:9.976759 4:-1.34122 5:4.375266 6:-0.12146686 7:2.6485016 8:-3.8783796 9:0.7882047 10:-2.752047 11:3.0444589 12:-4.3757706 13:4.4005075 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:221.12102 2:5.169149 3:9.050887 4:-2.9685256 5:2.9143317 6:-0.8693254 7:2.2308254 8:-2.137241 9:1.2204177 10:-3.6409163 11:3.0549295 12:-2.6759796 13:5.2004304 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:217.80553 2:3.2951107 3:9.951245 4:-0.22951543 5:3.636532 6:-3.3384626 7:1.7241741 8:-0.6299414 9:2.8390381 10:-3.7372484 11:3.1311796 12:-2.7470548 13:3.52179 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:218.08 2:4.408525 3:9.964957 4:-0.11621346 5:5.9058914 6:-0.68967336 7:3.6421564 8:0.48100975 9:4.9005814 10:-2.0250528 11:3.5201638 12:-2.4082263 13:4.401139 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
1 1:223.98817 2:6.829295 3:12.849389 4:0.5803776 5:3.419257 6:-0.46407133 7:3.5807571 8:-1.629639 9:3.352435 10:-3.554417 11:3.4909127 12:-3.9056058 13:4.5792117 14:87.41686 15:5.186891 16:0.520644 17:1.639829 18:4.2826056 19:-1.7453126 20:2.1949615 21:-2.0424302 22:0.08050327 23:0.043689486 24:1.3519078 25:-1.5581756 26:2.6466815 
