1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:267.537 2:-7.8214397 3:7.952934 4:3.3108025 5:2.3554642 6:-2.5916297 7:3.2643442 8:-2.6540887 9:1.490836 10:-1.4819262 11:0.53730106 12:1.1372659 13:3.8436491 14:267.537 15:-7.8214397 16:7.952934 17:3.3108025 18:2.3554642 19:-2.5916297 20:3.2643442 21:-2.6540887 22:1.490836 23:-1.4819262 24:0.53730106 25:1.1372659 26:3.8436491 
1 1:258.32037 2:-3.6140864 3:4.9493184 4:-0.9205434 5:3.5671108 6:-0.89530593 7:3.3930447 8:-1.1817987 9:1.6288167 10:-1.658658 11:2.6883655 12:0.1668015 13:1.4459796 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:256.4572 2:-2.4804773 3:5.3480167 4:-1.0594596 5:2.390589 6:-1.7412186 7:4.0969195 8:-0.2731719 9:1.738958 10:-0.61760306 11:2.86511 12:-1.5840807 13:1.0555855 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:262.75162 2:-5.4542356 3:7.165461 4:3.037819 5:3.5698445 6:-2.779189 7:4.2160025 8:-3.43554 9:0.025376774 10:0.4307177 11:2.5221062 12:-2.1690886 13:0.753494 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:257.26642 2:-5.060582 3:5.802329 4:2.166951 5:2.4479773 6:-0.53580135 7:5.8263392 8:-2.7890296 9:1.4699703 10:-0.5194198 11:2.5659585 12:-1.5128198 13:0.6866812 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:260.98096 2:-2.125635 3:7.0124598 4:1.2045413 5:1.7754627 6:-3.156936 7:4.014661 8:-2.800683 9:-2.4263766 10:-1.712535 11:4.474621 12:-0.35546708 13:3.1574478 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:255.79416 2:-3.7775567 3:4.4104786 4:-1.0849919 5:0.49668387 6:-1.2579848 7:2.863782 8:-3.0502846 9:-1.0763798 10:-2.0958655 11:2.857319 12:-2.8430276 13:2.77085 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:251.1234 2:-4.6378937 3:3.801919 4:-0.57094413 5:5.8781166 6:0.26825657 7:1.9538729 8:-3.4179578 9:-0.0032883035 10:-3.8816125 11:-0.41614547 12:-2.922026 13:2.440051 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:250.09026 2:-3.816322 3:5.5912075 4:0.88813424 5:4.9391 6:0.25712293 7:2.3329873 8:-3.3005283 9:-0.74617934 10:-4.6282406 11:0.43530992 12:-3.4184241 13:3.01994 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
1 1:245.735 2:-2.4519534 3:6.614417 4:-0.012662474 5:3.6558635 6:-1.4880599 7:2.6437697 8:-2.0280735 9:2.0966566 10:0.10128831 11:4.721001 12:-1.3928248 13:3.3556626 14:85.16969 15:4.2574296 16:0.9946663 17:0.556975 18:4.9921227 19:0.29361197 20:0.6000933 21:-2.3330524 22:1.6161197 23:-1.381708 24:1.8555926 25:-1.077646 26:0.5902732 
