1 1:139.56323 2:0.18047906 3:8.966764 4:4.7764263 5:4.605223 6:-9.381582 7:-0.85071707 8:-4.8607645 9:5.6214004 10:0.60363793 11:0.130521 12:-3.0416403 13:1.5306382 14:139.56323 15:0.18047906 16:8.966764 17:4.7764263 18:4.605223 19:-9.381582 20:-0.85071707 21:-4.8607645 22:5.6214004 23:0.60363793 24:0.130521 25:-3.0416403 26:1.5306382 
1 1:253.06273 2:3.5207264 3:3.2092783 4:-4.801922 5:3.596218 6:1.0781891 7:4.538739 8:-1.7262316 9:1.7124442 10:-4.572085 11:2.6711564 12:-2.1444736 13:3.4037988 14:253.06273 15:3.5207264 16:3.2092783 17:-4.801922 18:3.596218 19:1.0781891 20:4.538739 21:-1.7262316 22:1.7124442 23:-4.572085 24:2.6711564 25:-2.1444736 26:3.4037988 
1 1:250.13107 2:4.3573475 3:4.991114 4:-1.0988613 5:4.661049 6:-2.0001123 7:4.0383477 8:-1.3470274 9:3.5536804 10:-3.3403096 11:3.9742377 12:-1.8616343 13:2.6800067 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:244.99509 2:3.5830257 3:4.179565 4:-2.7548022 5:4.448515 6:-1.3657836 7:3.4632244 8:-1.4314761 9:0.90461296 10:-2.64315 11:3.831836 12:-2.6986206 13:2.9743881 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:240.12355 2:2.88824 3:5.6411858 4:-3.5772846 5:0.4502842 6:-2.3767455 7:6.209661 8:-0.93477225 9:1.5224749 10:-2.6556983 11:2.6447325 12:-3.535107 13:1.8815161 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.73466 2:0.70737493 3:6.0254016 4:-2.3415961 5:2.1109972 6:-1.3541543 7:6.3441176 8:1.30351 9:3.354719 10:-0.79298013 11:4.331004 12:-2.640747 13:1.3925126 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.95963 2:2.7330198 3:5.187995 4:-4.009268 5:1.0072528 6:-2.7220764 7:1.5824541 8:-1.8317946 9:2.5975692 10:-3.7036057 11:4.299271 12:-1.3569309 13:4.2605577 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:237.45502 2:4.712448 3:9.33097 4:-1.6630598 5:1.5001642 6:-3.5918996 7:2.5813828 8:-1.301058 9:3.5200102 10:-3.1496444 11:3.547096 12:-2.91079 13:4.191124 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.97899 2:4.4557652 3:6.8577647 4:-2.1149328 5:2.1080515 6:-2.3775256 7:3.619774 8:-0.62796754 9:2.9436812 10:-4.347779 11:2.2380161 12:-2.9419343 13:3.173213 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.35161 2:4.018673 3:6.261252 4:-1.8277992 5:3.1528964 6:-3.2403295 7:5.0482206 8:-0.39967412 9:2.8830726 10:-3.6828802 11:2.7028317 12:0.46142912 13:4.528647 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:237.25697 2:3.9402373 3:7.1481605 4:-1.5857662 5:5.1025577 6:-0.45982027 7:5.096699 8:-2.2026467 9:2.4186332 10:-3.9368048 11:2.8207843 12:0.15851389 13:3.7778275 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.59619 2:4.1941714 3:7.990091 4:-2.5022573 5:2.9134047 6:-1.3351945 7:3.2490249 8:-2.4013321 9:2.714027 10:-4.0768394 11:3.2492812 12:-0.6034573 13:4.0341077 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:234.08464 2:2.741764 3:6.795292 4:-2.2695882 5:4.029245 6:-2.6072567 7:1.8184557 8:-2.1407795 9:4.257483 10:-2.4887912 11:0.43199787 12:-0.99406856 13:3.0513675 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
1 1:233.12917 2:-0.024498807 3:3.7555234 4:-3.6143272 5:2.0630553 6:-2.5610726 7:3.3962955 8:-0.09742403 9:4.9018726 10:-1.4414616 11:1.958867 12:-2.1736133 13:3.2117362 14:88.74225 15:-4.81689 16:4.982608 17:0.11924441 18:-0.14040025 19:0.5455965 20:1.1117179 21:0.46646884 22:0.10503881 23:0.13083509 24:0.7732622 25:0.024112033 26:0.61751235 
