1 1:122.26872 2:-4.078576 3:1.2626846 4:-6.179142 5:3.3410428 6:0.72353053 7:4.223999 8:-3.6352632 9:-0.3944348 10:-1.4722276 11:1.2507236 12:-0.10793422 13:1.6427253 14:122.26872 15:-4.078576 16:1.2626846 17:-6.179142 18:3.3410428 19:0.72353053 20:4.223999 21:-3.6352632 22:-0.3944348 23:-1.4722276 24:1.2507236 25:-0.10793422 26:1.6427253 
1 1:220.0858 2:6.325295 3:9.888019 4:-1.6587788 5:2.715411 6:-2.3644495 7:3.785851 8:-2.4801338 9:4.6197248 10:0.28671917 11:5.7009807 12:0.6747285 13:2.5931804 14:220.0858 15:6.325295 16:9.888019 17:-1.6587788 18:2.715411 19:-2.3644495 20:3.785851 21:-2.4801338 22:4.6197248 23:0.28671917 24:5.7009807 25:0.6747285 26:2.5931804 
1 1:221.0496 2:6.3247786 3:10.086382 4:-0.0777881 5:2.9647539 6:-1.6422949 7:4.3733683 8:-0.1331106 9:4.6158414 10:-1.037607 11:5.9533873 12:-1.8109 13:3.1034665 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:221.47185 2:8.3736925 3:8.83814 4:0.2758894 5:4.9769397 6:-2.6754503 7:0.72500455 8:-2.385272 9:4.7629843 10:-2.033596 11:6.0920844 12:-3.0026603 13:4.5965943 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:218.09116 2:6.5667953 3:8.876946 4:-1.6590457 5:6.946159 6:-2.9867377 7:1.5933006 8:-0.7757283 9:4.899888 10:-0.9929505 11:4.237596 12:-2.5893948 13:2.9034424 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:225.52425 2:9.313883 3:8.146297 4:-2.490628 5:5.9963675 6:-0.40863383 7:3.7759345 8:-1.2736477 9:7.07154 10:-1.4587824 11:3.5049675 12:-5.118089 13:3.4824877 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:225.38683 2:9.976055 3:9.856073 4:-2.1570623 5:4.822088 6:-2.5847676 7:2.2828937 8:-2.7598538 9:4.162115 10:-1.9647409 11:5.238237 12:-1.5821962 13:4.2529726 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:220.14867 2:7.7306037 3:8.332312 4:-2.7104678 5:4.116633 6:-3.4289434 7:1.917947 8:-3.8626523 9:2.9997485 10:-1.1666101 11:3.924073 12:-1.1987994 13:3.3868794 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:221.85324 2:6.8009324 3:8.441446 4:-3.3638978 5:2.049677 6:-4.6485105 7:2.604291 8:-1.5802816 9:3.782844 10:-2.7751415 11:2.6453855 12:-2.4298415 13:2.5034895 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:222.97603 2:6.9342318 3:9.637386 4:-0.8289641 5:4.676597 6:-4.1556478 7:2.0428088 8:-1.45194 9:3.2550433 10:-1.6076459 11:3.8106136 12:-3.5800972 13:1.6193899 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:226.46515 2:1.7759537 3:13.189086 4:-3.1495192 5:7.033381 6:3.570953 7:0.57491744 8:0.30161026 9:3.421711 10:-1.0566382 11:1.5190525 12:-3.351715 13:1.2976358 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:229.39328 2:3.8612716 3:14.571498 4:-3.9289196 5:7.5138397 6:0.49893034 7:-1.9021531 8:0.274177 9:3.0751512 10:0.63305444 11:2.7721148 12:-2.8678646 13:1.3522131 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:219.7265 2:5.316295 3:10.419268 4:-2.94598 5:2.968674 6:0.091635935 7:2.5532544 8:-3.4817817 9:2.3441398 10:-1.3270723 11:5.629043 12:-0.22234185 13:4.3765025 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:224.37273 2:0.8518361 3:11.787147 4:-1.3298799 5:2.3794894 6:1.1992565 7:1.3483053 8:-2.9774163 9:3.0659397 10:-1.0124756 11:4.4538364 12:1.5522766 13:4.3925414 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:259.19098 2:-3.0866015 3:14.058802 4:-4.2389874 5:4.172326 6:0.43299565 7:-5.683341 8:-1.290331 9:3.8830237 10:0.20782861 11:-0.16063555 12:-3.3690417 13:3.4918363 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:248.83849 2:-2.5530503 3:14.445177 4:-1.9710577 5:4.7956734 6:0.5149571 7:-4.9412594 8:-1.9375131 9:5.243665 10:0.4071369 11:0.26023406 12:-2.4584591 13:2.0459 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:251.57205 2:-6.098468 3:13.977138 4:-3.1434283 5:3.9770157 6:4.2941766 7:-3.341926 8:-1.6113656 9:5.2390394 10:2.0185404 11:2.6342914 12:-2.8922822 13:2.6236548 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:252.1503 2:-6.443604 3:12.300823 4:-2.8227634 5:4.61119 6:3.9501274 7:-3.127654 8:-1.2284884 9:4.451397 10:1.3785771 11:2.7502415 12:-1.3075943 13:4.045232 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:249.08807 2:-4.7712865 3:10.572954 4:-1.7219523 5:5.7239394 6:4.7866006 7:-2.6599455 8:-1.5328609 9:4.910026 10:0.2772607 11:1.1269 12:-3.4395409 13:4.825904 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:245.69081 2:-2.3437705 3:8.0557 4:-3.6554635 5:3.4047275 6:3.4074235 7:-2.469955 8:-4.212869 9:3.5190115 10:0.046200432 11:1.5488932 12:-4.876101 13:2.8629463 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
1 1:240.51952 2:1.2514162 3:8.164347 4:-2.15456 5:5.9078116 6:3.3104558 7:-2.4876287 8:-4.3924074 9:4.434481 10:2.4374125 11:2.5985043 12:-3.8123434 13:6.531603 14:95.96355 15:3.2859607 16:3.8181589 17:-0.6660347 18:2.7863038 19:0.81833804 20:-1.994434 21:-1.5818493 22:0.21662799 23:-0.9892123 24:1.9339768 25:-1.7330315 26:1.7654028 
