1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:225.98497 2:3.9673262 3:9.394225 4:4.361121 5:3.384644 6:0.14426824 7:3.1331604 8:-4.656047 9:4.8883214 10:-2.4958038 11:3.3993897 12:-3.375501 13:2.9182763 14:225.98497 15:3.9673262 16:9.394225 17:4.361121 18:3.384644 19:0.14426824 20:3.1331604 21:-4.656047 22:4.8883214 23:-2.4958038 24:3.3993897 25:-3.375501 26:2.9182763 
1 1:224.9889 2:5.9796443 3:8.41691 4:0.0780447 5:3.404087 6:-0.2631576 7:3.2342935 8:-1.643163 9:4.342555 10:-3.4509041 11:4.4555817 12:-0.771815 13:4.043153 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:226.17168 2:6.3391914 3:6.688787 4:-2.6196983 5:2.7040498 6:0.07330721 7:2.5614393 8:-0.9163022 9:6.2435813 10:-3.2949352 11:4.9200096 12:-0.41183957 13:4.8960114 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:225.35017 2:6.894972 3:7.3735414 4:-3.3159728 5:1.9329993 6:-1.9526677 7:3.4314182 8:-2.5287127 9:5.5105853 10:-4.0104146 11:5.0703487 12:1.2376928 13:3.8546484 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:223.05722 2:5.304011 3:8.210162 4:-1.7288339 5:2.478348 6:0.3151197 7:4.90905 8:-2.2768478 9:4.577191 10:-2.620505 11:4.680345 12:0.45661485 13:3.6737278 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:230.96428 2:3.120216 3:6.446724 4:-0.20039299 5:0.08430363 6:0.9631169 7:1.5492593 8:-3.043492 9:5.613376 10:-2.312726 11:4.5963593 12:-2.951437 13:1.3644471 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:233.72821 2:3.8749104 3:7.524958 4:2.2599905 5:0.787602 6:2.6325662 7:4.0245295 8:-0.88144684 9:8.3032255 10:-3.948898 11:4.2344747 12:-3.2267373 13:2.2064931 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:230.10928 2:5.1680837 3:8.959068 4:-1.9637866 5:2.8301637 6:-1.4000325 7:3.2332542 8:-2.267118 9:6.8354573 10:-1.3407745 11:3.3499432 12:-0.07729356 13:3.0049553 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:226.05495 2:4.540476 3:9.265088 4:-2.1724303 5:2.3435326 6:-0.27954388 7:3.2912672 8:-2.8518274 9:5.7795005 10:-0.5444125 11:4.4645214 12:-0.16019315 13:3.2160506 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
1 1:226.4346 2:2.9214842 3:7.0166845 4:0.22015849 5:4.071895 6:0.5878108 7:5.9217615 8:-2.8315763 9:4.8719482 10:-1.571876 11:3.3046088 12:-2.2606797 13:1.5014577 14:92.96799 15:5.125767 16:5.763483 17:-3.8486156 18:0.55398697 19:1.1652453 20:0.3836362 21:-0.06837025 22:2.5514767 23:-1.3514231 24:1.5332788 25:-1.4571464 26:2.5247865 
