1 1:117.03972 2:-0.65199715 3:-3.0315902 4:-0.23973428 5:5.723895 6:-1.4228411 7:0.06218419 8:-1.5374299 9:-1.3908435 10:-3.2913978 11:1.9916042 12:-5.3247395 13:7.3557663 14:117.03972 15:-0.65199715 16:-3.0315902 17:-0.23973428 18:5.723895 19:-1.4228411 20:0.06218419 21:-1.5374299 22:-1.3908435 23:-3.2913978 24:1.9916042 25:-5.3247395 26:7.3557663 
1 1:193.26656 2:2.8433068 3:4.0284534 4:1.1114929 5:4.9188194 6:-2.4366693 7:1.9763433 8:-3.480981 9:1.7366353 10:0.8195785 11:2.229026 12:-3.527431 13:4.3169184 14:193.26656 15:2.8433068 16:4.0284534 17:1.1114929 18:4.9188194 19:-2.4366693 20:1.9763433 21:-3.480981 22:1.7366353 23:0.8195785 24:2.229026 25:-3.527431 26:4.3169184 
1 1:200.69577 2:-0.0450294 3:-3.4250934 4:-3.295687 5:6.023037 6:1.8534981 7:4.572917 8:-0.8744169 9:5.815944 10:-0.016565505 11:7.4112554 12:-0.68248475 13:3.118339 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:200.69577 2:-0.0450294 3:-3.4250934 4:-3.295687 5:6.023037 6:1.8534981 7:4.572917 8:-0.8744169 9:5.815944 10:-0.016565505 11:7.4112554 12:-0.68248475 13:3.118339 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:201.47255 2:5.033055 3:1.9347976 4:-4.1594515 5:5.721955 6:-0.16964784 7:4.758503 8:-2.6089323 9:3.4627635 10:-2.826145 11:4.4624557 12:-2.5126824 13:2.4223497 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:201.47255 2:5.033055 3:1.9347976 4:-4.1594515 5:5.721955 6:-0.16964784 7:4.758503 8:-2.6089323 9:3.4627635 10:-2.826145 11:4.4624557 12:-2.5126824 13:2.4223497 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:205.40771 2:2.7404265 3:0.84477925 4:-0.98201895 5:6.4280763 6:-4.8259797 7:-0.28464875 8:-1.7839173 9:2.7475417 10:-0.5325874 11:2.8302343 12:-3.0789297 13:2.9386837 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:205.40771 2:2.7404265 3:0.84477925 4:-0.98201895 5:6.4280763 6:-4.8259797 7:-0.28464875 8:-1.7839173 9:2.7475417 10:-0.5325874 11:2.8302343 12:-3.0789297 13:2.9386837 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:209.68903 2:3.2215538 3:-2.5203378 4:-4.162516 5:5.208297 6:-4.148265 7:1.0236094 8:-3.351045 9:4.0183907 10:-1.3468915 11:3.9144583 12:-0.44197506 13:2.4424348 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:209.68903 2:3.2215538 3:-2.5203378 4:-4.162516 5:5.208297 6:-4.148265 7:1.0236094 8:-3.351045 9:4.0183907 10:-1.3468915 11:3.9144583 12:-0.44197506 13:2.4424348 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.6701 2:2.6584654 3:-0.6138931 4:-0.9143009 5:7.776196 6:-1.5736693 7:0.17215799 8:-1.8111846 9:4.0952587 10:-1.8996671 11:6.4285626 12:-2.2661216 13:2.1409779 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:208.6701 2:2.6584654 3:-0.6138931 4:-0.9143009 5:7.776196 6:-1.5736693 7:0.17215799 8:-1.8111846 9:4.0952587 10:-1.8996671 11:6.4285626 12:-2.2661216 13:2.1409779 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:205.44482 2:3.9362757 3:0.51369643 4:-2.7633662 5:7.4948797 6:-4.097567 7:1.4788407 8:-1.2190994 9:3.0270913 10:-5.3867917 11:5.3596787 12:-1.7445295 13:-0.15314715 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:205.44482 2:3.9362757 3:0.51369643 4:-2.7633662 5:7.4948797 6:-4.097567 7:1.4788407 8:-1.2190994 9:3.0270913 10:-5.3867917 11:5.3596787 12:-1.7445295 13:-0.15314715 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:219.5171 2:4.777851 3:-6.6993084 4:-4.408952 5:8.030369 6:-7.985975 7:-1.6031426 8:-5.2234206 9:2.6271527 10:-1.5638746 11:7.490019 12:-1.95029 13:2.0964606 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:219.5171 2:4.777851 3:-6.6993084 4:-4.408952 5:8.030369 6:-7.985975 7:-1.6031426 8:-5.2234206 9:2.6271527 10:-1.5638746 11:7.490019 12:-1.95029 13:2.0964606 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:216.26747 2:2.6518497 3:-3.4544096 4:-2.3323145 5:3.1333735 6:-4.021542 7:-0.41286993 8:-4.5154643 9:2.260246 10:-1.3104516 11:8.100781 12:-2.746386 13:1.3331242 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:216.26747 2:2.6518497 3:-3.4544096 4:-2.3323145 5:3.1333735 6:-4.021542 7:-0.41286993 8:-4.5154643 9:2.260246 10:-1.3104516 11:8.100781 12:-2.746386 13:1.3331242 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:213.42918 2:3.5525303 3:-3.9596455 4:0.085471325 5:7.579422 6:-5.0894475 7:-0.18591681 8:-5.1179934 9:4.5035086 10:1.6945018 11:8.447559 12:-3.0263546 13:1.3307223 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:213.42918 2:3.5525303 3:-3.9596455 4:0.085471325 5:7.579422 6:-5.0894475 7:-0.18591681 8:-5.1179934 9:4.5035086 10:1.6945018 11:8.447559 12:-3.0263546 13:1.3307223 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:214.69664 2:6.8415246 3:0.36152622 4:-2.2710454 5:6.1983066 6:-5.0576577 7:-0.7559902 8:-4.5480275 9:3.4171898 10:0.03732795 11:6.0868587 12:-1.0000062 13:2.8990328 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:214.69664 2:6.8415246 3:0.36152622 4:-2.2710454 5:6.1983066 6:-5.0576577 7:-0.7559902 8:-4.5480275 9:3.4171898 10:0.03732795 11:6.0868587 12:-1.0000062 13:2.8990328 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:213.22198 2:4.8721204 3:-0.7359478 4:-1.5617173 5:4.4340587 6:-6.2383285 7:1.6622689 8:-2.2261178 9:3.077869 10:-3.1657665 11:3.8625047 12:-1.4173459 13:2.8835518 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:213.22198 2:4.8721204 3:-0.7359478 4:-1.5617173 5:4.4340587 6:-6.2383285 7:1.6622689 8:-2.2261178 9:3.077869 10:-3.1657665 11:3.8625047 12:-1.4173459 13:2.8835518 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.55676 2:1.8603004 3:-1.5713307 4:-3.4242976 5:3.3416712 6:-4.858665 7:-0.56617725 8:-3.9607644 9:2.3193295 10:-2.4946787 11:2.781111 12:0.24782547 13:4.440329 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.55676 2:1.8603004 3:-1.5713307 4:-3.4242976 5:3.3416712 6:-4.858665 7:-0.56617725 8:-3.9607644 9:2.3193295 10:-2.4946787 11:2.781111 12:0.24782547 13:4.440329 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.64064 2:2.75952 3:-0.18405843 4:-4.566633 5:6.865228 6:0.6246794 7:-0.4293577 8:-4.593179 9:4.3345947 10:-1.709446 11:2.8871074 12:-4.2833953 13:2.6216998 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.64064 2:2.75952 3:-0.18405843 4:-4.566633 5:6.865228 6:0.6246794 7:-0.4293577 8:-4.593179 9:4.3345947 10:-1.709446 11:2.8871074 12:-4.2833953 13:2.6216998 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:213.14421 2:1.1439517 3:-1.2999368 4:-2.561436 5:4.9103837 6:-5.2897797 7:-1.4254 8:-1.8665087 9:4.529949 10:-2.4358382 11:3.366771 12:-1.0404727 13:3.6053624 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:213.14421 2:1.1439517 3:-1.2999368 4:-2.561436 5:4.9103837 6:-5.2897797 7:-1.4254 8:-1.8665087 9:4.529949 10:-2.4358382 11:3.366771 12:-1.0404727 13:3.6053624 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
1 1:212.69681 2:4.5829816 3:1.2665964 4:-3.1795878 5:7.690227 6:-3.907353 7:-0.80088454 8:-5.9507556 9:3.5518253 10:-1.4644827 11:2.2036285 12:-1.0917029 13:2.2174177 14:75.73636 15:1.2304547 16:0.76823187 17:1.0778118 18:0.37827715 19:-1.4425634 20:-0.38232103 21:-1.0237187 22:2.1357062 23:-1.0540643 24:1.1359538 25:-1.4139602 26:0.261046 
