2 1:170.50235 2:2.4995944 3:-1.4750131 4:-3.2009242 5:2.6300912 6:-4.0392966 7:-3.1679027 8:-4.9845777 9:1.4049658 10:-3.011837 11:6.5648985 12:-1.9310087 13:2.3090148 14:170.50235 15:2.4995944 16:-1.4750131 17:-3.2009242 18:2.6300912 19:-4.0392966 20:-3.1679027 21:-4.9845777 22:1.4049658 23:-3.011837 24:6.5648985 25:-1.9310087 26:2.3090148 
2 1:214.99101 2:2.4705653 3:3.46271 4:-1.5816716 5:4.971053 6:-1.5811716 7:-3.0507665 8:-6.097338 9:1.041323 10:-1.180334 11:5.3485956 12:-0.1554873 13:4.5642695 14:214.99101 15:2.4705653 16:3.46271 17:-1.5816716 18:4.971053 19:-1.5811716 20:-3.0507665 21:-6.097338 22:1.041323 23:-1.180334 24:5.3485956 25:-0.1554873 26:4.5642695 
2 1:214.68384 2:5.494116 3:2.926543 4:-0.5085824 5:6.0684366 6:-2.338018 7:2.3080363 8:-0.84167045 9:4.350756 10:-0.07946306 11:2.2820134 12:-1.6749827 13:3.2987664 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:214.68384 2:5.494116 3:2.926543 4:-0.5085824 5:6.0684366 6:-2.338018 7:2.3080363 8:-0.84167045 9:4.350756 10:-0.07946306 11:2.2820134 12:-1.6749827 13:3.2987664 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.25424 2:4.165207 3:1.2805444 4:1.863866 5:3.387724 6:-3.7638607 7:0.24415359 8:-2.8000977 9:2.188655 10:-2.4076097 11:4.5477557 12:-1.9582142 13:4.33577 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.25424 2:4.165207 3:1.2805444 4:1.863866 5:3.387724 6:-3.7638607 7:0.24415359 8:-2.8000977 9:2.188655 10:-2.4076097 11:4.5477557 12:-1.9582142 13:4.33577 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:212.50844 2:3.0676267 3:5.03224 4:-0.43600455 5:6.1597447 6:-2.435011 7:1.8654882 8:-1.0256789 9:4.5814757 10:-1.5984312 11:3.4909523 12:-3.622852 13:4.139349 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:212.50844 2:3.0676267 3:5.03224 4:-0.43600455 5:6.1597447 6:-2.435011 7:1.8654882 8:-1.0256789 9:4.5814757 10:-1.5984312 11:3.4909523 12:-3.622852 13:4.139349 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.68292 2:1.5261924 3:1.9684234 4:-0.3683891 5:5.702087 6:-4.2665153 7:1.0719323 8:-5.1843915 9:0.9429874 10:-4.7230363 11:6.0657196 12:-0.33649027 13:2.1045804 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.68292 2:1.5261924 3:1.9684234 4:-0.3683891 5:5.702087 6:-4.2665153 7:1.0719323 8:-5.1843915 9:0.9429874 10:-4.7230363 11:6.0657196 12:-0.33649027 13:2.1045804 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:212.74947 2:3.1151323 3:2.9215846 4:-1.1835864 5:2.1262372 6:-1.0275868 7:1.9702301 8:-4.7424674 9:3.9351065 10:-1.3753706 11:3.3073504 12:-4.5433874 13:2.0371084 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:212.74947 2:3.1151323 3:2.9215846 4:-1.1835864 5:2.1262372 6:-1.0275868 7:1.9702301 8:-4.7424674 9:3.9351065 10:-1.3753706 11:3.3073504 12:-4.5433874 13:2.0371084 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
