1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:176.31723 2:4.78119 3:2.0462368 4:-4.4679847 5:3.4104865 6:-1.6145102 7:-0.04778696 8:-4.35229 9:3.4256206 10:-4.619823 11:2.9218378 12:-3.6161103 13:2.4607625 14:176.31723 15:4.78119 16:2.0462368 17:-4.4679847 18:3.4104865 19:-1.6145102 20:-0.04778696 21:-4.35229 22:3.4256206 23:-4.619823 24:2.9218378 25:-3.6161103 26:2.4607625 
1 1:201.43106 2:6.6310344 3:4.508215 4:-3.7216477 5:2.2356415 6:-1.2604759 7:2.365971 8:-1.8829252 9:4.7449145 10:-3.809659 11:4.7738795 12:-2.0933344 13:2.7499127 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:201.43106 2:6.6310344 3:4.508215 4:-3.7216477 5:2.2356415 6:-1.2604759 7:2.365971 8:-1.8829252 9:4.7449145 10:-3.809659 11:4.7738795 12:-2.0933344 13:2.7499127 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:204.58376 2:6.4807205 3:2.9998477 4:-4.247736 5:2.5104988 6:-2.0921564 7:0.71499914 8:-1.4017978 9:7.778663 10:-2.1600194 11:4.3620267 12:-1.1300299 13:1.6247611 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:204.58376 2:6.4807205 3:2.9998477 4:-4.247736 5:2.5104988 6:-2.0921564 7:0.71499914 8:-1.4017978 9:7.778663 10:-2.1600194 11:4.3620267 12:-1.1300299 13:1.6247611 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:201.14778 2:5.299739 3:4.411061 4:-0.67792904 5:7.5329375 6:-0.5036943 7:0.44393092 8:-1.2909364 9:5.5776153 10:-3.1875226 11:4.622312 12:-2.4940097 13:2.201861 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:201.14778 2:5.299739 3:4.411061 4:-0.67792904 5:7.5329375 6:-0.5036943 7:0.44393092 8:-1.2909364 9:5.5776153 10:-3.1875226 11:4.622312 12:-2.4940097 13:2.201861 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:205.14421 2:7.0801196 3:6.573176 4:-2.6531413 5:5.1338973 6:-1.8989271 7:-0.3838244 8:-1.1733528 9:2.9436326 10:-4.1145163 11:2.1607704 12:-3.3086803 13:4.190104 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:205.14421 2:7.0801196 3:6.573176 4:-2.6531413 5:5.1338973 6:-1.8989271 7:-0.3838244 8:-1.1733528 9:2.9436326 10:-4.1145163 11:2.1607704 12:-3.3086803 13:4.190104 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:205.86075 2:7.500075 3:1.7950875 4:-1.2183822 5:3.2375693 6:-2.4386392 7:1.8311809 8:-1.5632341 9:5.6394587 10:-4.0926642 11:5.146144 12:-2.1249418 13:0.84973437 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:205.86075 2:7.500075 3:1.7950875 4:-1.2183822 5:3.2375693 6:-2.4386392 7:1.8311809 8:-1.5632341 9:5.6394587 10:-4.0926642 11:5.146144 12:-2.1249418 13:0.84973437 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
1 1:207.2236 2:6.3390775 3:-0.91818935 4:-5.7317796 5:4.5687976 6:-0.5868679 7:0.33734435 8:-3.5553813 9:3.3754876 10:-3.5304399 11:4.171865 12:-1.8879467 13:3.460983 14:75.54653 15:2.7835922 16:-0.8338985 17:-2.777673 18:-0.4828335 19:-0.5678968 20:0.90515494 21:-1.9361796 22:2.4572842 23:0.23693591 24:2.1081235 25:-0.9441225 26:1.1856323 
