2 1:51.886898 2:-11.616736 3:2.551327 4:-2.9371064 5:1.5461984 6:-1.5582715 7:0.58366853 8:-1.7147069 9:1.4525785 10:-0.780197 11:1.2252184 12:-1.1000079 13:1.5590578 14:51.886898 15:-11.616736 16:2.551327 17:-2.9371064 18:1.5461984 19:-1.5582715 20:0.58366853 21:-1.7147069 22:1.4525785 23:-0.780197 24:1.2252184 25:-1.1000079 26:1.5590578 
2 1:192.81342 2:2.7971804 3:4.4129267 4:1.9731953 5:4.5558877 6:0.2099214 7:4.0737576 8:-6.1384697 9:3.4934838 10:-1.022963 11:6.772826 12:-1.6214731 13:0.28450328 14:192.81342 15:2.7971804 16:4.4129267 17:1.9731953 18:4.5558877 19:0.2099214 20:4.0737576 21:-6.1384697 22:3.4934838 23:-1.022963 24:6.772826 25:-1.6214731 26:0.28450328 
2 1:196.668 2:5.78528 3:2.2654736 4:-1.5246994 5:6.7569604 6:-1.6907563 7:4.145716 8:0.17238113 9:2.8203785 10:-0.6736572 11:3.372332 12:-4.1462774 13:3.2513578 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:196.668 2:5.78528 3:2.2654736 4:-1.5246994 5:6.7569604 6:-1.6907563 7:4.145716 8:0.17238113 9:2.8203785 10:-0.6736572 11:3.372332 12:-4.1462774 13:3.2513578 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:195.00711 2:7.3854947 3:2.1809042 4:0.32260036 5:7.347136 6:-2.3943255 7:4.0676723 8:-3.5320325 9:0.7157749 10:-4.971228 11:3.6110637 12:-2.409886 13:4.6724653 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:195.00711 2:7.3854947 3:2.1809042 4:0.32260036 5:7.347136 6:-2.3943255 7:4.0676723 8:-3.5320325 9:0.7157749 10:-4.971228 11:3.6110637 12:-2.409886 13:4.6724653 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:197.73233 2:5.509811 3:0.7578569 4:-0.84598726 5:4.6558332 6:-3.4367132 7:0.46146303 8:-2.1946206 9:6.446141 10:-1.4034535 11:3.928329 12:-2.6326747 13:4.506425 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:197.73233 2:5.509811 3:0.7578569 4:-0.84598726 5:4.6558332 6:-3.4367132 7:0.46146303 8:-2.1946206 9:6.446141 10:-1.4034535 11:3.928329 12:-2.6326747 13:4.506425 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:193.28238 2:5.913686 3:2.3792152 4:-3.4308941 5:5.2082663 6:-1.7873774 7:2.6821766 8:-2.6042485 9:2.2148066 10:-5.137493 11:0.6019176 12:-2.6526096 13:3.6383307 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:193.28238 2:5.913686 3:2.3792152 4:-3.4308941 5:5.2082663 6:-1.7873774 7:2.6821766 8:-2.6042485 9:2.2148066 10:-5.137493 11:0.6019176 12:-2.6526096 13:3.6383307 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:195.38727 2:5.613434 3:4.5455503 4:-1.7375082 5:1.0309771 6:-3.1306229 7:1.6732824 8:-3.2440338 9:3.378373 10:-2.9946735 11:1.4710212 12:-1.5693176 13:5.448899 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
2 1:195.38727 2:5.613434 3:4.5455503 4:-1.7375082 5:1.0309771 6:-3.1306229 7:1.6732824 8:-3.2440338 9:3.378373 10:-2.9946735 11:1.4710212 12:-1.5693176 13:5.448899 14:74.30052 15:1.4926215 16:0.82667017 17:0.37058282 18:0.9941122 19:-0.95321137 20:0.07827412 21:-0.64017206 22:1.6037892 23:-1.453543 24:0.9885163 25:-0.7356769 26:0.7460088 
