1 1:-39.68577 2:-15.580724 3:5.9935546 4:-11.56743 5:1.2343332 6:2.2139473 7:-4.499535 8:-0.021773398 9:2.4470057 10:-2.2029264 11:0.22550021 12:0.72049886 13:-0.4102013 14:-39.68577 15:-15.580724 16:5.9935546 17:-11.56743 18:1.2343332 19:2.2139473 20:-4.499535 21:-0.021773398 22:2.4470057 23:-2.2029264 24:0.22550021 25:0.72049886 26:-0.4102013 
1 1:190.20088 2:6.7063866 3:4.1092925 4:-0.34598175 5:4.5862393 6:0.7977205 7:2.5451078 8:-3.5474286 9:2.955645 10:-3.222825 11:1.6239561 12:-6.6528773 13:3.881793 14:190.20088 15:6.7063866 16:4.1092925 17:-0.34598175 18:4.5862393 19:0.7977205 20:2.5451078 21:-3.5474286 22:2.955645 23:-3.222825 24:1.6239561 25:-6.6528773 26:3.881793 
1 1:210.3392 2:1.0675387 3:0.55537087 4:-1.3242047 5:4.173875 6:-0.30700326 7:3.4879885 8:-4.0524993 9:3.6891267 10:-1.2393821 11:2.083863 12:-3.7326865 13:2.5738845 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.3392 2:1.0675387 3:0.55537087 4:-1.3242047 5:4.173875 6:-0.30700326 7:3.4879885 8:-4.0524993 9:3.6891267 10:-1.2393821 11:2.083863 12:-3.7326865 13:2.5738845 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:211.48747 2:2.5912955 3:3.0504525 4:-0.51102304 5:6.295926 6:-2.4668856 7:2.0557804 8:-3.0338233 9:4.064993 10:0.5233056 11:0.77575606 12:-3.3306499 13:2.4980664 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:211.48747 2:2.5912955 3:3.0504525 4:-0.51102304 5:6.295926 6:-2.4668856 7:2.0557804 8:-3.0338233 9:4.064993 10:0.5233056 11:0.77575606 12:-3.3306499 13:2.4980664 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.10988 2:1.6245126 3:3.4104881 4:-0.6253676 5:2.8998387 6:-3.7188 7:-0.434299 8:-3.1624975 9:5.501138 10:-2.9396567 11:2.004116 12:-1.9858122 13:2.0038846 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.10988 2:1.6245126 3:3.4104881 4:-0.6253676 5:2.8998387 6:-3.7188 7:-0.434299 8:-3.1624975 9:5.501138 10:-2.9396567 11:2.004116 12:-1.9858122 13:2.0038846 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.21082 2:1.8340758 3:3.9097514 4:1.4779584 5:6.527606 6:-4.533975 7:2.3731134 8:-2.7629228 9:2.8890374 10:-2.5030565 11:0.44181508 12:-1.4587415 13:3.0659144 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.21082 2:1.8340758 3:3.9097514 4:1.4779584 5:6.527606 6:-4.533975 7:2.3731134 8:-2.7629228 9:2.8890374 10:-2.5030565 11:0.44181508 12:-1.4587415 13:3.0659144 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:207.9554 2:1.890183 3:1.7669026 4:-0.22607341 5:6.308826 6:-1.2684453 7:-0.31950304 8:-3.6965477 9:0.98703504 10:-3.58639 11:2.3797932 12:-1.5437155 13:4.980391 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:207.9554 2:1.890183 3:1.7669026 4:-0.22607341 5:6.308826 6:-1.2684453 7:-0.31950304 8:-3.6965477 9:0.98703504 10:-3.58639 11:2.3797932 12:-1.5437155 13:4.980391 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:214.78102 2:4.227108 3:2.451027 4:-2.3931448 5:4.603559 6:-0.3100749 7:4.758021 8:-5.649486 9:3.0799212 10:0.68911153 11:1.889441 12:-1.7476997 13:3.470924 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:214.78102 2:4.227108 3:2.451027 4:-2.3931448 5:4.603559 6:-0.3100749 7:4.758021 8:-5.649486 9:3.0799212 10:0.68911153 11:1.889441 12:-1.7476997 13:3.470924 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.81839 2:5.4568067 3:5.092317 4:0.26699197 5:5.2424803 6:-2.4983504 7:4.4606833 8:-4.055361 9:2.615246 10:-1.2932315 11:2.2315733 12:-3.2742298 13:3.0055664 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.81839 2:5.4568067 3:5.092317 4:0.26699197 5:5.2424803 6:-2.4983504 7:4.4606833 8:-4.055361 9:2.615246 10:-1.2932315 11:2.2315733 12:-3.2742298 13:3.0055664 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.0676 2:1.8591574 3:0.7977586 4:-0.69404197 5:6.408849 6:0.32318905 7:5.1056137 8:-0.08586631 9:2.2979743 10:-2.5436206 11:2.2992575 12:-4.0757313 13:3.434077 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:210.0676 2:1.8591574 3:0.7977586 4:-0.69404197 5:6.408849 6:0.32318905 7:5.1056137 8:-0.08586631 9:2.2979743 10:-2.5436206 11:2.2992575 12:-4.0757313 13:3.434077 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.00989 2:5.772779 3:4.9182835 4:-0.7832667 5:4.8812375 6:-1.3099777 7:1.1824852 8:-3.5654278 9:2.3783479 10:-0.5581314 11:3.9864435 12:-0.89296764 13:2.6024334 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:206.00989 2:5.772779 3:4.9182835 4:-0.7832667 5:4.8812375 6:-1.3099777 7:1.1824852 8:-3.5654278 9:2.3783479 10:-0.5581314 11:3.9864435 12:-0.89296764 13:2.6024334 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.72386 2:3.2224429 3:1.6171676 4:-2.6757693 5:7.111902 6:2.515768 7:3.142892 8:-2.0517452 9:3.0964465 10:0.29720008 11:3.6269372 12:-1.9362081 13:5.4458146 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.72386 2:3.2224429 3:1.6171676 4:-2.6757693 5:7.111902 6:2.515768 7:3.142892 8:-2.0517452 9:3.0964465 10:0.29720008 11:3.6269372 12:-1.9362081 13:5.4458146 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:207.53526 2:2.4667184 3:-1.2195803 4:-5.8092794 5:4.785148 6:-1.9636556 7:4.2357035 8:-3.9371984 9:1.4366899 10:0.30022892 11:2.0860176 12:-2.4965923 13:3.481408 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:207.53526 2:2.4667184 3:-1.2195803 4:-5.8092794 5:4.785148 6:-1.9636556 7:4.2357035 8:-3.9371984 9:1.4366899 10:0.30022892 11:2.0860176 12:-2.4965923 13:3.481408 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:214.41583 2:6.9796863 3:5.697646 4:0.2640286 5:6.387057 6:-1.1043426 7:2.4829412 8:-3.7765167 9:2.716274 10:-3.4479804 11:4.777282 12:-3.097842 13:5.1656995 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:214.41583 2:6.9796863 3:5.697646 4:0.2640286 5:6.387057 6:-1.1043426 7:2.4829412 8:-3.7765167 9:2.716274 10:-3.4479804 11:4.777282 12:-3.097842 13:5.1656995 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.2778 2:3.218096 3:6.823294 4:0.7114779 5:5.6542826 6:-1.4619805 7:3.4152706 8:-4.6726484 9:2.3058012 10:-1.7181019 11:2.7911155 12:-2.2776132 13:2.7996476 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.2778 2:3.218096 3:6.823294 4:0.7114779 5:5.6542826 6:-1.4619805 7:3.4152706 8:-4.6726484 9:2.3058012 10:-1.7181019 11:2.7911155 12:-2.2776132 13:2.7996476 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.37332 2:6.5884643 3:3.055427 4:-2.075724 5:9.496925 6:-0.41194448 7:-0.9115704 8:-4.520454 9:4.2019897 10:0.7902177 11:4.195492 12:-2.8816786 13:3.5186203 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:208.37332 2:6.5884643 3:3.055427 4:-2.075724 5:9.496925 6:-0.41194448 7:-0.9115704 8:-4.520454 9:4.2019897 10:0.7902177 11:4.195492 12:-2.8816786 13:3.5186203 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:211.72551 2:3.253085 3:3.1654282 4:-3.443362 5:3.5512908 6:-2.8869617 7:1.6595106 8:-2.8475046 9:2.5922778 10:-0.005798873 11:1.8560064 12:-3.5722675 13:1.7041448 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
1 1:211.72551 2:3.253085 3:3.1654282 4:-3.443362 5:3.5512908 6:-2.8869617 7:1.6595106 8:-2.8475046 9:2.5922778 10:-0.005798873 11:1.8560064 12:-3.5722675 13:1.7041448 14:92.50271 15:6.591336 16:-0.08544185 17:-2.5366697 18:-0.5770082 19:-0.27044666 20:0.74610984 21:-1.8298755 22:1.8821014 23:-0.82672024 24:2.8776083 25:-2.0909145 26:1.2557629 
