2 1:135.3222 2:1.2859402 3:0.6214786 4:-5.5194063 5:1.9465412 6:-2.914603 7:0.97010726 8:-5.05271 9:2.7479 10:-3.0995166 11:1.0359465 12:-1.1462394 13:4.5440583 14:135.3222 15:1.2859402 16:0.6214786 17:-5.5194063 18:1.9465412 19:-2.914603 20:0.97010726 21:-5.05271 22:2.7479 23:-3.0995166 24:1.0359465 25:-1.1462394 26:4.5440583 
2 1:202.25224 2:4.461273 3:0.7419901 4:-5.8721986 5:3.9748175 6:-1.7378963 7:1.7497658 8:-1.9650109 9:5.7366962 10:0.9393139 11:2.83715 12:-2.762916 13:3.4542215 14:202.25224 15:4.461273 16:0.7419901 17:-5.8721986 18:3.9748175 19:-1.7378963 20:1.7497658 21:-1.9650109 22:5.7366962 23:0.9393139 24:2.83715 25:-2.762916 26:3.4542215 
2 1:200.88287 2:4.8521957 3:1.1167827 4:-1.6934351 5:4.5661893 6:-4.731269 7:4.5103116 8:-3.7052095 9:4.022372 10:-0.31421337 11:1.745729 12:-2.6514235 13:1.6812481 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:200.88287 2:4.8521957 3:1.1167827 4:-1.6934351 5:4.5661893 6:-4.731269 7:4.5103116 8:-3.7052095 9:4.022372 10:-0.31421337 11:1.745729 12:-2.6514235 13:1.6812481 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:205.98885 2:7.0565777 3:2.6584244 4:-0.82263255 5:6.0034947 6:0.43010625 7:0.9252455 8:-4.453778 9:5.807574 10:-2.3760335 11:1.4252162 12:-1.6518923 13:4.662958 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:205.98885 2:7.0565777 3:2.6584244 4:-0.82263255 5:6.0034947 6:0.43010625 7:0.9252455 8:-4.453778 9:5.807574 10:-2.3760335 11:1.4252162 12:-1.6518923 13:4.662958 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:202.27579 2:3.5479925 3:-2.404995 4:-2.469634 5:6.8936105 6:0.33917007 7:1.2166312 8:-2.8590345 9:3.993246 10:-3.7872412 11:4.3024673 12:-4.6979322 13:3.491904 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:202.27579 2:3.5479925 3:-2.404995 4:-2.469634 5:6.8936105 6:0.33917007 7:1.2166312 8:-2.8590345 9:3.993246 10:-3.7872412 11:4.3024673 12:-4.6979322 13:3.491904 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:201.41776 2:3.1944182 3:2.1929479 4:-2.1464515 5:5.1721053 6:-0.90961313 7:0.66838175 8:-3.9977727 9:5.09318 10:0.9952987 11:4.519603 12:-2.3652327 13:4.0510855 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:201.41776 2:3.1944182 3:2.1929479 4:-2.1464515 5:5.1721053 6:-0.90961313 7:0.66838175 8:-3.9977727 9:5.09318 10:0.9952987 11:4.519603 12:-2.3652327 13:4.0510855 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
2 1:207.82228 2:5.80957 3:4.4607706 4:-0.42459208 5:6.593191 6:-4.0770054 7:1.564275 8:-2.8739715 9:2.8711598 10:-2.5380268 11:-0.6088313 12:-6.53947 13:4.1874266 14:90.408226 15:6.9797597 16:-1.6023701 17:-2.449087 18:-0.2961456 19:-0.50526315 20:2.139045 21:-2.64492 22:3.0897942 23:-0.46941707 24:1.9519548 25:-2.0754056 26:1.3204767 
