2 1:75.62303 2:-6.9047146 3:-5.1702385 4:0.07670163 5:0.17703016 6:-1.8770297 7:1.3907347 8:-2.428963 9:2.855413 10:-2.476025 11:2.7906704 12:-3.1830165 13:3.4539564 14:75.62303 15:-6.9047146 16:-5.1702385 17:0.07670163 18:0.17703016 19:-1.8770297 20:1.3907347 21:-2.428963 22:2.855413 23:-2.476025 24:2.7906704 25:-3.1830165 26:3.4539564 
2 1:195.08018 2:1.3802147 3:2.6161835 4:-1.8478097 5:5.429999 6:-0.7661951 7:3.3052099 8:-2.2549164 9:4.1154714 10:-0.6734717 11:-0.4559411 12:-1.9369609 13:2.15975 14:195.08018 15:1.3802147 16:2.6161835 17:-1.8478097 18:5.429999 19:-0.7661951 20:3.3052099 21:-2.2549164 22:4.1154714 23:-0.6734717 24:-0.4559411 25:-1.9369609 26:2.15975 
2 1:202.26897 2:4.250863 3:5.7513347 4:-0.8045493 5:5.962071 6:-3.2615354 7:1.4834572 8:-0.7798799 9:4.2597804 10:-1.3454398 11:1.4049257 12:-1.7710696 13:0.96808803 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:202.26897 2:4.250863 3:5.7513347 4:-0.8045493 5:5.962071 6:-3.2615354 7:1.4834572 8:-0.7798799 9:4.2597804 10:-1.3454398 11:1.4049257 12:-1.7710696 13:0.96808803 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:201.2209 2:4.9923105 3:4.768546 4:1.4961977 5:7.625227 6:-0.28351328 7:3.834861 8:0.8882483 9:2.5507934 10:-4.063927 11:0.2793466 12:-3.2181888 13:4.458701 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:201.2209 2:4.9923105 3:4.768546 4:1.4961977 5:7.625227 6:-0.28351328 7:3.834861 8:0.8882483 9:2.5507934 10:-4.063927 11:0.2793466 12:-3.2181888 13:4.458701 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:198.71483 2:5.086701 3:4.194876 4:-3.895557 5:3.442302 6:-1.7055612 7:1.4541053 8:-3.518423 9:1.7743104 10:0.19167262 11:1.8095046 12:-4.538967 13:2.5727046 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:198.71483 2:5.086701 3:4.194876 4:-3.895557 5:3.442302 6:-1.7055612 7:1.4541053 8:-3.518423 9:1.7743104 10:0.19167262 11:1.8095046 12:-4.538967 13:2.5727046 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:201.34471 2:3.6567104 3:3.396118 4:-2.1622157 5:5.53184 6:-5.0289016 7:-0.3773918 8:-0.659566 9:4.500523 10:0.15532689 11:1.5562748 12:-4.241576 13:2.0266623 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:201.34471 2:3.6567104 3:3.396118 4:-2.1622157 5:5.53184 6:-5.0289016 7:-0.3773918 8:-0.659566 9:4.500523 10:0.15532689 11:1.5562748 12:-4.241576 13:2.0266623 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:207.82011 2:5.5314384 3:2.8857865 4:-0.70890886 5:6.543402 6:-1.4758768 7:4.577602 8:-1.0992383 9:4.727607 10:-0.036483724 11:3.337266 12:-3.5419111 13:2.4572985 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:207.82011 2:5.5314384 3:2.8857865 4:-0.70890886 5:6.543402 6:-1.4758768 7:4.577602 8:-1.0992383 9:4.727607 10:-0.036483724 11:3.337266 12:-3.5419111 13:2.4572985 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:201.20859 2:4.420318 3:2.5997703 4:0.15565714 5:7.159827 6:-2.7568626 7:1.9979192 8:-0.24515554 9:5.4721656 10:-1.319827 11:0.10734111 12:-2.3106685 13:3.0372992 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:201.20859 2:4.420318 3:2.5997703 4:0.15565714 5:7.159827 6:-2.7568626 7:1.9979192 8:-0.24515554 9:5.4721656 10:-1.319827 11:0.10734111 12:-2.3106685 13:3.0372992 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:202.30612 2:3.8509347 3:3.7049549 4:-2.196368 5:7.2963395 6:1.1765884 7:2.0052311 8:-2.3034751 9:4.2505093 10:-0.4909083 11:1.4212912 12:-5.763706 13:1.5181463 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:202.30612 2:3.8509347 3:3.7049549 4:-2.196368 5:7.2963395 6:1.1765884 7:2.0052311 8:-2.3034751 9:4.2505093 10:-0.4909083 11:1.4212912 12:-5.763706 13:1.5181463 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:203.69424 2:7.718816 3:5.5082464 4:-1.6342478 5:6.0074134 6:0.057694454 7:2.8898184 8:-2.1314585 9:3.2316425 10:-3.847471 11:1.7471242 12:-6.2720156 13:2.1063356 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:203.69424 2:7.718816 3:5.5082464 4:-1.6342478 5:6.0074134 6:0.057694454 7:2.8898184 8:-2.1314585 9:3.2316425 10:-3.847471 11:1.7471242 12:-6.2720156 13:2.1063356 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
2 1:202.33719 2:6.707786 3:6.1011767 4:1.201585 5:5.364829 6:-0.4087919 7:0.63076055 8:-0.28955543 9:2.9294517 10:-2.4611773 11:2.3532715 12:-6.061378 13:4.380674 14:96.60838 15:5.20251 16:-0.82417387 17:-2.129255 18:-0.79211587 19:-0.12285382 20:1.5862931 21:-1.65994 22:1.6633918 23:0.20939307 24:2.0586932 25:-1.5189342 26:1.5325179 
