1 1:-2.6154697 2:-17.310266 3:1.8635296 4:-6.9578834 5:0.625067 6:-1.4880588 7:1.1397884 8:0.6643129 9:1.0415405 10:-1.0808785 11:2.2839391 12:-0.98519015 13:0.45483404 14:-2.6154697 15:-17.310266 16:1.8635296 17:-6.9578834 18:0.625067 19:-1.4880588 20:1.1397884 21:0.6643129 22:1.0415405 23:-1.0808785 24:2.2839391 25:-0.98519015 26:0.45483404 
1 1:194.42267 2:-0.005746323 3:3.0606084 4:-5.913865 5:0.48666167 6:-0.47486502 7:3.8615708 8:-2.048683 9:-0.08880417 10:-1.5689925 11:2.2416675 12:-0.5306995 13:0.68452305 14:194.42267 15:-0.005746323 16:3.0606084 17:-5.913865 18:0.48666167 19:-0.47486502 20:3.8615708 21:-2.048683 22:-0.08880417 23:-1.5689925 24:2.2416675 25:-0.5306995 26:0.68452305 
1 1:200.33363 2:0.46493876 3:5.286166 4:-3.338569 5:3.6441138 6:-0.52437234 7:4.635932 8:0.5498948 9:-0.021363165 10:-3.0068042 11:3.2609472 12:-3.0237608 13:-1.2780573 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:200.33363 2:0.46493876 3:5.286166 4:-3.338569 5:3.6441138 6:-0.52437234 7:4.635932 8:0.5498948 9:-0.021363165 10:-3.0068042 11:3.2609472 12:-3.0237608 13:-1.2780573 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:203.63614 2:0.8657779 3:4.6399894 4:-1.3759633 5:6.004619 6:-1.1268296 7:2.30417 8:-1.9170234 9:-0.31185362 10:-1.117483 11:5.012127 12:0.005095012 13:-1.5574572 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:203.63614 2:0.8657779 3:4.6399894 4:-1.3759633 5:6.004619 6:-1.1268296 7:2.30417 8:-1.9170234 9:-0.31185362 10:-1.117483 11:5.012127 12:0.005095012 13:-1.5574572 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.79877 2:0.42625156 3:3.7849386 4:-3.752914 5:4.0547075 6:-0.33939895 7:3.0167334 8:-1.7542677 9:1.5233998 10:-0.2157264 11:1.6149303 12:-1.9817699 13:1.9322072 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.79877 2:0.42625156 3:3.7849386 4:-3.752914 5:4.0547075 6:-0.33939895 7:3.0167334 8:-1.7542677 9:1.5233998 10:-0.2157264 11:1.6149303 12:-1.9817699 13:1.9322072 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.76321 2:0.56118053 3:3.5154283 4:-1.5297427 5:5.564866 6:-3.7377396 7:2.135324 8:2.2536287 9:0.8901916 10:-3.1266835 11:1.4609752 12:-3.5655787 13:0.307704 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.76321 2:0.56118053 3:3.5154283 4:-1.5297427 5:5.564866 6:-3.7377396 7:2.135324 8:2.2536287 9:0.8901916 10:-3.1266835 11:1.4609752 12:-3.5655787 13:0.307704 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:204.19449 2:1.9494994 3:2.7793984 4:-5.5539403 5:4.358917 6:-1.2240255 7:1.3053671 8:-1.243974 9:-1.8313712 10:-2.7349904 11:1.7520307 12:-2.7417564 13:1.9900298 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:204.19449 2:1.9494994 3:2.7793984 4:-5.5539403 5:4.358917 6:-1.2240255 7:1.3053671 8:-1.243974 9:-1.8313712 10:-2.7349904 11:1.7520307 12:-2.7417564 13:1.9900298 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.02318 2:1.2637748 3:3.8138785 4:-4.665741 5:3.933514 6:-0.8028842 7:5.1157093 8:-1.0323069 9:0.428834 10:-0.1206997 11:3.321144 12:-1.2916206 13:0.4712705 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.02318 2:1.2637748 3:3.8138785 4:-4.665741 5:3.933514 6:-0.8028842 7:5.1157093 8:-1.0323069 9:0.428834 10:-0.1206997 11:3.321144 12:-1.2916206 13:0.4712705 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.15877 2:2.594445 3:5.701953 4:-5.9453697 5:1.4506431 6:0.20103906 7:0.51295745 8:-2.0698483 9:2.6577005 10:-1.5662174 11:2.3854036 12:-1.0676475 13:1.6994323 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.15877 2:2.594445 3:5.701953 4:-5.9453697 5:1.4506431 6:0.20103906 7:0.51295745 8:-2.0698483 9:2.6577005 10:-1.5662174 11:2.3854036 12:-1.0676475 13:1.6994323 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.78358 2:2.765343 3:7.199268 4:-3.0386703 5:7.3932776 6:-1.3894682 7:-0.87518275 8:-1.5073081 9:2.7625983 10:-0.32373062 11:0.26904553 12:-2.6524844 13:2.7519126 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:198.78358 2:2.765343 3:7.199268 4:-3.0386703 5:7.3932776 6:-1.3894682 7:-0.87518275 8:-1.5073081 9:2.7625983 10:-0.32373062 11:0.26904553 12:-2.6524844 13:2.7519126 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.60486 2:-0.34729123 3:6.4272346 4:-1.8993676 5:7.086014 6:-2.0736158 7:0.7282425 8:-0.10106277 9:0.93156105 10:-1.9788128 11:1.0569191 12:-2.8077219 13:-0.010525056 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:199.60486 2:-0.34729123 3:6.4272346 4:-1.8993676 5:7.086014 6:-2.0736158 7:0.7282425 8:-0.10106277 9:0.93156105 10:-1.9788128 11:1.0569191 12:-2.8077219 13:-0.010525056 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
1 1:202.01381 2:1.2946013 3:8.814177 4:-3.0128343 5:6.015267 6:-0.008568349 7:2.2291188 8:0.6739643 9:1.9903636 10:-3.886771 11:0.62873876 12:-0.64323354 13:0.7300936 14:70.712265 15:3.270867 16:1.4510655 17:-0.068683386 18:1.3971324 19:-1.5460718 20:0.8348943 21:-0.6786883 22:1.5779806 23:-1.0936186 24:1.8954196 25:-0.23525403 26:0.64447105 
