2 1:190.60088 2:9.693873 3:6.183442 4:-5.0949306 5:2.9059088 6:-6.7119975 7:2.0711527 8:-1.728983 9:2.5809484 10:-4.7796297 11:2.1002803 12:-4.792295 13:2.9200451 14:190.60088 15:9.693873 16:6.183442 17:-5.0949306 18:2.9059088 19:-6.7119975 20:2.0711527 21:-1.728983 22:2.5809484 23:-4.7796297 24:2.1002803 25:-4.792295 26:2.9200451 
2 1:205.51758 2:2.2893345 3:5.3107543 4:-2.841493 5:4.8649983 6:-7.819136 7:-1.797362 8:-0.32433838 9:-0.5498042 10:-5.61644 11:2.0524504 12:-0.8212569 13:2.9018996 14:205.51758 15:2.2893345 16:5.3107543 17:-2.841493 18:4.8649983 19:-7.819136 20:-1.797362 21:-0.32433838 22:-0.5498042 23:-5.61644 24:2.0524504 25:-0.8212569 26:2.9018996 
2 1:207.61661 2:1.543136 3:5.4549394 4:-2.5977333 5:2.7390776 6:-5.789687 7:0.17439824 8:-2.4405625 9:4.0354652 10:-2.1586683 11:0.3683926 12:-0.7950404 13:2.5627992 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:207.61661 2:1.543136 3:5.4549394 4:-2.5977333 5:2.7390776 6:-5.789687 7:0.17439824 8:-2.4405625 9:4.0354652 10:-2.1586683 11:0.3683926 12:-0.7950404 13:2.5627992 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:211.09479 2:6.3384666 3:4.337543 4:-5.169625 5:3.838091 6:-4.222922 7:0.9654166 8:-4.2377753 9:1.8692095 10:-2.257029 11:0.7278453 12:-3.939634 13:2.7838356 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:211.09479 2:6.3384666 3:4.337543 4:-5.169625 5:3.838091 6:-4.222922 7:0.9654166 8:-4.2377753 9:1.8692095 10:-2.257029 11:0.7278453 12:-3.939634 13:2.7838356 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:204.97865 2:4.9150667 3:3.4847674 4:-2.413715 5:3.544942 6:-4.1440353 7:3.8462887 8:-4.401779 9:2.7757797 10:-1.813659 11:0.011899323 12:-3.4126096 13:0.030878501 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:204.97865 2:4.9150667 3:3.4847674 4:-2.413715 5:3.544942 6:-4.1440353 7:3.8462887 8:-4.401779 9:2.7757797 10:-1.813659 11:0.011899323 12:-3.4126096 13:0.030878501 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:199.8382 2:4.597664 3:-1.1341057 4:-5.2952285 5:4.97949 6:-2.7004554 7:2.3424127 8:-1.180666 9:2.704537 10:-5.4482307 11:-0.5602733 12:-5.470155 13:2.6371737 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:199.8382 2:4.597664 3:-1.1341057 4:-5.2952285 5:4.97949 6:-2.7004554 7:2.3424127 8:-1.180666 9:2.704537 10:-5.4482307 11:-0.5602733 12:-5.470155 13:2.6371737 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
2 1:209.53586 2:5.5996065 3:4.114716 4:-4.158415 5:2.4746654 6:-3.2447324 7:4.274833 8:-1.0551313 9:4.1289234 10:-3.8499537 11:1.0879996 12:-2.2623324 13:3.886897 14:100.892685 15:0.038235847 16:5.2230544 17:2.5698245 18:-0.5069996 19:-1.2918097 20:0.33410144 21:-1.9802932 22:0.20259786 23:-1.1747999 24:0.07287377 25:-1.3586216 26:0.9172638 
