2 1:127.52566 2:8.3633795 3:-4.61418 4:-16.320494 5:3.814498 6:-2.1716945 7:-1.4579566 8:-2.3595643 9:2.2205381 10:-2.0846572 11:1.6507133 12:-3.082812 13:3.8206778 14:127.52566 15:8.3633795 16:-4.61418 17:-16.320494 18:3.814498 19:-2.1716945 20:-1.4579566 21:-2.3595643 22:2.2205381 23:-2.0846572 24:1.6507133 25:-3.082812 26:3.8206778 
2 1:215.58453 2:6.4996605 3:0.64158916 4:-8.537083 5:5.762154 6:0.621233 7:2.5171983 8:-2.3371577 9:1.1512393 10:-1.4475998 11:1.4206909 12:-3.8354099 13:1.7467183 14:215.58453 15:6.4996605 16:0.64158916 17:-8.537083 18:5.762154 19:0.621233 20:2.5171983 21:-2.3371577 22:1.1512393 23:-1.4475998 24:1.4206909 25:-3.8354099 26:1.7467183 
2 1:215.74738 2:-1.9918648 3:-2.7426054 4:-3.3319273 5:5.0603876 6:2.8455517 7:3.5172305 8:-4.0107384 9:-0.6405325 10:-3.9009414 11:2.0383575 12:-5.4532247 13:1.2283387 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:215.74738 2:-1.9918648 3:-2.7426054 4:-3.3319273 5:5.0603876 6:2.8455517 7:3.5172305 8:-4.0107384 9:-0.6405325 10:-3.9009414 11:2.0383575 12:-5.4532247 13:1.2283387 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:216.28323 2:-1.8904274 3:-2.9903157 4:-3.9820354 5:3.0664852 6:0.55509335 7:1.2412671 8:-5.985899 9:-0.30621022 10:-2.4110615 11:4.0177946 12:-4.117007 13:2.0643823 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:216.28323 2:-1.8904274 3:-2.9903157 4:-3.9820354 5:3.0664852 6:0.55509335 7:1.2412671 8:-5.985899 9:-0.30621022 10:-2.4110615 11:4.0177946 12:-4.117007 13:2.0643823 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:226.42708 2:4.5910673 3:4.2888556 4:-2.7109911 5:4.205167 6:-1.7259606 7:-1.4147604 8:-0.26282442 9:1.9726558 10:-5.7966785 11:3.9465184 12:-3.7751284 13:3.5045452 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:226.42708 2:4.5910673 3:4.2888556 4:-2.7109911 5:4.205167 6:-1.7259606 7:-1.4147604 8:-0.26282442 9:1.9726558 10:-5.7966785 11:3.9465184 12:-3.7751284 13:3.5045452 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:218.01271 2:-1.4135867 3:-2.2614946 4:-5.262487 5:3.1710894 6:-2.8926544 7:0.63085604 8:-3.1463318 9:1.859205 10:-0.16621162 11:3.8338869 12:-4.8888946 13:2.373035 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:218.01271 2:-1.4135867 3:-2.2614946 4:-5.262487 5:3.1710894 6:-2.8926544 7:0.63085604 8:-3.1463318 9:1.859205 10:-0.16621162 11:3.8338869 12:-4.8888946 13:2.373035 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:218.09636 2:-0.67102116 3:-3.7538753 4:-2.7290118 5:4.8536787 6:-0.27486035 7:0.22158793 8:-2.1020737 9:0.41186923 10:-3.084633 11:0.54574233 12:-5.3915157 13:1.9219828 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
