2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:186.57573 2:0.6279714 3:-6.1872234 4:-8.848052 5:1.123002 6:-1.1873467 7:3.7992895 8:-5.3454213 9:6.0174584 10:-1.1232554 11:3.367759 12:-2.9213653 13:4.446433 14:186.57573 15:0.6279714 16:-6.1872234 17:-8.848052 18:1.123002 19:-1.1873467 20:3.7992895 21:-5.3454213 22:6.0174584 23:-1.1232554 24:3.367759 25:-2.9213653 26:4.446433 
2 1:215.53807 2:5.4160137 3:1.5156158 4:-2.3275795 5:1.5475819 6:-0.12327088 7:5.3077607 8:-1.4512155 9:4.2420473 10:-2.1464527 11:6.277021 12:-4.1062956 13:1.8965765 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:215.53807 2:5.4160137 3:1.5156158 4:-2.3275795 5:1.5475819 6:-0.12327088 7:5.3077607 8:-1.4512155 9:4.2420473 10:-2.1464527 11:6.277021 12:-4.1062956 13:1.8965765 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:218.32939 2:5.731391 3:3.874928 4:-3.0116801 5:2.9752965 6:-3.3894892 7:1.3731433 8:-4.0458603 9:2.6576257 10:-2.1799164 11:2.812857 12:-2.4360445 13:2.4660716 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:218.32939 2:5.731391 3:3.874928 4:-3.0116801 5:2.9752965 6:-3.3894892 7:1.3731433 8:-4.0458603 9:2.6576257 10:-2.1799164 11:2.812857 12:-2.4360445 13:2.4660716 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:208.63547 2:8.751078 3:2.8859115 4:-4.582575 5:3.3489494 6:-4.4475036 7:4.2843437 8:0.13294889 9:5.9751077 10:-1.827755 11:2.3449357 12:-5.9093504 13:3.3045774 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:208.63547 2:8.751078 3:2.8859115 4:-4.582575 5:3.3489494 6:-4.4475036 7:4.2843437 8:0.13294889 9:5.9751077 10:-1.827755 11:2.3449357 12:-5.9093504 13:3.3045774 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:209.73631 2:6.607684 3:2.6462944 4:-2.123918 5:-0.08028118 6:-4.0549407 7:4.759694 8:-2.4418752 9:4.641907 10:-4.4022923 11:5.137363 12:-2.2687187 13:0.3118541 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:209.73631 2:6.607684 3:2.6462944 4:-2.123918 5:-0.08028118 6:-4.0549407 7:4.759694 8:-2.4418752 9:4.641907 10:-4.4022923 11:5.137363 12:-2.2687187 13:0.3118541 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
2 1:212.84514 2:8.235244 3:1.2016652 4:-3.4627185 5:-0.65805495 6:-5.9910474 7:1.1082213 8:-4.4078226 9:6.7542167 10:-1.9373928 11:3.3494973 12:-3.601079 13:2.8142455 14:92.322655 15:1.9982958 16:3.7045324 17:0.9482949 18:1.6360196 19:0.7634313 20:0.10924028 21:-2.8499203 22:1.3953838 23:-0.25800595 24:0.4937877 25:-0.62195575 26:0.7191184 
