1 1:126.521225 2:-12.65443 3:1.3391713 4:-1.756515 5:1.1068943 6:-1.5982685 7:0.7735905 8:-1.3883972 9:1.5421537 10:-1.0546851 11:1.237024 12:-1.5930945 13:1.8954415 14:126.521225 15:-12.65443 16:1.3391713 17:-1.756515 18:1.1068943 19:-1.5982685 20:0.7735905 21:-1.3883972 22:1.5421537 23:-1.0546851 24:1.237024 25:-1.5930945 26:1.8954415 
1 1:232.55927 2:4.2365036 3:-1.4285411 4:-2.133898 5:-0.32410124 6:-7.0458465 7:2.2739322 8:-2.0721788 9:5.069428 10:-2.2766006 11:1.993121 12:-2.4793649 13:2.6571777 14:232.55927 15:4.2365036 16:-1.4285411 17:-2.133898 18:-0.32410124 19:-7.0458465 20:2.2739322 21:-2.0721788 22:5.069428 23:-2.2766006 24:1.993121 25:-2.4793649 26:2.6571777 
1 1:271.83826 2:5.343899 3:-1.3322432 4:0.7527146 5:0.77273065 6:-5.0418878 7:4.6505866 8:-1.6718369 9:5.1926856 10:-1.6305817 11:1.9511062 12:-3.7231643 13:1.9041485 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:271.83826 2:5.343899 3:-1.3322432 4:0.7527146 5:0.77273065 6:-5.0418878 7:4.6505866 8:-1.6718369 9:5.1926856 10:-1.6305817 11:1.9511062 12:-3.7231643 13:1.9041485 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:234.16895 2:10.65078 3:3.972188 4:0.47382897 5:2.3780136 6:-5.4612713 7:5.243229 8:-0.8920993 9:7.0841055 10:-1.7169755 11:2.866106 12:-4.237003 13:1.997853 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:234.16895 2:10.65078 3:3.972188 4:0.47382897 5:2.3780136 6:-5.4612713 7:5.243229 8:-0.8920993 9:7.0841055 10:-1.7169755 11:2.866106 12:-4.237003 13:1.997853 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:214.93196 2:5.3602896 3:2.43459 4:-1.3025149 5:3.950541 6:-4.427948 7:0.5453578 8:-1.9764482 9:5.5388765 10:-0.44860375 11:2.863579 12:-1.0434729 13:5.070224 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:214.93196 2:5.3602896 3:2.43459 4:-1.3025149 5:3.950541 6:-4.427948 7:0.5453578 8:-1.9764482 9:5.5388765 10:-0.44860375 11:2.863579 12:-1.0434729 13:5.070224 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:210.8676 2:4.281428 3:2.451418 4:-2.0808425 5:5.110728 6:-1.6866829 7:0.98188126 8:-3.3672447 9:2.3389616 10:-3.9825099 11:3.5239005 12:-2.6304972 13:4.382665 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:210.8676 2:4.281428 3:2.451418 4:-2.0808425 5:5.110728 6:-1.6866829 7:0.98188126 8:-3.3672447 9:2.3389616 10:-3.9825099 11:3.5239005 12:-2.6304972 13:4.382665 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:213.44798 2:4.124425 3:5.4823756 4:-1.4408069 5:1.8745463 6:-5.739199 7:-1.0899744 8:0.06280727 9:6.1038265 10:-1.418108 11:1.4642686 12:-3.935746 13:4.820574 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:213.44798 2:4.124425 3:5.4823756 4:-1.4408069 5:1.8745463 6:-5.739199 7:-1.0899744 8:0.06280727 9:6.1038265 10:-1.418108 11:1.4642686 12:-3.935746 13:4.820574 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:208.42464 2:6.693522 3:1.47475 4:-2.5339298 5:1.9346629 6:-5.9644494 7:2.990026 8:-1.1092407 9:5.557021 10:-3.9168735 11:2.8785908 12:-1.8088466 13:5.118051 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:208.42464 2:6.693522 3:1.47475 4:-2.5339298 5:1.9346629 6:-5.9644494 7:2.990026 8:-1.1092407 9:5.557021 10:-3.9168735 11:2.8785908 12:-1.8088466 13:5.118051 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:214.88634 2:7.0053015 3:3.0072663 4:-3.2567487 5:5.8704453 6:-4.966522 7:2.8800163 8:-1.303744 9:7.5602956 10:-1.604407 11:0.9998324 12:-1.2541969 13:4.9730787 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:214.88634 2:7.0053015 3:3.0072663 4:-3.2567487 5:5.8704453 6:-4.966522 7:2.8800163 8:-1.303744 9:7.5602956 10:-1.604407 11:0.9998324 12:-1.2541969 13:4.9730787 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:210.23653 2:4.1798506 3:1.9460031 4:-3.9211063 5:5.2806797 6:-4.0753818 7:1.7438661 8:-0.5292818 9:3.3865914 10:-1.9492097 11:0.98970026 12:-2.6989326 13:4.9885225 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:210.23653 2:4.1798506 3:1.9460031 4:-3.9211063 5:5.2806797 6:-4.0753818 7:1.7438661 8:-0.5292818 9:3.3865914 10:-1.9492097 11:0.98970026 12:-2.6989326 13:4.9885225 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:215.45107 2:7.0082316 3:6.606925 4:0.6658211 5:4.4055123 6:-2.8342583 7:1.9501376 8:-4.829655 9:2.27553 10:-4.032722 11:2.3303752 12:-3.2957993 13:4.9519534 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:215.45107 2:7.0082316 3:6.606925 4:0.6658211 5:4.4055123 6:-2.8342583 7:1.9501376 8:-4.829655 9:2.27553 10:-4.032722 11:2.3303752 12:-3.2957993 13:4.9519534 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:203.65347 2:4.421456 3:2.2503915 4:-5.118598 5:5.306847 6:-4.5104866 7:0.8544954 8:-2.931547 9:3.9176934 10:-0.39765975 11:2.0006566 12:-2.968582 13:4.779563 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:203.65347 2:4.421456 3:2.2503915 4:-5.118598 5:5.306847 6:-4.5104866 7:0.8544954 8:-2.931547 9:3.9176934 10:-0.39765975 11:2.0006566 12:-2.968582 13:4.779563 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:211.48856 2:4.1040034 3:5.808591 4:-2.9061522 5:2.8652565 6:-3.5557258 7:1.2260112 8:-2.3880696 9:2.1667826 10:-3.4034472 11:3.0740685 12:-2.3263352 13:3.0510945 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:211.48856 2:4.1040034 3:5.808591 4:-2.9061522 5:2.8652565 6:-3.5557258 7:1.2260112 8:-2.3880696 9:2.1667826 10:-3.4034472 11:3.0740685 12:-2.3263352 13:3.0510945 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:208.88731 2:3.705337 3:3.8417146 4:-3.955109 5:4.584845 6:-1.8118691 7:2.107389 8:-0.41823176 9:4.566163 10:-1.8609792 11:2.4345746 12:-3.56114 13:3.323907 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:208.88731 2:3.705337 3:3.8417146 4:-3.955109 5:4.584845 6:-1.8118691 7:2.107389 8:-0.41823176 9:4.566163 10:-1.8609792 11:2.4345746 12:-3.56114 13:3.323907 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
1 1:207.42625 2:2.8336515 3:1.6802621 4:-4.0133944 5:3.6992238 6:-4.6862082 7:-1.4875728 8:-6.8559623 9:-0.29777768 10:-1.6085211 11:1.6388566 12:-1.0747925 13:5.0244765 14:86.4731 15:6.308071 16:-0.01567701 17:-3.0027778 18:0.22317885 19:-1.2505065 20:0.9982835 21:-2.3847759 22:2.3879564 23:-1.2381608 24:1.9532189 25:-1.4235439 26:0.25068673 
