1 1:136.2166 2:-6.6875515 3:-5.648972 4:-5.6080155 5:-3.5939658 6:-6.1779213 7:-0.5472814 8:-4.034226 9:2.2583685 10:-1.19266 11:0.77796036 12:-4.6902943 13:2.4214196 14:136.2166 15:-6.6875515 16:-5.648972 17:-5.6080155 18:-3.5939658 19:-6.1779213 20:-0.5472814 21:-4.034226 22:2.2583685 23:-1.19266 24:0.77796036 25:-4.6902943 26:2.4214196 
1 1:202.40482 2:3.3724353 3:2.0361564 4:-1.1777931 5:7.7060223 6:-0.6363002 7:2.3734236 8:-4.134548 9:4.0506487 10:-4.3697968 11:1.9757228 12:-2.2682703 13:3.1008432 14:202.40482 15:3.3724353 16:2.0361564 17:-1.1777931 18:7.7060223 19:-0.6363002 20:2.3734236 21:-4.134548 22:4.0506487 23:-4.3697968 24:1.9757228 25:-2.2682703 26:3.1008432 
1 1:203.74728 2:5.9543138 3:9.298614 4:4.6078997 5:11.996585 6:-3.2362497 7:-1.5270306 8:-5.8431096 9:-0.030633679 10:-3.0613127 11:4.3767204 12:-3.093324 13:3.629315 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.74728 2:5.9543138 3:9.298614 4:4.6078997 5:11.996585 6:-3.2362497 7:-1.5270306 8:-5.8431096 9:-0.030633679 10:-3.0613127 11:4.3767204 12:-3.093324 13:3.629315 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:208.26225 2:9.895038 3:4.5012918 4:-3.932287 5:7.464682 6:1.873814 7:5.7300296 8:-3.149902 9:-0.32427707 10:-4.0827284 11:3.7505434 12:-5.685791 13:2.54289 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:208.26225 2:9.895038 3:4.5012918 4:-3.932287 5:7.464682 6:1.873814 7:5.7300296 8:-3.149902 9:-0.32427707 10:-4.0827284 11:3.7505434 12:-5.685791 13:2.54289 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.82591 2:10.840991 3:5.9823165 4:-1.0690893 5:3.8043067 6:-2.1616428 7:2.6784272 8:-3.4349422 9:4.2027507 10:-3.436449 11:0.30138534 12:-2.8516555 13:7.758979 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:203.82591 2:10.840991 3:5.9823165 4:-1.0690893 5:3.8043067 6:-2.1616428 7:2.6784272 8:-3.4349422 9:4.2027507 10:-3.436449 11:0.30138534 12:-2.8516555 13:7.758979 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.47527 2:7.897687 3:2.7117858 4:-4.686384 5:4.6099253 6:-0.9166624 7:2.3949075 8:-3.455958 9:4.104864 10:-0.57560396 11:3.2815871 12:-2.967817 13:5.150457 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.47527 2:7.897687 3:2.7117858 4:-4.686384 5:4.6099253 6:-0.9166624 7:2.3949075 8:-3.455958 9:4.104864 10:-0.57560396 11:3.2815871 12:-2.967817 13:5.150457 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.12892 2:9.109121 3:3.247609 4:-3.4339495 5:4.0870295 6:-0.8847249 7:-1.0533866 8:-4.0054846 9:1.6370543 10:-5.999531 11:4.4286895 12:-2.2186701 13:5.0147758 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
