1 1:128.63213 2:-3.5908766 3:2.6548078 4:1.0643882 5:-0.81037235 6:-1.2541065 7:-1.7723085 8:-5.902253 9:1.3643436 10:-1.7482264 11:3.9849675 12:-1.6185963 13:2.1804428 14:128.63213 15:-3.5908766 16:2.6548078 17:1.0643882 18:-0.81037235 19:-1.2541065 20:-1.7723085 21:-5.902253 22:1.3643436 23:-1.7482264 24:3.9849675 25:-1.6185963 26:2.1804428 
1 1:202.89864 2:1.5559953 3:4.182395 4:-1.9602927 5:0.23685284 6:-5.181325 7:3.2582736 8:4.0476685 9:7.320232 10:-0.31256557 11:2.1421905 12:-3.8646567 13:1.3508878 14:202.89864 15:1.5559953 16:4.182395 17:-1.9602927 18:0.23685284 19:-5.181325 20:3.2582736 21:4.0476685 22:7.320232 23:-0.31256557 24:2.1421905 25:-3.8646567 26:1.3508878 
1 1:214.05756 2:3.094545 3:1.1890438 4:-3.338527 5:0.07136096 6:-3.0209808 7:0.8780801 8:-0.24815878 9:3.9670846 10:-0.4508152 11:1.2772441 12:-5.5961137 13:3.225952 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:214.05756 2:3.094545 3:1.1890438 4:-3.338527 5:0.07136096 6:-3.0209808 7:0.8780801 8:-0.24815878 9:3.9670846 10:-0.4508152 11:1.2772441 12:-5.5961137 13:3.225952 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:220.72665 2:5.8249316 3:1.8158779 4:-2.2828937 5:3.5631833 6:-2.3114016 7:2.5104504 8:-3.6011496 9:2.9196231 10:-0.101161815 11:1.7770525 12:-5.7617984 13:3.8887947 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:220.72665 2:5.8249316 3:1.8158779 4:-2.2828937 5:3.5631833 6:-2.3114016 7:2.5104504 8:-3.6011496 9:2.9196231 10:-0.101161815 11:1.7770525 12:-5.7617984 13:3.8887947 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:230.10266 2:8.200737 3:3.2770798 4:-1.3714035 5:-0.91142356 6:-3.7646432 7:2.0699592 8:-2.9482539 9:3.707091 10:-3.399565 11:2.060593 12:-4.8622932 13:4.0066795 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:230.10266 2:8.200737 3:3.2770798 4:-1.3714035 5:-0.91142356 6:-3.7646432 7:2.0699592 8:-2.9482539 9:3.707091 10:-3.399565 11:2.060593 12:-4.8622932 13:4.0066795 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:225.58922 2:5.465694 3:1.9319087 4:-1.2157105 5:0.6853199 6:-3.152921 7:3.7930548 8:0.7371894 9:7.2419906 10:-1.6917473 11:2.995573 12:-4.959362 13:4.5414443 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:225.58922 2:5.465694 3:1.9319087 4:-1.2157105 5:0.6853199 6:-3.152921 7:3.7930548 8:0.7371894 9:7.2419906 10:-1.6917473 11:2.995573 12:-4.959362 13:4.5414443 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:217.45891 2:3.4799988 3:1.3803375 4:-1.1186353 5:0.9529216 6:0.76669294 7:3.073734 8:-3.8402224 9:3.5121822 10:-2.8539116 11:1.2894228 12:-6.4660363 13:4.347412 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:217.45891 2:3.4799988 3:1.3803375 4:-1.1186353 5:0.9529216 6:0.76669294 7:3.073734 8:-3.8402224 9:3.5121822 10:-2.8539116 11:1.2894228 12:-6.4660363 13:4.347412 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:214.80893 2:2.130826 3:-2.0359771 4:0.14454962 5:3.3532474 6:-1.718548 7:3.8882632 8:-2.2711508 9:5.435701 10:-2.9591985 11:1.9437011 12:-0.93618435 13:4.8225164 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:214.80893 2:2.130826 3:-2.0359771 4:0.14454962 5:3.3532474 6:-1.718548 7:3.8882632 8:-2.2711508 9:5.435701 10:-2.9591985 11:1.9437011 12:-0.93618435 13:4.8225164 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:213.33775 2:1.8860803 3:1.9096276 4:-0.64389825 5:2.5191746 6:-0.67022914 7:-1.0655023 8:-2.7910578 9:2.071986 10:-2.221718 11:3.0660434 12:-5.003327 13:3.3979836 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:213.33775 2:1.8860803 3:1.9096276 4:-0.64389825 5:2.5191746 6:-0.67022914 7:-1.0655023 8:-2.7910578 9:2.071986 10:-2.221718 11:3.0660434 12:-5.003327 13:3.3979836 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:211.74767 2:6.3865724 3:3.3855624 4:-2.611972 5:0.96274364 6:-0.91005284 7:0.81560147 8:-4.275897 9:1.0917686 10:-3.5405345 11:1.8977447 12:-4.0116105 13:4.563542 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:211.74767 2:6.3865724 3:3.3855624 4:-2.611972 5:0.96274364 6:-0.91005284 7:0.81560147 8:-4.275897 9:1.0917686 10:-3.5405345 11:1.8977447 12:-4.0116105 13:4.563542 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:211.17346 2:5.469158 3:7.610856 4:0.73226744 5:0.39083582 6:-1.91923 7:-0.51593167 8:-5.5569487 9:2.1159348 10:-2.4784095 11:1.8649285 12:-4.0866847 13:3.5565097 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:211.17346 2:5.469158 3:7.610856 4:0.73226744 5:0.39083582 6:-1.91923 7:-0.51593167 8:-5.5569487 9:2.1159348 10:-2.4784095 11:1.8649285 12:-4.0866847 13:3.5565097 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:208.61688 2:2.604429 3:7.693041 4:0.61679953 5:2.0938118 6:-2.0608635 7:2.6878314 8:-3.7328215 9:1.6679019 10:-1.899905 11:1.5233747 12:-4.428531 13:2.1009576 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:208.61688 2:2.604429 3:7.693041 4:0.61679953 5:2.0938118 6:-2.0608635 7:2.6878314 8:-3.7328215 9:1.6679019 10:-1.899905 11:1.5233747 12:-4.428531 13:2.1009576 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:203.4638 2:-0.2595062 3:4.424527 4:0.2440586 5:0.8269387 6:-4.729413 7:-1.0722584 8:-3.788529 9:-1.1029931 10:-4.668099 11:2.7923903 12:-4.8445053 13:1.4175234 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:203.4638 2:-0.2595062 3:4.424527 4:0.2440586 5:0.8269387 6:-4.729413 7:-1.0722584 8:-3.788529 9:-1.1029931 10:-4.668099 11:2.7923903 12:-4.8445053 13:1.4175234 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:220.40477 2:7.210447 3:-1.4156473 4:-2.4178498 5:1.9467689 6:-5.057442 7:3.5331051 8:-4.116049 9:3.9382951 10:-1.461397 11:2.3176935 12:-3.7819922 13:4.0850353 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:220.40477 2:7.210447 3:-1.4156473 4:-2.4178498 5:1.9467689 6:-5.057442 7:3.5331051 8:-4.116049 9:3.9382951 10:-1.461397 11:2.3176935 12:-3.7819922 13:4.0850353 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
1 1:204.31155 2:3.857068 3:9.225764 4:-0.40259036 5:1.9185649 6:-3.1539826 7:1.7125363 8:-0.08352918 9:2.2587335 10:-3.9285192 11:1.8921818 12:-3.9469128 13:4.308178 14:81.164894 15:2.9857473 16:5.05753 17:-1.1816562 18:2.9236326 19:0.18201011 20:-0.8854027 21:-2.8508615 22:0.66229045 23:-0.04422315 24:-0.49249637 25:-0.4002768 26:0.4493301 
