2 1:-42.140312 2:-22.037664 3:-2.2491827 4:-3.2350233 5:-0.29297087 6:-1.9227808 7:-0.090033755 8:-1.2002177 9:0.96107554 10:-0.7891941 11:0.71180373 12:-1.3196354 13:1.4147911 14:-42.140312 15:-22.037664 16:-2.2491827 17:-3.2350233 18:-0.29297087 19:-1.9227808 20:-0.090033755 21:-1.2002177 22:0.96107554 23:-0.7891941 24:0.71180373 25:-1.3196354 26:1.4147911 
2 1:178.7353 2:-0.30949235 3:5.196663 4:1.8007717 5:-0.5549111 6:-3.221497 7:0.16844437 8:-3.8412018 9:3.2703602 10:-3.4691432 11:0.37386793 12:-3.5697854 13:3.512365 14:178.7353 15:-0.30949235 16:5.196663 17:1.8007717 18:-0.5549111 19:-3.221497 20:0.16844437 21:-3.8412018 22:3.2703602 23:-3.4691432 24:0.37386793 25:-3.5697854 26:3.512365 
2 1:241.69434 2:-5.4804506 3:6.4597874 4:5.045024 5:-3.492073 6:-7.631692 7:3.2511683 8:-6.5161867 9:-1.4543669 10:-0.2744869 11:5.851833 12:-3.531494 13:1.0609463 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:241.69434 2:-5.4804506 3:6.4597874 4:5.045024 5:-3.492073 6:-7.631692 7:3.2511683 8:-6.5161867 9:-1.4543669 10:-0.2744869 11:5.851833 12:-3.531494 13:1.0609463 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:212.66464 2:0.4366577 3:5.8773255 4:5.6489673 5:-0.3192769 6:-6.5873504 7:5.7356176 8:-4.5921135 9:2.2738817 10:1.0131518 11:5.0064807 12:-2.7431915 13:2.0430498 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:212.66464 2:0.4366577 3:5.8773255 4:5.6489673 5:-0.3192769 6:-6.5873504 7:5.7356176 8:-4.5921135 9:2.2738817 10:1.0131518 11:5.0064807 12:-2.7431915 13:2.0430498 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:201.31735 2:-3.7056174 3:7.90128 4:4.869178 5:-1.4347081 6:-5.296564 7:1.7524642 8:-0.63791376 9:5.4092107 10:0.67741543 11:1.582912 12:-4.5352783 13:3.1551783 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:201.31735 2:-3.7056174 3:7.90128 4:4.869178 5:-1.4347081 6:-5.296564 7:1.7524642 8:-0.63791376 9:5.4092107 10:0.67741543 11:1.582912 12:-4.5352783 13:3.1551783 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:207.46542 2:-3.2280116 3:4.9198637 4:3.9606986 5:2.372761 6:-3.8235257 7:2.7534332 8:-2.3327582 9:0.1458491 10:-0.1726382 11:2.9851472 12:-4.5519547 13:3.798661 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:207.46542 2:-3.2280116 3:4.9198637 4:3.9606986 5:2.372761 6:-3.8235257 7:2.7534332 8:-2.3327582 9:0.1458491 10:-0.1726382 11:2.9851472 12:-4.5519547 13:3.798661 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
2 1:204.36449 2:-2.7306817 3:5.791009 4:0.9651888 5:1.6707783 6:-1.7536206 7:4.8525214 8:-4.7174644 9:-1.7838848 10:-1.2113457 11:2.712364 12:-1.4553258 13:5.220933 14:71.60304 15:1.6369671 16:0.88153404 17:-0.6467185 18:2.4769137 19:-0.9507831 20:-0.13585809 21:-0.62642235 22:1.998497 23:-0.05047465 24:0.43987346 25:-1.2686782 26:0.99569434 
