1 1:128.47153 2:6.488104 3:2.7953336 4:-3.149156 5:1.5410317 6:-4.8368855 7:-2.8757102 8:-0.97525996 9:6.071938 10:-4.3005443 11:2.9931831 12:-4.918785 13:3.8580894 14:128.47153 15:6.488104 16:2.7953336 17:-3.149156 18:1.5410317 19:-4.8368855 20:-2.8757102 21:-0.97525996 22:6.071938 23:-4.3005443 24:2.9931831 25:-4.918785 26:3.8580894 
1 1:203.35194 2:11.525875 3:3.619473 4:2.1876287 5:5.1044164 6:-5.538329 7:-2.5729525 8:-4.4391155 9:4.1051636 10:-4.373876 11:5.419791 12:-4.5581155 13:4.9267344 14:203.35194 15:11.525875 16:3.619473 17:2.1876287 18:5.1044164 19:-5.538329 20:-2.5729525 21:-4.4391155 22:4.1051636 23:-4.373876 24:5.419791 25:-4.5581155 26:4.9267344 
1 1:206.33861 2:8.515302 3:5.2489147 4:-1.4636164 5:5.4815826 6:-6.22914 7:0.046957042 8:-2.621949 9:1.9781703 10:-0.8954362 11:2.627278 12:-3.8229797 13:1.1183077 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:206.33861 2:8.515302 3:5.2489147 4:-1.4636164 5:5.4815826 6:-6.22914 7:0.046957042 8:-2.621949 9:1.9781703 10:-0.8954362 11:2.627278 12:-3.8229797 13:1.1183077 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.71684 2:6.55904 3:4.048533 4:-4.0627437 5:0.98513705 6:-5.3456454 7:1.6607631 8:-2.4704251 9:1.745552 10:-3.6670582 11:4.878397 12:-2.2877703 13:2.1831753 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.71684 2:6.55904 3:4.048533 4:-4.0627437 5:0.98513705 6:-5.3456454 7:1.6607631 8:-2.4704251 9:1.745552 10:-3.6670582 11:4.878397 12:-2.2877703 13:2.1831753 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.2744 2:7.4615765 3:7.4994826 4:0.54165184 5:4.752475 6:-4.2384396 7:-1.3547101 8:-5.2277093 9:2.1136844 10:-0.44310454 11:3.202911 12:-3.7014716 13:3.9432049 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.2744 2:7.4615765 3:7.4994826 4:0.54165184 5:4.752475 6:-4.2384396 7:-1.3547101 8:-5.2277093 9:2.1136844 10:-0.44310454 11:3.202911 12:-3.7014716 13:3.9432049 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.0745 2:6.9790664 3:3.2318482 4:-3.5370724 5:5.659011 6:-1.6746395 7:2.9660885 8:0.41909805 9:2.2077203 10:-3.1506093 11:1.569663 12:-5.3102818 13:3.2554324 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.0745 2:6.9790664 3:3.2318482 4:-3.5370724 5:5.659011 6:-1.6746395 7:2.9660885 8:0.41909805 9:2.2077203 10:-3.1506093 11:1.569663 12:-5.3102818 13:3.2554324 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:205.65106 2:6.942524 3:3.6848328 4:0.7722562 5:4.5635195 6:-4.5080824 7:0.14728871 8:0.44143024 9:5.062092 10:-1.3173757 11:2.927042 12:-7.3706336 13:3.7696064 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:205.65106 2:6.942524 3:3.6848328 4:0.7722562 5:4.5635195 6:-4.5080824 7:0.14728871 8:0.44143024 9:5.062092 10:-1.3173757 11:2.927042 12:-7.3706336 13:3.7696064 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:205.5443 2:3.3772266 3:3.1684327 4:-2.0178356 5:0.020797126 6:-3.8907218 7:3.0605814 8:-2.4552307 9:0.95226216 10:-2.6779985 11:-0.19707222 12:-3.3864264 13:1.4397255 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:205.5443 2:3.3772266 3:3.1684327 4:-2.0178356 5:0.020797126 6:-3.8907218 7:3.0605814 8:-2.4552307 9:0.95226216 10:-2.6779985 11:-0.19707222 12:-3.3864264 13:1.4397255 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:204.61201 2:5.313224 3:3.9888673 4:-0.55472845 5:0.44470495 6:-4.720109 7:0.058293484 8:-4.431563 9:1.3668525 10:-3.5888393 11:0.7592437 12:-5.9853272 13:2.779724 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:204.61201 2:5.313224 3:3.9888673 4:-0.55472845 5:0.44470495 6:-4.720109 7:0.058293484 8:-4.431563 9:1.3668525 10:-3.5888393 11:0.7592437 12:-5.9853272 13:2.779724 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:207.80713 2:8.8786335 3:7.497529 4:-2.673759 5:1.6734205 6:-3.9555614 7:1.8162061 8:-4.0531387 9:0.047167704 10:-5.180792 11:0.5921142 12:-3.6096826 13:4.0287666 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:207.80713 2:8.8786335 3:7.497529 4:-2.673759 5:1.6734205 6:-3.9555614 7:1.8162061 8:-4.0531387 9:0.047167704 10:-5.180792 11:0.5921142 12:-3.6096826 13:4.0287666 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:207.17853 2:8.649288 3:3.1575937 4:-4.6681476 5:2.5171955 6:-3.443744 7:0.97144777 8:-2.6953602 9:2.7407756 10:-2.5821333 11:0.45895645 12:-5.266059 13:1.1153171 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:207.17853 2:8.649288 3:3.1575937 4:-4.6681476 5:2.5171955 6:-3.443744 7:0.97144777 8:-2.6953602 9:2.7407756 10:-2.5821333 11:0.45895645 12:-5.266059 13:1.1153171 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.77444 2:7.2734056 3:2.6519701 4:-1.0360916 5:4.9721127 6:-2.4401205 7:4.0820804 8:-1.894 9:5.0655584 10:-0.95791626 11:3.1185749 12:-3.7172174 13:2.4747488 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.77444 2:7.2734056 3:2.6519701 4:-1.0360916 5:4.9721127 6:-2.4401205 7:4.0820804 8:-1.894 9:5.0655584 10:-0.95791626 11:3.1185749 12:-3.7172174 13:2.4747488 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:205.67108 2:5.6405644 3:4.573491 4:-1.7216996 5:0.09794053 6:-5.1215568 7:0.3446719 8:-2.6538649 9:4.1380277 10:-1.783684 11:2.3310556 12:-4.5473814 13:3.4525118 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:205.67108 2:5.6405644 3:4.573491 4:-1.7216996 5:0.09794053 6:-5.1215568 7:0.3446719 8:-2.6538649 9:4.1380277 10:-1.783684 11:2.3310556 12:-4.5473814 13:3.4525118 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.98605 2:5.8314676 3:4.8675547 4:-1.9370584 5:-0.622183 6:-5.872041 7:1.2257255 8:-3.684377 9:4.677837 10:-2.826613 11:-0.12237611 12:-2.1536107 13:3.9036825 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.98605 2:5.8314676 3:4.8675547 4:-1.9370584 5:-0.622183 6:-5.872041 7:1.2257255 8:-3.684377 9:4.677837 10:-2.826613 11:-0.12237611 12:-2.1536107 13:3.9036825 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:206.155 2:6.388547 3:6.209229 4:-3.5489159 5:-4.4537773 6:-6.218667 7:-1.0904282 8:-4.65861 9:3.881849 10:-3.2884512 11:1.5338656 12:-5.6049857 13:4.9899316 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:206.155 2:6.388547 3:6.209229 4:-3.5489159 5:-4.4537773 6:-6.218667 7:-1.0904282 8:-4.65861 9:3.881849 10:-3.2884512 11:1.5338656 12:-5.6049857 13:4.9899316 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:210.91812 2:4.3620143 3:5.78003 4:-2.7106822 5:1.8693995 6:-4.03205 7:-0.7135736 8:-2.6798735 9:3.9176614 10:-2.6994417 11:1.9134524 12:-3.6871166 13:2.0781136 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:210.91812 2:4.3620143 3:5.78003 4:-2.7106822 5:1.8693995 6:-4.03205 7:-0.7135736 8:-2.6798735 9:3.9176614 10:-2.6994417 11:1.9134524 12:-3.6871166 13:2.0781136 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.65742 2:5.936433 3:7.0434213 4:2.1558917 5:5.172204 6:-5.6003323 7:-1.8035431 8:-6.5224214 9:1.1893991 10:-0.44799668 11:4.1050324 12:-2.6627917 13:3.277254 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.65742 2:5.936433 3:7.0434213 4:2.1558917 5:5.172204 6:-5.6003323 7:-1.8035431 8:-6.5224214 9:1.1893991 10:-0.44799668 11:4.1050324 12:-2.6627917 13:3.277254 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.44724 2:5.4301667 3:4.5517488 4:-1.427576 5:1.3541365 6:-4.109305 7:3.629108 8:-1.2697507 9:4.7266793 10:-2.9541562 11:1.5481695 12:-2.4095023 13:2.865244 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:209.44724 2:5.4301667 3:4.5517488 4:-1.427576 5:1.3541365 6:-4.109305 7:3.629108 8:-1.2697507 9:4.7266793 10:-2.9541562 11:1.5481695 12:-2.4095023 13:2.865244 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.33446 2:2.709413 3:4.328625 4:-1.0892417 5:2.385718 6:-4.21478 7:-0.31609997 8:-2.988785 9:1.6028669 10:-2.4590285 11:2.5531125 12:-4.0032697 13:1.4250232 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.33446 2:2.709413 3:4.328625 4:-1.0892417 5:2.385718 6:-4.21478 7:-0.31609997 8:-2.988785 9:1.6028669 10:-2.4590285 11:2.5531125 12:-4.0032697 13:1.4250232 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:211.87704 2:9.873959 3:8.581961 4:-0.856863 5:2.3246555 6:-7.200684 7:-4.04857 8:-0.97223604 9:6.8381567 10:-2.8351736 11:1.4727421 12:-8.420439 13:2.0944326 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:211.87704 2:9.873959 3:8.581961 4:-0.856863 5:2.3246555 6:-7.200684 7:-4.04857 8:-0.97223604 9:6.8381567 10:-2.8351736 11:1.4727421 12:-8.420439 13:2.0944326 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:213.99486 2:11.836523 3:9.822739 4:-0.468119 5:3.2034085 6:-6.8045597 7:-0.7369051 8:-1.4163831 9:6.52449 10:-4.075614 11:1.6361468 12:-7.2741456 13:1.4584657 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:213.99486 2:11.836523 3:9.822739 4:-0.468119 5:3.2034085 6:-6.8045597 7:-0.7369051 8:-1.4163831 9:6.52449 10:-4.075614 11:1.6361468 12:-7.2741456 13:1.4584657 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:206.40591 2:4.9386992 3:9.013165 4:2.081852 5:2.7968824 6:-3.9330745 7:1.9700632 8:-2.633391 9:4.295373 10:-6.9640365 11:-0.02072806 12:-4.4068184 13:2.5103738 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:206.40591 2:4.9386992 3:9.013165 4:2.081852 5:2.7968824 6:-3.9330745 7:1.9700632 8:-2.633391 9:4.295373 10:-6.9640365 11:-0.02072806 12:-4.4068184 13:2.5103738 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:216.699 2:5.3547444 3:6.586544 4:1.5191984 5:4.1241913 6:-3.817755 7:2.3629105 8:-2.9438066 9:4.575487 10:-1.3744384 11:2.0765228 12:-2.6303208 13:2.9245205 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:216.699 2:5.3547444 3:6.586544 4:1.5191984 5:4.1241913 6:-3.817755 7:2.3629105 8:-2.9438066 9:4.575487 10:-1.3744384 11:2.0765228 12:-2.6303208 13:2.9245205 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:232.25537 2:6.764963 3:5.5864472 4:-1.6651073 5:3.4705386 6:-5.0194287 7:1.5375615 8:-2.3687658 9:4.3230157 10:-3.187066 11:2.9189873 12:-1.3239352 13:2.6883838 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:232.25537 2:6.764963 3:5.5864472 4:-1.6651073 5:3.4705386 6:-5.0194287 7:1.5375615 8:-2.3687658 9:4.3230157 10:-3.187066 11:2.9189873 12:-1.3239352 13:2.6883838 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.15479 2:5.5550017 3:3.3103395 4:-1.9543397 5:4.2469616 6:-3.6656866 7:3.43108 8:-1.4526229 9:3.3880267 10:-1.7226562 11:0.8951651 12:-5.3097157 13:2.157453 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:208.15479 2:5.5550017 3:3.3103395 4:-1.9543397 5:4.2469616 6:-3.6656866 7:3.43108 8:-1.4526229 9:3.3880267 10:-1.7226562 11:0.8951651 12:-5.3097157 13:2.157453 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:210.70517 2:4.607745 3:5.1958456 4:3.7706683 5:4.3523393 6:-6.523832 7:1.8430535 8:-3.0487964 9:3.9365833 10:-2.6703649 11:0.41579974 12:-5.1239977 13:3.9624846 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:210.70517 2:4.607745 3:5.1958456 4:3.7706683 5:4.3523393 6:-6.523832 7:1.8430535 8:-3.0487964 9:3.9365833 10:-2.6703649 11:0.41579974 12:-5.1239977 13:3.9624846 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:215.82463 2:6.390325 3:8.620109 4:2.1775784 5:2.0233264 6:-6.6156826 7:-0.43078634 8:-2.9681292 9:1.5672812 10:-5.2793183 11:4.185467 12:-4.3152113 13:1.9866642 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:215.82463 2:6.390325 3:8.620109 4:2.1775784 5:2.0233264 6:-6.6156826 7:-0.43078634 8:-2.9681292 9:1.5672812 10:-5.2793183 11:4.185467 12:-4.3152113 13:1.9866642 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
1 1:212.67252 2:7.7366934 3:5.784404 4:1.6262165 5:1.7589288 6:-5.798854 7:-0.87301105 8:-7.3625755 9:5.54857 10:-2.0151482 11:1.3968443 12:-2.9006212 13:3.810846 14:79.300964 15:8.147585 16:2.6618207 17:0.119090036 18:2.3301558 19:-1.7638749 20:2.3560808 21:-3.2645998 22:0.7806218 23:-1.5046643 24:1.122384 25:-1.0207518 26:1.811306 
