1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:181.58517 2:2.4919097 3:-1.3248963 4:1.089071 5:0.83279586 6:-5.322046 7:3.0353599 8:-4.711101 9:6.3430123 10:-1.3755324 11:1.9570954 12:-3.3043394 13:1.9219279 14:181.58517 15:2.4919097 16:-1.3248963 17:1.089071 18:0.83279586 19:-5.322046 20:3.0353599 21:-4.711101 22:6.3430123 23:-1.3755324 24:1.9570954 25:-3.3043394 26:1.9219279 
1 1:219.02533 2:-3.7796304 3:-0.5149896 4:8.192726 5:-0.31657666 6:-5.517779 7:2.80047 8:-5.3295355 9:5.9586806 10:-2.0192437 11:2.3920133 12:-1.365304 13:1.5759486 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:219.02533 2:-3.7796304 3:-0.5149896 4:8.192726 5:-0.31657666 6:-5.517779 7:2.80047 8:-5.3295355 9:5.9586806 10:-2.0192437 11:2.3920133 12:-1.365304 13:1.5759486 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:214.83379 2:4.9347715 3:-0.92512023 4:0.6547229 5:-0.5132195 6:-4.068765 7:3.116463 8:-5.1063848 9:4.339739 10:-4.589917 11:2.9386494 12:-2.7868533 13:3.147585 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:214.83379 2:4.9347715 3:-0.92512023 4:0.6547229 5:-0.5132195 6:-4.068765 7:3.116463 8:-5.1063848 9:4.339739 10:-4.589917 11:2.9386494 12:-2.7868533 13:3.147585 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:211.19835 2:4.5359974 3:4.793953 4:0.67576855 5:4.077363 6:-3.2086644 7:3.8692644 8:-4.306152 9:-0.25580063 10:-2.059125 11:3.359158 12:-4.334014 13:1.8429061 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:211.19835 2:4.5359974 3:4.793953 4:0.67576855 5:4.077363 6:-3.2086644 7:3.8692644 8:-4.306152 9:-0.25580063 10:-2.059125 11:3.359158 12:-4.334014 13:1.8429061 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:227.01349 2:4.950805 3:0.8537882 4:-2.034905 5:-0.061589953 6:-3.754688 7:5.8622622 8:-3.137595 9:3.1936412 10:-4.983679 11:-0.24680674 12:-3.4806647 13:6.385875 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:227.01349 2:4.950805 3:0.8537882 4:-2.034905 5:-0.061589953 6:-3.754688 7:5.8622622 8:-3.137595 9:3.1936412 10:-4.983679 11:-0.24680674 12:-3.4806647 13:6.385875 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
1 1:225.99593 2:2.908937 3:6.9612684 4:-2.5350943 5:0.86131066 6:-3.5771036 7:3.8767154 8:-2.7062516 9:3.0065424 10:-1.3888782 11:1.0240052 12:-4.154217 13:3.1881967 14:72.68118 15:4.4318657 16:4.143172 17:-0.5394621 18:2.2682157 19:-1.5781978 20:0.27664313 21:-1.3648387 22:1.216033 23:-0.6871191 24:0.5425139 25:-0.9123494 26:1.2041638 
