2 1:191.08835 2:2.3870811 3:9.754248 4:-1.3929337 5:3.6528022 6:-6.1519933 7:5.1883593 8:-4.9655633 9:3.8677893 10:-3.652617 11:2.7687175 12:-3.4377618 13:2.9894054 14:191.08835 15:2.3870811 16:9.754248 17:-1.3929337 18:3.6528022 19:-6.1519933 20:5.1883593 21:-4.9655633 22:3.8677893 23:-3.652617 24:2.7687175 25:-3.4377618 26:2.9894054 
2 1:148.63506 2:-5.2549224 3:10.327868 4:-3.2859476 5:4.6792707 6:-3.5199444 7:4.655656 8:-4.158448 9:6.1536775 10:-2.9503698 11:3.9232345 12:-4.235303 13:4.802871 14:148.63506 15:-5.2549224 16:10.327868 17:-3.2859476 18:4.6792707 19:-3.5199444 20:4.655656 21:-4.158448 22:6.1536775 23:-2.9503698 24:3.9232345 25:-4.235303 26:4.802871 
2 1:190.67596 2:-11.050599 3:5.4347215 4:0.7533423 5:3.6741967 6:-5.0067425 7:0.8753614 8:-2.8082628 9:1.9028935 10:-0.52286124 11:5.001099 12:-4.326809 13:3.1777804 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:190.67596 2:-11.050599 3:5.4347215 4:0.7533423 5:3.6741967 6:-5.0067425 7:0.8753614 8:-2.8082628 9:1.9028935 10:-0.52286124 11:5.001099 12:-4.326809 13:3.1777804 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:179.63257 2:-12.857914 3:8.66733 4:1.2167115 5:1.3400021 6:-4.582211 7:0.6449346 8:-4.402719 9:1.9906627 10:-1.6089085 11:4.6838336 12:-2.9555612 13:1.1684134 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:179.63257 2:-12.857914 3:8.66733 4:1.2167115 5:1.3400021 6:-4.582211 7:0.6449346 8:-4.402719 9:1.9906627 10:-1.6089085 11:4.6838336 12:-2.9555612 13:1.1684134 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:156.44748 2:-6.2670712 3:3.6267443 4:-0.450384 5:2.651953 6:-2.1746292 7:2.080768 8:-3.3333888 9:5.6389136 10:-3.9794157 11:3.719813 12:-1.9040822 13:1.6039056 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:156.44748 2:-6.2670712 3:3.6267443 4:-0.450384 5:2.651953 6:-2.1746292 7:2.080768 8:-3.3333888 9:5.6389136 10:-3.9794157 11:3.719813 12:-1.9040822 13:1.6039056 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:160.85393 2:-7.3134127 3:3.3355322 4:0.58629894 5:3.1593232 6:-2.4119186 7:4.13239 8:-4.006377 9:1.0292555 10:2.0924625 11:3.3506103 12:-2.116493 13:6.591536 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:160.85393 2:-7.3134127 3:3.3355322 4:0.58629894 5:3.1593232 6:-2.4119186 7:4.13239 8:-4.006377 9:1.0292555 10:2.0924625 11:3.3506103 12:-2.116493 13:6.591536 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:193.54968 2:-9.926244 3:1.0182043 4:0.35527664 5:-0.39341 6:-2.7810802 7:1.2692376 8:-4.0815115 9:2.2554388 10:0.50536025 11:6.7465816 12:-1.002191 13:1.3127311 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
2 1:193.54968 2:-9.926244 3:1.0182043 4:0.35527664 5:-0.39341 6:-2.7810802 7:1.2692376 8:-4.0815115 9:2.2554388 10:0.50536025 11:6.7465816 12:-1.002191 13:1.3127311 14:65.584206 15:5.8795023 16:3.1019344 17:-0.48617586 18:2.9108143 19:0.19845612 20:0.9855526 21:-2.548566 22:1.3384346 23:-1.5294833 24:1.1192894 25:-1.3295654 26:1.4483713 
