2 1:210.4035 2:0.55355704 3:13.74795 4:0.57159555 5:2.7813702 6:-6.7283926 7:6.2205505 8:-4.202875 9:5.0051827 10:-3.6885848 11:4.3953576 12:-3.5780473 13:4.0171404 14:210.4035 15:0.55355704 16:13.74795 17:0.57159555 18:2.7813702 19:-6.7283926 20:6.2205505 21:-4.202875 22:5.0051827 23:-3.6885848 24:4.3953576 25:-3.5780473 26:4.0171404 
2 1:201.93385 2:3.5429754 3:8.787592 4:-3.1880054 5:6.130261 6:-4.3754683 7:3.7851598 8:-3.969007 9:5.1642222 10:-4.1271725 11:5.3064294 12:-4.9348435 13:4.4190254 14:201.93385 15:3.5429754 16:8.787592 17:-3.1880054 18:6.130261 19:-4.3754683 20:3.7851598 21:-3.969007 22:5.1642222 23:-4.1271725 24:5.3064294 25:-4.9348435 26:4.4190254 
2 1:193.1675 2:-0.49747345 3:8.266587 4:-3.918504 5:4.7315784 6:-3.8787422 7:3.973723 8:-4.505613 9:4.827475 10:-4.114665 11:4.082242 12:-3.856513 13:4.2894645 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:193.1675 2:-0.49747345 3:8.266587 4:-3.918504 5:4.7315784 6:-3.8787422 7:3.973723 8:-4.505613 9:4.827475 10:-4.114665 11:4.082242 12:-3.856513 13:4.2894645 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:187.15488 2:-1.4253525 3:8.708397 4:-3.6107743 5:3.9427893 6:-2.9643633 7:3.2786803 8:-4.295271 9:4.8591056 10:-3.6954007 11:3.6225297 12:-3.3672483 13:3.3226721 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:187.15488 2:-1.4253525 3:8.708397 4:-3.6107743 5:3.9427893 6:-2.9643633 7:3.2786803 8:-4.295271 9:4.8591056 10:-3.6954007 11:3.6225297 12:-3.3672483 13:3.3226721 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:243.39226 2:15.820929 3:6.312876 4:-4.8761725 5:7.1697526 6:-4.518425 7:3.2893395 8:-3.3833888 9:3.3234956 10:-4.070796 11:3.9639535 12:-4.248728 13:5.475228 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:243.39226 2:15.820929 3:6.312876 4:-4.8761725 5:7.1697526 6:-4.518425 7:3.2893395 8:-3.3833888 9:3.3234956 10:-4.070796 11:3.9639535 12:-4.248728 13:5.475228 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:234.5977 2:10.324451 3:9.335676 4:-5.2132707 5:6.4030204 6:-3.4002264 7:3.343222 8:-3.7525098 9:4.905126 10:-4.1586494 11:3.9073765 12:-3.470808 13:4.102484 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:234.5977 2:10.324451 3:9.335676 4:-5.2132707 5:6.4030204 6:-3.4002264 7:3.343222 8:-3.7525098 9:4.905126 10:-4.1586494 11:3.9073765 12:-3.470808 13:4.102484 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
2 1:187.48141 2:-4.2113237 3:9.851139 4:-3.1608357 5:2.605137 6:-2.3560395 7:1.9071883 8:-4.935341 9:3.36195 10:-2.6745894 11:2.9896123 12:-2.8554478 13:3.5350876 14:76.66559 15:6.0582995 16:2.4348366 17:-1.7855732 18:2.0057976 19:-0.33008605 20:0.014304158 21:-1.3247101 22:1.4644417 23:-0.5501954 24:0.66785854 25:-1.4935088 26:1.8072277 
