2 1:131.0904 2:2.0772727 3:-0.3923887 4:-4.9972577 5:9.532797 6:-1.9913204 7:4.7898874 8:-6.0208364 9:4.9045534 10:-4.9607253 11:6.3917184 12:-3.183202 13:4.769159 14:131.0904 15:2.0772727 16:-0.3923887 17:-4.9972577 18:9.532797 19:-1.9913204 20:4.7898874 21:-6.0208364 22:4.9045534 23:-4.9607253 24:6.3917184 25:-3.183202 26:4.769159 
2 1:154.47807 2:3.7436938 3:1.7017766 4:-4.2540507 5:6.3740582 6:-1.8492514 7:1.1712322 8:-5.305707 9:4.393834 10:-3.1484103 11:6.597633 12:-2.7252398 13:3.2244606 14:154.47807 15:3.7436938 16:1.7017766 17:-4.2540507 18:6.3740582 19:-1.8492514 20:1.1712322 21:-5.305707 22:4.393834 23:-3.1484103 24:6.597633 25:-2.7252398 26:3.2244606 
2 1:147.97781 2:-0.75677323 3:3.062121 4:-4.1805735 5:2.2108965 6:0.32163295 7:5.9216723 8:-1.661769 9:5.484773 10:-1.3866947 11:4.8749623 12:-1.8017727 13:1.5373466 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:147.97781 2:-0.75677323 3:3.062121 4:-4.1805735 5:2.2108965 6:0.32163295 7:5.9216723 8:-1.661769 9:5.484773 10:-1.3866947 11:4.8749623 12:-1.8017727 13:1.5373466 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:151.5585 2:5.562043 3:4.2194333 4:-4.1780906 5:4.4735417 6:-1.5324572 7:2.6143677 8:-2.6368847 9:2.237058 10:-3.2313483 11:3.4217973 12:-1.9289553 13:1.4843229 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:151.5585 2:5.562043 3:4.2194333 4:-4.1780906 5:4.4735417 6:-1.5324572 7:2.6143677 8:-2.6368847 9:2.237058 10:-3.2313483 11:3.4217973 12:-1.9289553 13:1.4843229 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:159.14455 2:2.30252 3:2.7058313 4:-5.0759487 5:2.9019616 6:-3.155181 7:3.2049153 8:-3.7227738 9:1.4045705 10:-1.2981184 11:5.9044657 12:0.26183394 13:5.186502 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:159.14455 2:2.30252 3:2.7058313 4:-5.0759487 5:2.9019616 6:-3.155181 7:3.2049153 8:-3.7227738 9:1.4045705 10:-1.2981184 11:5.9044657 12:0.26183394 13:5.186502 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:153.90051 2:1.6787511 3:3.4867723 4:-4.53006 5:1.5291352 6:-0.8289967 7:4.0970244 8:-3.9108148 9:1.0870029 10:-0.023669763 11:3.8704271 12:-2.6693397 13:2.0131023 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:153.90051 2:1.6787511 3:3.4867723 4:-4.53006 5:1.5291352 6:-0.8289967 7:4.0970244 8:-3.9108148 9:1.0870029 10:-0.023669763 11:3.8704271 12:-2.6693397 13:2.0131023 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:160.22548 2:1.2490791 3:1.4515482 4:-3.6188316 5:2.2387593 6:-2.0730498 7:3.6926982 8:-3.6739576 9:1.0449345 10:-1.0793498 11:4.316991 12:-1.7315152 13:2.444516 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:160.22548 2:1.2490791 3:1.4515482 4:-3.6188316 5:2.2387593 6:-2.0730498 7:3.6926982 8:-3.6739576 9:1.0449345 10:-1.0793498 11:4.316991 12:-1.7315152 13:2.444516 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:159.24483 2:2.865233 3:3.205604 4:-5.3959618 5:6.474237 6:3.0561473 7:3.4633448 8:-4.7643967 9:-1.0481378 10:-3.1400516 11:3.0193415 12:-2.538787 13:3.5382226 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:159.24483 2:2.865233 3:3.205604 4:-5.3959618 5:6.474237 6:3.0561473 7:3.4633448 8:-4.7643967 9:-1.0481378 10:-3.1400516 11:3.0193415 12:-2.538787 13:3.5382226 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:159.98788 2:-3.6419365 3:2.0988717 4:-3.6689825 5:3.3573077 6:0.15278085 7:1.4751118 8:-7.0218835 9:-1.5322813 10:-1.0490744 11:1.6596242 12:-3.41486 13:2.8259268 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:159.98788 2:-3.6419365 3:2.0988717 4:-3.6689825 5:3.3573077 6:0.15278085 7:1.4751118 8:-7.0218835 9:-1.5322813 10:-1.0490744 11:1.6596242 12:-3.41486 13:2.8259268 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:168.8583 2:3.715574 3:3.836985 4:-4.388084 5:7.4348764 6:2.5172913 7:1.2669619 8:-5.131913 9:-0.4116434 10:-3.0166976 11:2.330027 12:-1.6603307 13:2.773261 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
2 1:168.8583 2:3.715574 3:3.836985 4:-4.388084 5:7.4348764 6:2.5172913 7:1.2669619 8:-5.131913 9:-0.4116434 10:-3.0166976 11:2.330027 12:-1.6603307 13:2.773261 14:62.85241 15:2.4648697 16:0.16309711 17:-0.492849 18:-0.96864945 19:-1.1005794 20:1.2609453 21:-3.0958948 22:0.8377085 23:-0.7486338 24:2.185285 25:-0.31338188 26:1.547939 
