2 1:119.08651 2:4.9826674 3:10.066727 4:-0.40160015 5:3.70517 6:-1.7191279 7:2.148158 8:-5.7394395 9:4.647659 10:-3.4507017 11:1.6031296 12:-2.7559714 13:3.022657 14:119.08651 15:4.9826674 16:10.066727 17:-0.40160015 18:3.70517 19:-1.7191279 20:2.148158 21:-5.7394395 22:4.647659 23:-3.4507017 24:1.6031296 25:-2.7559714 26:3.022657 
2 1:139.38843 2:3.9894114 3:7.379687 4:-1.3275454 5:4.442248 6:-2.9144878 7:1.1003938 8:-3.0254457 9:2.6230886 10:-3.382795 11:4.7003427 12:-2.4976645 13:3.6951523 14:139.38843 15:3.9894114 16:7.379687 17:-1.3275454 18:4.442248 19:-2.9144878 20:1.1003938 21:-3.0254457 22:2.6230886 23:-3.382795 24:4.7003427 25:-2.4976645 26:3.6951523 
2 1:140.87677 2:0.5020413 3:5.3341203 4:1.177876 5:6.3102617 6:-0.9980002 7:4.1791315 8:-2.8076468 9:2.818428 10:-1.0054471 11:1.8961965 12:-1.2724066 13:3.3387442 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:140.87677 2:0.5020413 3:5.3341203 4:1.177876 5:6.3102617 6:-0.9980002 7:4.1791315 8:-2.8076468 9:2.818428 10:-1.0054471 11:1.8961965 12:-1.2724066 13:3.3387442 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:146.93481 2:3.6119359 3:9.565526 4:0.14748816 5:6.2318206 6:-1.1630846 7:5.1566944 8:-1.5627309 9:2.2492535 10:-3.9275851 11:1.4180518 12:-2.1708324 13:-0.18707259 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:146.93481 2:3.6119359 3:9.565526 4:0.14748816 5:6.2318206 6:-1.1630846 7:5.1566944 8:-1.5627309 9:2.2492535 10:-3.9275851 11:1.4180518 12:-2.1708324 13:-0.18707259 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:146.50984 2:4.538062 3:8.978188 4:1.0935763 5:5.214398 6:-0.4866467 7:4.1975765 8:-1.3989731 9:5.2141657 10:-3.4275317 11:3.8678658 12:-2.2966762 13:2.8476317 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:146.50984 2:4.538062 3:8.978188 4:1.0935763 5:5.214398 6:-0.4866467 7:4.1975765 8:-1.3989731 9:5.2141657 10:-3.4275317 11:3.8678658 12:-2.2966762 13:2.8476317 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:143.91342 2:3.877294 3:8.933064 4:-1.5293494 5:4.8345437 6:-1.4364358 7:2.7978241 8:-2.3854663 9:3.052089 10:-0.8208576 11:0.4527429 12:-4.897214 13:4.09205 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:143.91342 2:3.877294 3:8.933064 4:-1.5293494 5:4.8345437 6:-1.4364358 7:2.7978241 8:-2.3854663 9:3.052089 10:-0.8208576 11:0.4527429 12:-4.897214 13:4.09205 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:147.13554 2:3.5463622 3:12.757462 4:2.8458283 5:6.494007 6:2.1213589 7:2.9837322 8:-3.3383467 9:2.359244 10:-4.4446406 11:1.8086643 12:-2.7594583 13:3.3643587 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:147.13554 2:3.5463622 3:12.757462 4:2.8458283 5:6.494007 6:2.1213589 7:2.9837322 8:-3.3383467 9:2.359244 10:-4.4446406 11:1.8086643 12:-2.7594583 13:3.3643587 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:148.6038 2:4.9440107 3:10.035666 4:-1.4476749 5:4.735997 6:-0.3257992 7:4.235749 8:-0.6933314 9:5.7124534 10:-0.91773385 11:0.43917605 12:-4.124937 13:5.158099 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:148.6038 2:4.9440107 3:10.035666 4:-1.4476749 5:4.735997 6:-0.3257992 7:4.235749 8:-0.6933314 9:5.7124534 10:-0.91773385 11:0.43917605 12:-4.124937 13:5.158099 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:151.33205 2:1.8026538 3:9.610404 4:-0.6586245 5:4.803417 6:-0.9689167 7:1.6455778 8:-2.0358543 9:4.365536 10:-3.7635481 11:2.7394683 12:-2.284954 13:3.294359 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:151.33205 2:1.8026538 3:9.610404 4:-0.6586245 5:4.803417 6:-0.9689167 7:1.6455778 8:-2.0358543 9:4.365536 10:-3.7635481 11:2.7394683 12:-2.284954 13:3.294359 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:147.98915 2:1.8752314 3:13.667446 4:2.0388775 5:1.8245275 6:-4.961533 7:-0.8956156 8:-2.323578 9:4.3657064 10:-0.9489415 11:1.9297158 12:-4.7782373 13:4.462232 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:147.98915 2:1.8752314 3:13.667446 4:2.0388775 5:1.8245275 6:-4.961533 7:-0.8956156 8:-2.323578 9:4.3657064 10:-0.9489415 11:1.9297158 12:-4.7782373 13:4.462232 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:152.16393 2:0.9088486 3:10.849106 4:-2.6312575 5:-0.37264648 6:0.89238536 7:1.3455716 8:-3.5190685 9:3.9945867 10:-3.7602572 11:2.7485132 12:-5.959663 13:3.2967634 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:152.16393 2:0.9088486 3:10.849106 4:-2.6312575 5:-0.37264648 6:0.89238536 7:1.3455716 8:-3.5190685 9:3.9945867 10:-3.7602572 11:2.7485132 12:-5.959663 13:3.2967634 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:155.17801 2:2.4159257 3:12.412567 4:-0.26777902 5:3.7926152 6:0.56560826 7:0.116723716 8:-0.665127 9:3.229962 10:-4.8240023 11:1.8127643 12:-4.7976747 13:3.3048792 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:155.17801 2:2.4159257 3:12.412567 4:-0.26777902 5:3.7926152 6:0.56560826 7:0.116723716 8:-0.665127 9:3.229962 10:-4.8240023 11:1.8127643 12:-4.7976747 13:3.3048792 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:158.06972 2:2.9233587 3:10.14725 4:0.0129316645 5:6.389922 6:0.06166156 7:2.6826468 8:-2.5165155 9:3.3074863 10:-1.371562 11:3.8330684 12:-2.7298455 13:1.7387412 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:158.06972 2:2.9233587 3:10.14725 4:0.0129316645 5:6.389922 6:0.06166156 7:2.6826468 8:-2.5165155 9:3.3074863 10:-1.371562 11:3.8330684 12:-2.7298455 13:1.7387412 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:159.24545 2:2.9358783 3:11.79107 4:-0.1306491 5:5.5227227 6:-0.133549 7:1.3307257 8:-1.8868084 9:5.151431 10:-0.75607604 11:4.58187 12:-3.8203976 13:2.9478712 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:159.24545 2:2.9358783 3:11.79107 4:-0.1306491 5:5.5227227 6:-0.133549 7:1.3307257 8:-1.8868084 9:5.151431 10:-0.75607604 11:4.58187 12:-3.8203976 13:2.9478712 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:156.58748 2:-0.9327186 3:6.5091352 4:-3.413631 5:3.9385054 6:0.4514844 7:2.7337 8:-3.4207242 9:4.879422 10:-0.6530387 11:3.9961257 12:-1.7492859 13:3.8848405 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:156.58748 2:-0.9327186 3:6.5091352 4:-3.413631 5:3.9385054 6:0.4514844 7:2.7337 8:-3.4207242 9:4.879422 10:-0.6530387 11:3.9961257 12:-1.7492859 13:3.8848405 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:159.66411 2:3.5088584 3:9.738762 4:1.5241185 5:4.4727936 6:-1.2702624 7:4.001763 8:-0.5963941 9:3.3837545 10:-2.133751 11:5.1089516 12:-2.02554 13:2.989776 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
2 1:159.66411 2:3.5088584 3:9.738762 4:1.5241185 5:4.4727936 6:-1.2702624 7:4.001763 8:-0.5963941 9:3.3837545 10:-2.133751 11:5.1089516 12:-2.02554 13:2.989776 14:68.06028 15:4.3313394 16:4.450004 17:2.5703502 18:-0.17476241 19:-1.8739488 20:1.2496808 21:-3.3302138 22:1.3089 23:-1.2728789 24:2.0599184 25:-1.271309 26:1.5386786 
