2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:155.74693 2:-1.0285228 3:-2.934337 4:-9.2038765 5:4.739096 6:-2.1428025 7:1.1352944 8:0.18739991 9:4.829585 10:-4.381922 11:1.2695855 12:-2.9394515 13:0.094286755 14:155.74693 15:-1.0285228 16:-2.934337 17:-9.2038765 18:4.739096 19:-2.1428025 20:1.1352944 21:0.18739991 22:4.829585 23:-4.381922 24:1.2695855 25:-2.9394515 26:0.094286755 
2 1:210.1039 2:0.50369465 3:-1.3633537 4:-6.975508 5:3.4333932 6:-1.7523968 7:3.6569102 8:-2.909489 9:2.304676 10:-3.2000544 11:2.330915 12:-1.344364 13:3.029297 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:210.1039 2:0.50369465 3:-1.3633537 4:-6.975508 5:3.4333932 6:-1.7523968 7:3.6569102 8:-2.909489 9:2.304676 10:-3.2000544 11:2.330915 12:-1.344364 13:3.029297 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:215.46922 2:0.5317349 3:-1.7832236 4:-4.18904 5:0.46484438 6:-5.6531143 7:2.4689195 8:-4.7950606 9:2.656717 10:0.3177162 11:-0.14000946 12:-3.7276073 13:1.1995826 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:215.46922 2:0.5317349 3:-1.7832236 4:-4.18904 5:0.46484438 6:-5.6531143 7:2.4689195 8:-4.7950606 9:2.656717 10:0.3177162 11:-0.14000946 12:-3.7276073 13:1.1995826 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:215.98653 2:-1.3211306 3:0.61236346 4:-2.4258308 5:1.4172094 6:-0.8544681 7:4.9466095 8:-2.410512 9:1.4131514 10:-0.023444759 11:3.33012 12:-0.8428148 13:5.193262 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:215.98653 2:-1.3211306 3:0.61236346 4:-2.4258308 5:1.4172094 6:-0.8544681 7:4.9466095 8:-2.410512 9:1.4131514 10:-0.023444759 11:3.33012 12:-0.8428148 13:5.193262 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:211.42921 2:-2.4529312 3:-1.22448 4:-2.4918177 5:2.6980004 6:-0.9219339 7:2.5850909 8:-4.0901365 9:2.4007897 10:-2.473786 11:2.9499316 12:-2.7061708 13:0.51347196 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:211.42921 2:-2.4529312 3:-1.22448 4:-2.4918177 5:2.6980004 6:-0.9219339 7:2.5850909 8:-4.0901365 9:2.4007897 10:-2.473786 11:2.9499316 12:-2.7061708 13:0.51347196 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
2 1:208.64874 2:-1.0493537 3:-1.8337332 4:-6.2264466 5:3.5019891 6:0.53607637 7:7.4596043 8:4.784287 9:6.8115582 10:-2.0182714 11:3.6918714 12:-5.8613973 13:-0.9016485 14:62.22227 15:0.1457207 16:-0.6719017 17:-1.734037 18:0.20485403 19:-0.89463395 20:0.9200756 21:-0.35175398 22:0.97426057 23:-0.5437649 24:0.3716981 25:-1.666434 26:0.6961628 
