2 1:81.54472 2:-9.572709 3:2.144085 4:-2.5197353 5:1.4998301 6:-1.9683859 7:1.0450298 8:-1.5522531 9:1.6603723 10:-1.0380442 11:1.2996554 12:-1.6054507 13:1.8905227 14:81.54472 15:-9.572709 16:2.144085 17:-2.5197353 18:1.4998301 19:-1.9683859 20:1.0450298 21:-1.5522531 22:1.6603723 23:-1.0380442 24:1.2996554 25:-1.6054507 26:1.8905227 
2 1:204.28355 2:-2.8360715 3:-3.7621496 4:-3.4072232 5:-1.4010803 6:-2.288249 7:-0.35747993 8:-2.6206627 9:3.623265 10:-2.41474 11:2.2704406 12:-4.0018845 13:1.6355356 14:204.28355 15:-2.8360715 16:-3.7621496 17:-3.4072232 18:-1.4010803 19:-2.288249 20:-0.35747993 21:-2.6206627 22:3.623265 23:-2.41474 24:2.2704406 25:-4.0018845 26:1.6355356 
2 1:214.29797 2:2.2491856 3:-2.1219602 4:-6.194337 5:0.23387082 6:-3.7113547 7:3.2129376 8:-1.401862 9:1.5618916 10:-1.5280437 11:-1.0542028 12:-6.188518 13:4.2316465 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:214.29797 2:2.2491856 3:-2.1219602 4:-6.194337 5:0.23387082 6:-3.7113547 7:3.2129376 8:-1.401862 9:1.5618916 10:-1.5280437 11:-1.0542028 12:-6.188518 13:4.2316465 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:212.67369 2:-3.5935745 3:-3.7894294 4:-6.7492805 5:-0.5648137 6:-4.809093 7:4.577718 8:1.1840913 9:0.9807855 10:-2.6195054 11:0.5520196 12:-4.885292 13:2.2231553 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:212.67369 2:-3.5935745 3:-3.7894294 4:-6.7492805 5:-0.5648137 6:-4.809093 7:4.577718 8:1.1840913 9:0.9807855 10:-2.6195054 11:0.5520196 12:-4.885292 13:2.2231553 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:205.74805 2:0.04866821 3:-2.1036909 4:-8.560473 5:0.95603395 6:-2.501489 7:4.2892213 8:1.1124948 9:3.1538565 10:-1.4135646 11:2.4877748 12:-4.9500155 13:3.9379334 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:205.74805 2:0.04866821 3:-2.1036909 4:-8.560473 5:0.95603395 6:-2.501489 7:4.2892213 8:1.1124948 9:3.1538565 10:-1.4135646 11:2.4877748 12:-4.9500155 13:3.9379334 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.60179 2:3.1061678 3:-1.0155149 4:-5.550428 5:0.9617284 6:-3.5138955 7:4.8383975 8:1.8545661 9:4.373871 10:-1.9142454 11:0.4903061 12:-4.3121605 13:2.1904862 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.60179 2:3.1061678 3:-1.0155149 4:-5.550428 5:0.9617284 6:-3.5138955 7:4.8383975 8:1.8545661 9:4.373871 10:-1.9142454 11:0.4903061 12:-4.3121605 13:2.1904862 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:216.47385 2:2.1436782 3:-1.1209693 4:-8.54576 5:1.449902 6:-2.472139 7:3.240757 8:-1.7808087 9:2.931912 10:-1.7342728 11:0.5541055 12:-8.439568 13:2.5713468 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:216.47385 2:2.1436782 3:-1.1209693 4:-8.54576 5:1.449902 6:-2.472139 7:3.240757 8:-1.7808087 9:2.931912 10:-1.7342728 11:0.5541055 12:-8.439568 13:2.5713468 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:214.7902 2:2.1438253 3:0.2814823 4:-9.021998 5:3.4125316 6:-0.74176335 7:3.0720077 8:-0.7559563 9:5.3430786 10:-1.6768013 11:-0.75940037 12:-2.9053407 13:1.4889773 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:214.7902 2:2.1438253 3:0.2814823 4:-9.021998 5:3.4125316 6:-0.74176335 7:3.0720077 8:-0.7559563 9:5.3430786 10:-1.6768013 11:-0.75940037 12:-2.9053407 13:1.4889773 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.27196 2:-2.1113846 3:-3.085013 4:-8.872109 5:3.0793536 6:-0.26486686 7:5.538576 8:-0.16475347 9:1.3983833 10:-3.652338 11:0.6087215 12:-1.7987558 13:2.0270329 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.27196 2:-2.1113846 3:-3.085013 4:-8.872109 5:3.0793536 6:-0.26486686 7:5.538576 8:-0.16475347 9:1.3983833 10:-3.652338 11:0.6087215 12:-1.7987558 13:2.0270329 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:216.54372 2:1.383493 3:-2.0721524 4:-6.265995 5:1.652773 6:-3.5429378 7:5.110421 8:-1.5145655 9:1.3202244 10:-3.7263014 11:1.048425 12:-3.0569751 13:3.2452943 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:216.54372 2:1.383493 3:-2.0721524 4:-6.265995 5:1.652773 6:-3.5429378 7:5.110421 8:-1.5145655 9:1.3202244 10:-3.7263014 11:1.048425 12:-3.0569751 13:3.2452943 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:214.34045 2:0.030887228 3:-1.9794505 4:-4.275416 5:2.219055 6:-3.2296228 7:3.8099525 8:0.8652287 9:3.5782583 10:-3.2778206 11:0.76495105 12:-5.895363 13:1.5269574 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:214.34045 2:0.030887228 3:-1.9794505 4:-4.275416 5:2.219055 6:-3.2296228 7:3.8099525 8:0.8652287 9:3.5782583 10:-3.2778206 11:0.76495105 12:-5.895363 13:1.5269574 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.62805 2:-0.29465786 3:-2.9951558 4:-6.0628905 5:3.0074146 6:-2.7704134 7:1.903537 8:0.016008 9:2.9831576 10:-4.072959 11:0.8468053 12:-5.3425684 13:1.6469278 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.62805 2:-0.29465786 3:-2.9951558 4:-6.0628905 5:3.0074146 6:-2.7704134 7:1.903537 8:0.016008 9:2.9831576 10:-4.072959 11:0.8468053 12:-5.3425684 13:1.6469278 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:210.87927 2:-1.4259276 3:-3.0890207 4:-7.116151 5:1.4185048 6:-1.8354588 7:-0.46935108 8:-0.20401965 9:3.8507164 10:-2.7518215 11:1.7919468 12:-5.092326 13:3.1738515 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:210.87927 2:-1.4259276 3:-3.0890207 4:-7.116151 5:1.4185048 6:-1.8354588 7:-0.46935108 8:-0.20401965 9:3.8507164 10:-2.7518215 11:1.7919468 12:-5.092326 13:3.1738515 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:213.25954 2:1.2218623 3:0.35894498 4:-2.6610007 5:3.8192585 6:0.10387118 7:2.0605395 8:-0.2120969 9:3.589868 10:-3.9982412 11:1.4764059 12:-4.474502 13:2.8682153 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:213.25954 2:1.2218623 3:0.35894498 4:-2.6610007 5:3.8192585 6:0.10387118 7:2.0605395 8:-0.2120969 9:3.589868 10:-3.9982412 11:1.4764059 12:-4.474502 13:2.8682153 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:213.22783 2:-0.6408294 3:-1.6902997 4:-2.1578257 5:0.7232532 6:-3.901919 7:3.447137 8:-0.2818165 9:3.811327 10:-2.792423 11:-1.5755666 12:-6.2103443 13:4.398579 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:213.22783 2:-0.6408294 3:-1.6902997 4:-2.1578257 5:0.7232532 6:-3.901919 7:3.447137 8:-0.2818165 9:3.811327 10:-2.792423 11:-1.5755666 12:-6.2103443 13:4.398579 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:210.40358 2:-3.7549865 3:-1.3892074 4:-3.5099397 5:2.650617 6:-0.74797744 7:3.4281783 8:0.81925386 9:2.082764 10:-1.6432397 11:1.5563474 12:-3.7781007 13:3.620039 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:210.40358 2:-3.7549865 3:-1.3892074 4:-3.5099397 5:2.650617 6:-0.74797744 7:3.4281783 8:0.81925386 9:2.082764 10:-1.6432397 11:1.5563474 12:-3.7781007 13:3.620039 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.88287 2:1.9195054 3:-3.6672971 4:-3.5785558 5:1.6088272 6:-4.0939817 7:4.455926 8:0.23476462 9:2.6980572 10:-4.487741 11:0.61690795 12:-1.6834275 13:5.57093 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:211.88287 2:1.9195054 3:-3.6672971 4:-3.5785558 5:1.6088272 6:-4.0939817 7:4.455926 8:0.23476462 9:2.6980572 10:-4.487741 11:0.61690795 12:-1.6834275 13:5.57093 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:212.29782 2:-1.408299 3:-4.594988 4:-7.001422 5:2.9168587 6:-0.1951436 7:4.1811743 8:-0.6977596 9:4.154838 10:-1.6353894 11:1.1688335 12:-3.2547956 13:4.130128 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
2 1:212.29782 2:-1.408299 3:-4.594988 4:-7.001422 5:2.9168587 6:-0.1951436 7:4.1811743 8:-0.6977596 9:4.154838 10:-1.6353894 11:1.1688335 12:-3.2547956 13:4.130128 14:64.22034 15:0.710354 16:-0.6437761 17:-2.2186995 18:0.34921366 19:-1.2371086 20:1.0740259 21:0.24616477 22:1.0675858 23:-1.5548239 24:0.29294416 25:-1.1288395 26:0.5421573 
