1 1:104.28167 2:6.1469994 3:-0.8898342 4:-10.409344 5:0.6105303 6:-5.9394355 7:2.7836692 8:-4.4002953 9:1.1381774 10:0.45115295 11:1.4444687 12:-4.300903 13:3.4354064 14:104.28167 15:6.1469994 16:-0.8898342 17:-10.409344 18:0.6105303 19:-5.9394355 20:2.7836692 21:-4.4002953 22:1.1381774 23:0.45115295 24:1.4444687 25:-4.300903 26:3.4354064 
1 1:170.1615 2:5.2145214 3:0.7219426 4:-4.429465 5:0.8694994 6:-4.4079585 7:2.146371 8:-2.3340647 9:6.3619514 10:-0.7912151 11:2.3031328 12:-4.2019744 13:1.5123731 14:170.1615 15:5.2145214 16:0.7219426 17:-4.429465 18:0.8694994 19:-4.4079585 20:2.146371 21:-2.3340647 22:6.3619514 23:-0.7912151 24:2.3031328 25:-4.2019744 26:1.5123731 
1 1:170.056 2:4.9120517 3:-0.2416746 4:-2.358408 5:2.3340445 6:-1.0008687 7:4.016545 8:-4.405839 9:6.31014 10:-0.9100073 11:4.6492577 12:-2.658315 13:1.8270558 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:170.056 2:4.9120517 3:-0.2416746 4:-2.358408 5:2.3340445 6:-1.0008687 7:4.016545 8:-4.405839 9:6.31014 10:-0.9100073 11:4.6492577 12:-2.658315 13:1.8270558 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:173.3245 2:2.1634471 3:2.3609464 4:-6.8470116 5:1.623458 6:1.1251659 7:2.284041 8:-0.09205692 9:5.8033166 10:-1.4552783 11:2.2993658 12:-4.4196544 13:1.4448519 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:173.3245 2:2.1634471 3:2.3609464 4:-6.8470116 5:1.623458 6:1.1251659 7:2.284041 8:-0.09205692 9:5.8033166 10:-1.4552783 11:2.2993658 12:-4.4196544 13:1.4448519 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:173.16559 2:4.112278 3:3.568964 4:-5.160643 5:5.046315 6:-0.34179062 7:5.0653944 8:1.3008525 9:4.3485036 10:-0.23091994 11:2.8828526 12:-5.1337624 13:2.01987 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:173.16559 2:4.112278 3:3.568964 4:-5.160643 5:5.046315 6:-0.34179062 7:5.0653944 8:1.3008525 9:4.3485036 10:-0.23091994 11:2.8828526 12:-5.1337624 13:2.01987 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:165.93112 2:3.592748 3:4.3588195 4:-5.1134086 5:1.8914795 6:-0.6733049 7:3.4204242 8:-2.583357 9:5.4491253 10:1.6011652 11:3.1494079 12:-4.0754647 13:3.9529333 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:165.93112 2:3.592748 3:4.3588195 4:-5.1134086 5:1.8914795 6:-0.6733049 7:3.4204242 8:-2.583357 9:5.4491253 10:1.6011652 11:3.1494079 12:-4.0754647 13:3.9529333 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:168.15813 2:2.6469805 3:0.13604054 4:-6.1616883 5:2.4021828 6:-3.459642 7:3.972947 8:0.9233146 9:6.2995844 10:0.25540355 11:1.0848054 12:-5.431344 13:2.4637449 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:168.15813 2:2.6469805 3:0.13604054 4:-6.1616883 5:2.4021828 6:-3.459642 7:3.972947 8:0.9233146 9:6.2995844 10:0.25540355 11:1.0848054 12:-5.431344 13:2.4637449 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:172.8027 2:1.5750983 3:-1.3935775 4:-4.4522653 5:2.0292156 6:-0.7590431 7:4.125576 8:-0.50397754 9:6.624514 10:-0.23560672 11:4.171356 12:-3.4835148 13:2.7822633 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:172.8027 2:1.5750983 3:-1.3935775 4:-4.4522653 5:2.0292156 6:-0.7590431 7:4.125576 8:-0.50397754 9:6.624514 10:-0.23560672 11:4.171356 12:-3.4835148 13:2.7822633 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:170.16873 2:4.3466153 3:2.2898326 4:-4.1037354 5:4.238182 6:-1.6902157 7:2.4013777 8:-0.324297 9:5.8767667 10:-0.44783556 11:5.6615076 12:-5.0723176 13:1.0332122 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:170.16873 2:4.3466153 3:2.2898326 4:-4.1037354 5:4.238182 6:-1.6902157 7:2.4013777 8:-0.324297 9:5.8767667 10:-0.44783556 11:5.6615076 12:-5.0723176 13:1.0332122 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:171.42435 2:3.9602978 3:4.7512684 4:-3.4111018 5:6.4581375 6:-1.7543733 7:1.7001206 8:-2.3747258 9:6.9867167 10:-0.96361595 11:0.9775818 12:-4.5848055 13:0.044042367 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:171.42435 2:3.9602978 3:4.7512684 4:-3.4111018 5:6.4581375 6:-1.7543733 7:1.7001206 8:-2.3747258 9:6.9867167 10:-0.96361595 11:0.9775818 12:-4.5848055 13:0.044042367 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:172.62866 2:4.2230697 3:-0.8191661 4:-6.0726395 5:1.484566 6:-2.8796153 7:2.1545324 8:0.59594053 9:4.972345 10:-1.6633584 11:2.6866553 12:-6.1424065 13:3.048673 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:172.62866 2:4.2230697 3:-0.8191661 4:-6.0726395 5:1.484566 6:-2.8796153 7:2.1545324 8:0.59594053 9:4.972345 10:-1.6633584 11:2.6866553 12:-6.1424065 13:3.048673 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:166.34525 2:-0.88829327 3:-2.4912794 4:-4.3993664 5:4.0697236 6:-3.6843197 7:0.37392667 8:-0.5218677 9:4.925116 10:0.60151136 11:1.9488188 12:-4.3861356 13:2.3899329 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:166.34525 2:-0.88829327 3:-2.4912794 4:-4.3993664 5:4.0697236 6:-3.6843197 7:0.37392667 8:-0.5218677 9:4.925116 10:0.60151136 11:1.9488188 12:-4.3861356 13:2.3899329 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:173.39091 2:2.9083977 3:1.1177179 4:-3.664592 5:2.4026754 6:-3.5472765 7:1.9965488 8:-0.15399224 9:7.6946874 10:-0.33281305 11:0.033790823 12:-3.4395838 13:1.679747 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:173.39091 2:2.9083977 3:1.1177179 4:-3.664592 5:2.4026754 6:-3.5472765 7:1.9965488 8:-0.15399224 9:7.6946874 10:-0.33281305 11:0.033790823 12:-3.4395838 13:1.679747 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:169.63257 2:-0.64114374 3:-4.3052726 4:-5.5361743 5:1.4572369 6:-3.0017917 7:-0.062568694 8:-1.9913816 9:5.7181225 10:-3.2518215 11:4.180943 12:-2.383762 13:2.5740855 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
1 1:169.63257 2:-0.64114374 3:-4.3052726 4:-5.5361743 5:1.4572369 6:-3.0017917 7:-0.062568694 8:-1.9913816 9:5.7181225 10:-3.2518215 11:4.180943 12:-2.383762 13:2.5740855 14:81.52198 15:3.5319412 16:3.9241138 17:0.20181033 18:3.077472 19:-0.9837858 20:-0.86780787 21:-1.2297268 22:2.1974401 23:-1.2583319 24:-0.098899566 25:0.2812683 26:1.1784838 
