2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:179.24837 2:5.591959 3:1.0471532 4:-1.3695704 5:3.754128 6:-3.6950536 7:2.8088286 8:-2.6384997 9:3.2476776 10:-2.5372906 11:3.204434 12:-3.2191465 13:3.4276233 14:179.24837 15:5.591959 16:1.0471532 17:-1.3695704 18:3.754128 19:-3.6950536 20:2.8088286 21:-2.6384997 22:3.2476776 23:-2.5372906 24:3.204434 25:-3.2191465 26:3.4276233 
2 1:214.38663 2:6.439813 3:1.4397265 4:-1.0072167 5:4.336743 6:-4.1708493 7:3.0561142 8:-2.7099392 9:3.4022279 10:-2.77933 11:3.402104 12:-3.5076365 13:3.650111 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:214.38663 2:6.439813 3:1.4397265 4:-1.0072167 5:4.336743 6:-4.1708493 7:3.0561142 8:-2.7099392 9:3.4022279 10:-2.77933 11:3.402104 12:-3.5076365 13:3.650111 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:127.92772 2:1.6123825 3:1.3385473 4:-0.7884077 5:7.7718945 6:-4.810823 7:3.3288243 8:-5.5813985 9:2.3871443 10:-4.860561 11:4.8780046 12:-3.42282 13:2.6328678 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:127.92772 2:1.6123825 3:1.3385473 4:-0.7884077 5:7.7718945 6:-4.810823 7:3.3288243 8:-5.5813985 9:2.3871443 10:-4.860561 11:4.8780046 12:-3.42282 13:2.6328678 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:125.46463 2:-2.1793735 3:0.8253825 4:-3.3302498 5:2.9329236 6:-5.1332507 7:1.3980722 8:-2.8304713 9:2.1397443 10:-3.496762 11:2.6725912 12:-6.0788445 13:4.1649756 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:125.46463 2:-2.1793735 3:0.8253825 4:-3.3302498 5:2.9329236 6:-5.1332507 7:1.3980722 8:-2.8304713 9:2.1397443 10:-3.496762 11:2.6725912 12:-6.0788445 13:4.1649756 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:126.78997 2:-4.074941 3:-0.55718374 4:-3.396326 5:2.830253 6:-3.1118977 7:1.0762902 8:-5.5010004 9:1.1248188 10:-3.6033285 11:2.4858506 12:-3.185621 13:4.7569294 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:126.78997 2:-4.074941 3:-0.55718374 4:-3.396326 5:2.830253 6:-3.1118977 7:1.0762902 8:-5.5010004 9:1.1248188 10:-3.6033285 11:2.4858506 12:-3.185621 13:4.7569294 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:123.1503 2:-0.60306025 3:-1.3956906 4:-2.373774 5:5.322426 6:-4.5626535 7:1.3005615 8:-2.0613377 9:4.4371195 10:-0.58815634 11:4.991563 12:-2.683886 13:2.8090177 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:123.1503 2:-0.60306025 3:-1.3956906 4:-2.373774 5:5.322426 6:-4.5626535 7:1.3005615 8:-2.0613377 9:4.4371195 10:-0.58815634 11:4.991563 12:-2.683886 13:2.8090177 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:128.4776 2:0.10183147 3:2.0020394 4:-1.2982355 5:3.853234 6:-6.003362 7:2.0422864 8:-0.20235807 9:2.2273636 10:-2.8597152 11:2.238258 12:-0.7119663 13:2.7825077 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:128.4776 2:0.10183147 3:2.0020394 4:-1.2982355 5:3.853234 6:-6.003362 7:2.0422864 8:-0.20235807 9:2.2273636 10:-2.8597152 11:2.238258 12:-0.7119663 13:2.7825077 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:128.16661 2:2.4731395 3:-0.29899883 4:-2.9749987 5:4.9089193 6:-5.942951 7:1.5922847 8:-2.528806 9:0.61112857 10:-2.5566084 11:2.1786637 12:-1.7001985 13:4.574118 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:128.16661 2:2.4731395 3:-0.29899883 4:-2.9749987 5:4.9089193 6:-5.942951 7:1.5922847 8:-2.528806 9:0.61112857 10:-2.5566084 11:2.1786637 12:-1.7001985 13:4.574118 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:126.075424 2:2.738711 3:4.7246356 4:-0.750148 5:1.3354108 6:-4.782561 7:1.8801994 8:-3.9258068 9:2.5395508 10:-1.4950346 11:2.16792 12:-1.7924888 13:0.3268587 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:126.075424 2:2.738711 3:4.7246356 4:-0.750148 5:1.3354108 6:-4.782561 7:1.8801994 8:-3.9258068 9:2.5395508 10:-1.4950346 11:2.16792 12:-1.7924888 13:0.3268587 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:124.26535 2:0.6078942 3:2.6076355 4:-2.9618154 5:2.780882 6:-1.364419 7:1.4067881 8:-0.27147055 9:5.310402 10:-1.38495 11:1.2695239 12:-4.398932 13:2.3562772 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:124.26535 2:0.6078942 3:2.6076355 4:-2.9618154 5:2.780882 6:-1.364419 7:1.4067881 8:-0.27147055 9:5.310402 10:-1.38495 11:1.2695239 12:-4.398932 13:2.3562772 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:125.794945 2:-1.093745 3:-0.26762745 4:0.7992473 5:5.019874 6:-2.6637022 7:3.2670197 8:-2.1129894 9:1.4312948 10:-4.625133 11:0.49775594 12:-2.2417188 13:2.3876173 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:125.794945 2:-1.093745 3:-0.26762745 4:0.7992473 5:5.019874 6:-2.6637022 7:3.2670197 8:-2.1129894 9:1.4312948 10:-4.625133 11:0.49775594 12:-2.2417188 13:2.3876173 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:123.24817 2:0.8963454 3:4.1481595 4:-1.2424059 5:2.175891 6:-5.804036 7:-1.7970381 8:-3.5069952 9:4.0221405 10:0.33082142 11:0.77393115 12:-4.898716 13:1.8900715 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:123.24817 2:0.8963454 3:4.1481595 4:-1.2424059 5:2.175891 6:-5.804036 7:-1.7970381 8:-3.5069952 9:4.0221405 10:0.33082142 11:0.77393115 12:-4.898716 13:1.8900715 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:127.0918 2:0.4694786 3:1.0465 4:-0.41945085 5:0.8942225 6:-3.6833398 7:2.7931583 8:0.72436726 9:3.4029899 10:-1.5218395 11:4.859213 12:-2.7952244 13:1.9034656 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:127.0918 2:0.4694786 3:1.0465 4:-0.41945085 5:0.8942225 6:-3.6833398 7:2.7931583 8:0.72436726 9:3.4029899 10:-1.5218395 11:4.859213 12:-2.7952244 13:1.9034656 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:125.329285 2:-0.2875431 3:2.4002829 4:-3.4045799 5:3.4552321 6:-3.477677 7:1.0601051 8:-3.8710337 9:-0.35079202 10:-0.027143871 11:2.7343416 12:-2.0772853 13:3.2509565 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:125.329285 2:-0.2875431 3:2.4002829 4:-3.4045799 5:3.4552321 6:-3.477677 7:1.0601051 8:-3.8710337 9:-0.35079202 10:-0.027143871 11:2.7343416 12:-2.0772853 13:3.2509565 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:130.39502 2:0.34023175 3:0.19116692 4:-3.6692863 5:3.058384 6:-5.7837873 7:1.8322419 8:-2.6930566 9:-1.6563058 10:-5.5654373 11:0.45848432 12:-3.0261474 13:2.3374076 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:130.39502 2:0.34023175 3:0.19116692 4:-3.6692863 5:3.058384 6:-5.7837873 7:1.8322419 8:-2.6930566 9:-1.6563058 10:-5.5654373 11:0.45848432 12:-3.0261474 13:2.3374076 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
2 1:124.413414 2:-2.793057 3:-3.7508173 4:-7.5145116 5:1.1713295 6:-3.815923 7:2.6288993 8:-1.5075572 9:2.9255204 10:-4.101692 11:1.5134946 12:-2.1060004 13:3.3795187 14:75.50538 15:5.0252695 16:3.6989353 17:-1.0931635 18:0.95970106 19:0.13987957 20:0.0967482 21:-2.5406313 22:1.1494299 23:-1.2517264 24:0.49144834 25:-0.83181256 26:0.4587198 
