1 1:143.07115 2:12.743149 3:6.234212 4:-1.2735493 5:0.18861166 6:-5.091449 7:2.9102726 8:-9.836284 9:5.6313806 10:-2.3110907 11:0.4489095 12:-3.7570915 13:4.8380437 14:143.07115 15:12.743149 16:6.234212 17:-1.2735493 18:0.18861166 19:-5.091449 20:2.9102726 21:-9.836284 22:5.6313806 23:-2.3110907 24:0.4489095 25:-3.7570915 26:4.8380437 
1 1:186.14726 2:10.216143 3:5.243573 4:-0.078789726 5:3.5508246 6:-5.3872595 7:-1.5430101 8:-10.694974 9:3.718535 10:-2.8022768 11:0.26629183 12:-4.002384 13:5.80712 14:186.14726 15:10.216143 16:5.243573 17:-0.078789726 18:3.5508246 19:-5.3872595 20:-1.5430101 21:-10.694974 22:3.718535 23:-2.8022768 24:0.26629183 25:-4.002384 26:5.80712 
1 1:190.15182 2:11.433203 3:7.9803376 4:-0.5538976 5:2.2059526 6:-4.486174 7:-1.6649156 8:-6.423217 9:3.4524643 10:-3.8882816 11:4.594817 12:-2.814147 13:3.7339776 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:190.15182 2:11.433203 3:7.9803376 4:-0.5538976 5:2.2059526 6:-4.486174 7:-1.6649156 8:-6.423217 9:3.4524643 10:-3.8882816 11:4.594817 12:-2.814147 13:3.7339776 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:180.30182 2:11.042699 3:10.226238 4:-0.70475495 5:2.924799 6:-5.5537114 7:-0.6863888 8:-2.7594097 9:6.1237016 10:-2.7154975 11:2.6052473 12:-1.1652839 13:4.7406397 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:180.30182 2:11.042699 3:10.226238 4:-0.70475495 5:2.924799 6:-5.5537114 7:-0.6863888 8:-2.7594097 9:6.1237016 10:-2.7154975 11:2.6052473 12:-1.1652839 13:4.7406397 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:171.06909 2:2.4655743 3:2.3035233 4:-3.0788345 5:5.080663 6:3.1531317 7:3.6743603 8:-2.5579238 9:3.7414885 10:-2.9706635 11:3.3601806 12:-2.3547435 13:3.6515865 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:171.06909 2:2.4655743 3:2.3035233 4:-3.0788345 5:5.080663 6:3.1531317 7:3.6743603 8:-2.5579238 9:3.7414885 10:-2.9706635 11:3.3601806 12:-2.3547435 13:3.6515865 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:176.98238 2:9.48197 3:8.043573 4:0.2661545 5:4.7885137 6:-4.5893292 7:0.1925788 8:-4.960463 9:1.8432177 10:-3.676563 11:4.1682754 12:-3.9670734 13:1.287501 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:176.98238 2:9.48197 3:8.043573 4:0.2661545 5:4.7885137 6:-4.5893292 7:0.1925788 8:-4.960463 9:1.8432177 10:-3.676563 11:4.1682754 12:-3.9670734 13:1.287501 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:182.46251 2:6.6234274 3:8.060294 4:-3.6422768 5:5.190425 6:-3.3042114 7:0.0025396796 8:-4.558384 9:1.0502636 10:-2.6294458 11:0.010958341 12:-3.840472 13:1.021403 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
1 1:182.46251 2:6.6234274 3:8.060294 4:-3.6422768 5:5.190425 6:-3.3042114 7:0.0025396796 8:-4.558384 9:1.0502636 10:-2.6294458 11:0.010958341 12:-3.840472 13:1.021403 14:75.61089 15:4.154814 16:4.3301754 17:0.3625252 18:3.5288188 19:-0.18261068 20:-1.1706005 21:-2.663148 22:1.9609109 23:-1.0338962 24:0.07421547 25:-0.81344664 26:0.9952933 
