2 1:122.54139 2:-7.613454 3:3.2552893 4:-3.0885477 5:7.863536 6:1.2431704 7:1.5786079 8:-4.412975 9:0.4485748 10:2.5911214 11:0.7029539 12:-2.1347938 13:2.0320425 14:122.54139 15:-7.613454 16:3.2552893 17:-3.0885477 18:7.863536 19:1.2431704 20:1.5786079 21:-4.412975 22:0.4485748 23:2.5911214 24:0.7029539 25:-2.1347938 26:2.0320425 
2 1:163.36859 2:1.8130707 3:6.722558 4:1.1727936 5:7.5080857 6:-0.61447465 7:1.5412642 8:-2.6634736 9:2.9180543 10:2.135195 11:5.030677 12:-2.5496657 13:1.4268295 14:163.36859 15:1.8130707 16:6.722558 17:1.1727936 18:7.5080857 19:-0.61447465 20:1.5412642 21:-2.6634736 22:2.9180543 23:2.135195 24:5.030677 25:-2.5496657 26:1.4268295 
2 1:166.50157 2:0.9073815 3:3.5644283 4:0.9608396 5:3.3971572 6:-3.2500117 7:3.818452 8:-0.39216638 9:5.0633087 10:-2.8043475 11:2.9749217 12:-1.1532352 13:3.814016 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.50157 2:0.9073815 3:3.5644283 4:0.9608396 5:3.3971572 6:-3.2500117 7:3.818452 8:-0.39216638 9:5.0633087 10:-2.8043475 11:2.9749217 12:-1.1532352 13:3.814016 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.93091 2:0.5355656 3:4.503198 4:-1.0666035 5:3.595084 6:-4.9563985 7:-0.5334883 8:-2.90747 9:1.9519054 10:-2.080739 11:1.0191547 12:-2.3827543 13:2.2062292 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.93091 2:0.5355656 3:4.503198 4:-1.0666035 5:3.595084 6:-4.9563985 7:-0.5334883 8:-2.90747 9:1.9519054 10:-2.080739 11:1.0191547 12:-2.3827543 13:2.2062292 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:171.15065 2:3.2161012 3:4.9670806 4:0.8575123 5:2.8333838 6:-0.0011675277 7:2.1641734 8:-5.6087093 9:1.4573109 10:-3.4210062 11:2.8239193 12:-2.0564387 13:3.0986965 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:171.15065 2:3.2161012 3:4.9670806 4:0.8575123 5:2.8333838 6:-0.0011675277 7:2.1641734 8:-5.6087093 9:1.4573109 10:-3.4210062 11:2.8239193 12:-2.0564387 13:3.0986965 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.3829 2:3.839829 3:7.4245734 4:0.42813998 5:3.147441 6:-1.725985 7:4.270489 8:-2.0902326 9:0.2781059 10:-2.2019923 11:4.5177813 12:-1.6527463 13:3.0030801 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.3829 2:3.839829 3:7.4245734 4:0.42813998 5:3.147441 6:-1.725985 7:4.270489 8:-2.0902326 9:0.2781059 10:-2.2019923 11:4.5177813 12:-1.6527463 13:3.0030801 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.56148 2:4.973089 3:8.317215 4:-2.6597388 5:0.1978366 6:-3.3150744 7:2.8078127 8:-1.7027599 9:2.3596237 10:-0.21401572 11:-0.050946835 12:-5.0483246 13:2.5338132 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.56148 2:4.973089 3:8.317215 4:-2.6597388 5:0.1978366 6:-3.3150744 7:2.8078127 8:-1.7027599 9:2.3596237 10:-0.21401572 11:-0.050946835 12:-5.0483246 13:2.5338132 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.65468 2:2.7595534 3:9.945547 4:-0.40912804 5:3.135444 6:0.74114263 7:4.0964203 8:-1.1204998 9:4.5006638 10:1.1618785 11:2.8943183 12:-2.8049724 13:3.185347 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.65468 2:2.7595534 3:9.945547 4:-0.40912804 5:3.135444 6:0.74114263 7:4.0964203 8:-1.1204998 9:4.5006638 10:1.1618785 11:2.8943183 12:-2.8049724 13:3.185347 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
