2 1:88.60387 2:-4.2033796 3:5.7390647 4:0.5661378 5:8.410895 6:0.1470329 7:-0.69538355 8:-1.381196 9:-0.40221724 10:-3.0683262 11:2.9744923 12:-4.338217 13:1.493884 14:88.60387 15:-4.2033796 16:5.7390647 17:0.5661378 18:8.410895 19:0.1470329 20:-0.69538355 21:-1.381196 22:-0.40221724 23:-3.0683262 24:2.9744923 25:-4.338217 26:1.493884 
2 1:334.63602 2:7.462389 3:5.4281077 4:-1.1612988 5:1.9538425 6:-2.3655772 7:2.921027 8:-2.953572 9:3.540124 10:-2.8340933 11:3.1697042 12:-3.3678951 13:3.8798876 14:334.63602 15:7.462389 16:5.4281077 17:-1.1612988 18:1.9538425 19:-2.3655772 20:2.921027 21:-2.953572 22:3.540124 23:-2.8340933 24:3.1697042 25:-3.3678951 26:3.8798876 
2 1:322.08783 2:5.486855 3:8.315621 4:-2.0182905 5:3.3483188 6:-2.6891897 7:3.6124334 8:-2.9371665 9:3.805245 10:-2.6711578 11:3.1592848 12:-3.0322409 13:3.8059833 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:322.08783 2:5.486855 3:8.315621 4:-2.0182905 5:3.3483188 6:-2.6891897 7:3.6124334 8:-2.9371665 9:3.805245 10:-2.6711578 11:3.1592848 12:-3.0322409 13:3.8059833 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:194.45248 2:-0.22806162 3:11.863007 4:-4.2270913 5:5.2278686 6:-3.7700398 7:6.3467755 8:-4.248774 9:6.216449 10:-4.832514 11:5.4116077 12:-6.6364436 13:6.503962 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:194.45248 2:-0.22806162 3:11.863007 4:-4.2270913 5:5.2278686 6:-3.7700398 7:6.3467755 8:-4.248774 9:6.216449 10:-4.832514 11:5.4116077 12:-6.6364436 13:6.503962 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:200.45937 2:1.598762 3:8.055383 4:-4.213276 5:5.989399 6:-4.7643 7:4.1626487 8:-5.0205193 9:5.1388655 10:-4.239621 11:3.7849743 12:-4.8292522 13:5.104147 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:200.45937 2:1.598762 3:8.055383 4:-4.213276 5:5.989399 6:-4.7643 7:4.1626487 8:-5.0205193 9:5.1388655 10:-4.239621 11:3.7849743 12:-4.8292522 13:5.104147 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:188.78102 2:0.5837906 3:8.833483 4:-2.5382385 5:5.1249084 6:-2.898914 7:3.34624 8:-5.3929152 9:3.942824 10:-3.7667763 11:5.025189 12:-3.8963253 13:4.224903 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:188.78102 2:0.5837906 3:8.833483 4:-2.5382385 5:5.1249084 6:-2.898914 7:3.34624 8:-5.3929152 9:3.942824 10:-3.7667763 11:5.025189 12:-3.8963253 13:4.224903 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:183.14326 2:2.7889931 3:10.377542 4:1.0969509 5:4.1596365 6:-3.4758646 7:3.8868706 8:-2.021324 9:5.760504 10:-1.7825861 11:5.388741 12:-4.676741 13:2.5967274 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:183.14326 2:2.7889931 3:10.377542 4:1.0969509 5:4.1596365 6:-3.4758646 7:3.8868706 8:-2.021324 9:5.760504 10:-1.7825861 11:5.388741 12:-4.676741 13:2.5967274 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:176.1943 2:-0.5239575 3:4.206231 4:-2.1322467 5:5.539564 6:0.040988024 7:8.5676775 8:-0.40689424 9:3.4861462 10:-2.0761676 11:1.840173 12:-0.9015192 13:4.7662473 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
