2 1:34.96504 2:-1.9798521 3:3.5189488 4:-2.3317754 5:3.5502253 6:-2.5032303 7:0.18349494 8:-0.877598 9:1.6346635 10:-1.4806601 11:2.13544 12:-2.559274 13:2.859265 14:34.96504 15:-1.9798521 16:3.5189488 17:-2.3317754 18:3.5502253 19:-2.5032303 20:0.18349494 21:-0.877598 22:1.6346635 23:-1.4806601 24:2.13544 25:-2.559274 26:2.859265 
2 1:306.80118 2:7.9236097 3:5.8832617 4:-1.2615639 5:2.415309 6:-2.2167833 7:2.9504585 8:-3.0214705 9:3.7417166 10:-2.831542 11:3.3587964 12:-3.491698 13:3.8966506 14:306.80118 15:7.9236097 16:5.8832617 17:-1.2615639 18:2.415309 19:-2.2167833 20:2.9504585 21:-3.0214705 22:3.7417166 23:-2.831542 24:3.3587964 25:-3.491698 26:3.8966506 
2 1:295.80505 2:5.5726557 3:8.760245 4:-2.3678946 5:3.8260288 6:-2.706848 7:3.7459972 8:-3.1096284 9:4.1300435 10:-2.749801 11:3.4562814 12:-3.2737436 13:3.9020422 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:295.80505 2:5.5726557 3:8.760245 4:-2.3678946 5:3.8260288 6:-2.706848 7:3.7459972 8:-3.1096284 9:4.1300435 10:-2.749801 11:3.4562814 12:-3.2737436 13:3.9020422 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:205.62387 2:1.1635095 3:7.5421667 4:-5.596799 5:5.62793 6:-5.433433 7:5.297241 8:-4.3544207 9:4.548866 10:-4.84093 11:5.6123743 12:-5.2875347 13:5.655159 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:205.62387 2:1.1635095 3:7.5421667 4:-5.596799 5:5.62793 6:-5.433433 7:5.297241 8:-4.3544207 9:4.548866 10:-4.84093 11:5.6123743 12:-5.2875347 13:5.655159 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:194.10052 2:2.5948076 3:8.218626 4:-4.40818 5:2.881076 6:-3.1304328 7:7.1425576 8:-4.2792983 9:5.064007 10:-4.619584 11:4.0893235 12:-8.03196 13:4.885567 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:194.10052 2:2.5948076 3:8.218626 4:-4.40818 5:2.881076 6:-3.1304328 7:7.1425576 8:-4.2792983 9:5.064007 10:-4.619584 11:4.0893235 12:-8.03196 13:4.885567 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:190.18326 2:0.49855697 3:7.7082233 4:-2.1077294 5:6.185412 6:-1.922984 7:3.3840969 8:-3.9826798 9:4.594486 10:-5.733598 11:2.7119389 12:-4.7037888 13:3.3482509 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:190.18326 2:0.49855697 3:7.7082233 4:-2.1077294 5:6.185412 6:-1.922984 7:3.3840969 8:-3.9826798 9:4.594486 10:-5.733598 11:2.7119389 12:-4.7037888 13:3.3482509 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:183.77289 2:1.4649717 3:5.8389716 4:-7.336995 5:5.408775 6:0.15281953 7:5.674374 8:-0.5484045 9:3.338193 10:-2.5052805 11:3.3895936 12:-2.1885908 13:6.731333 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:183.77289 2:1.4649717 3:5.8389716 4:-7.336995 5:5.408775 6:0.15281953 7:5.674374 8:-0.5484045 9:3.338193 10:-2.5052805 11:3.3895936 12:-2.1885908 13:6.731333 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:177.06136 2:-2.257671 3:5.35787 4:-4.7279887 5:2.523438 6:-2.7849777 7:0.5162356 8:-3.5259132 9:5.514313 10:0.6913406 11:3.080019 12:-1.675045 13:5.1017427 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:177.06136 2:-2.257671 3:5.35787 4:-4.7279887 5:2.523438 6:-2.7849777 7:0.5162356 8:-3.5259132 9:5.514313 10:0.6913406 11:3.080019 12:-1.675045 13:5.1017427 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:173.56433 2:0.831038 3:8.987991 4:-2.5883603 5:0.9150223 6:-1.3588865 7:3.5616233 8:2.049887 9:10.066063 10:0.30298597 11:1.6945134 12:-2.462525 13:3.7390149 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:173.56433 2:0.831038 3:8.987991 4:-2.5883603 5:0.9150223 6:-1.3588865 7:3.5616233 8:2.049887 9:10.066063 10:0.30298597 11:1.6945134 12:-2.462525 13:3.7390149 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:171.25008 2:3.3207521 3:6.533974 4:-2.4182527 5:3.0077956 6:-2.0313756 7:5.5856056 8:-0.39591685 9:5.436693 10:-0.017786605 11:3.5043533 12:-2.1334193 13:5.5731573 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:171.25008 2:3.3207521 3:6.533974 4:-2.4182527 5:3.0077956 6:-2.0313756 7:5.5856056 8:-0.39591685 9:5.436693 10:-0.017786605 11:3.5043533 12:-2.1334193 13:5.5731573 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:168.49503 2:4.4111047 3:5.055833 4:-4.257847 5:0.19845046 6:-2.610913 7:3.2775123 8:-2.6464717 9:6.1738353 10:-1.0823531 11:0.74787974 12:-4.4368486 13:3.1242 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:168.49503 2:4.4111047 3:5.055833 4:-4.257847 5:0.19845046 6:-2.610913 7:3.2775123 8:-2.6464717 9:6.1738353 10:-1.0823531 11:0.74787974 12:-4.4368486 13:3.1242 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:154.3779 2:4.831387 3:6.6848054 4:-2.6665308 5:1.9124899 6:-3.739078 7:2.1043339 8:2.7707136 9:7.719741 10:0.17054716 11:4.008473 12:-3.6933777 13:3.641757 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:154.3779 2:4.831387 3:6.6848054 4:-2.6665308 5:1.9124899 6:-3.739078 7:2.1043339 8:2.7707136 9:7.719741 10:0.17054716 11:4.008473 12:-3.6933777 13:3.641757 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:140.50111 2:2.135943 3:3.1966324 4:-5.148421 5:2.4444203 6:-1.564332 7:2.2993088 8:0.5850527 9:4.6790366 10:-1.7495617 11:1.4087498 12:-2.6578429 13:4.0011024 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:140.50111 2:2.135943 3:3.1966324 4:-5.148421 5:2.4444203 6:-1.564332 7:2.2993088 8:0.5850527 9:4.6790366 10:-1.7495617 11:1.4087498 12:-2.6578429 13:4.0011024 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:128.05661 2:4.938617 3:6.843105 4:-2.6934748 5:5.306182 6:-0.097466186 7:2.5369875 8:-2.6757007 9:3.8817897 10:-2.5478735 11:1.7878106 12:-3.5915637 13:2.6647663 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:128.05661 2:4.938617 3:6.843105 4:-2.6934748 5:5.306182 6:-0.097466186 7:2.5369875 8:-2.6757007 9:3.8817897 10:-2.5478735 11:1.7878106 12:-3.5915637 13:2.6647663 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:125.63377 2:2.7677026 3:7.324556 4:0.113706194 5:2.8359945 6:-2.4905322 7:3.6851506 8:-2.6665952 9:2.6190565 10:-3.1027255 11:3.1407914 12:-3.162189 13:3.0099742 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:125.63377 2:2.7677026 3:7.324556 4:0.113706194 5:2.8359945 6:-2.4905322 7:3.6851506 8:-2.6665952 9:2.6190565 10:-3.1027255 11:3.1407914 12:-3.162189 13:3.0099742 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:117.2225 2:0.08174491 3:2.139273 4:-4.55437 5:4.7375855 6:-3.6455908 7:1.0562005 8:-0.7529543 9:3.3916292 10:-3.0004253 11:3.3639233 12:-2.1541967 13:1.9637847 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:117.2225 2:0.08174491 3:2.139273 4:-4.55437 5:4.7375855 6:-3.6455908 7:1.0562005 8:-0.7529543 9:3.3916292 10:-3.0004253 11:3.3639233 12:-2.1541967 13:1.9637847 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
2 1:108.68153 2:2.5056624 3:8.70904 4:-1.8783511 5:3.9300737 6:-1.8820387 7:0.061006397 8:-0.99910843 9:5.6730065 10:-0.58478457 11:4.049627 12:-3.477127 13:3.992763 14:53.142097 15:2.0050828 16:2.9414084 17:-1.3396488 18:1.3938819 19:-0.7590418 20:1.3867614 21:-1.2387745 22:1.1640115 23:-0.45897666 24:0.6011159 25:-0.58920634 26:1.1094592 
