2 1:108.97533 2:-9.4427395 3:0.04326639 4:-4.795219 5:3.1439655 6:-1.5497206 7:4.5875673 8:-2.77564 9:4.080246 10:1.8638606 11:1.4166049 12:-0.1029261 13:0.1488735 14:108.97533 15:-9.4427395 16:0.04326639 17:-4.795219 18:3.1439655 19:-1.5497206 20:4.5875673 21:-2.77564 22:4.080246 23:1.8638606 24:1.4166049 25:-0.1029261 26:0.1488735 
2 1:294.5799 2:12.424071 3:11.551794 4:-1.3963772 5:4.973687 6:-3.568955 7:3.5227606 8:-3.5334148 9:3.8659074 10:-3.0603273 11:3.4455318 12:-3.578758 13:3.969582 14:294.5799 15:12.424071 16:11.551794 17:-1.3963772 18:4.973687 19:-3.568955 20:3.5227606 21:-3.5334148 22:3.8659074 23:-3.0603273 24:3.4455318 25:-3.578758 26:3.969582 
2 1:271.80035 2:9.874168 3:14.948021 4:-2.576859 5:6.739347 6:-4.2038856 7:4.531516 8:-3.8724446 9:4.387625 10:-3.2298362 11:3.6583152 12:-3.4988322 13:4.089248 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:271.80035 2:9.874168 3:14.948021 4:-2.576859 5:6.739347 6:-4.2038856 7:4.531516 8:-3.8724446 9:4.387625 10:-3.2298362 11:3.6583152 12:-3.4988322 13:4.089248 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:185.20302 2:2.4291499 3:10.867078 4:-4.669346 5:7.944207 6:-4.8557744 7:6.7735953 8:-4.723376 9:6.7543726 10:-5.424698 11:5.9256096 12:-6.2650695 13:4.522473 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:185.20302 2:2.4291499 3:10.867078 4:-4.669346 5:7.944207 6:-4.8557744 7:6.7735953 8:-4.723376 9:6.7543726 10:-5.424698 11:5.9256096 12:-6.2650695 13:4.522473 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:191.14919 2:3.5288079 3:10.007171 4:-3.5382564 5:6.441733 6:-5.2132974 7:4.481714 8:-5.24301 9:5.613372 10:-4.9490933 11:4.254934 12:-4.9949894 13:4.9383473 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:191.14919 2:3.5288079 3:10.007171 4:-3.5382564 5:6.441733 6:-5.2132974 7:4.481714 8:-5.24301 9:5.613372 10:-4.9490933 11:4.254934 12:-4.9949894 13:4.9383473 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:182.4444 2:4.334006 3:10.621505 4:-2.7197526 5:6.3906817 6:-4.8749332 7:2.6930215 8:-5.1875906 9:4.314648 10:-4.9706173 11:3.9439 12:-4.8710833 13:5.2012672 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:182.4444 2:4.334006 3:10.621505 4:-2.7197526 5:6.3906817 6:-4.8749332 7:2.6930215 8:-5.1875906 9:4.314648 10:-4.9706173 11:3.9439 12:-4.8710833 13:5.2012672 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:166.93068 2:1.2134728 3:12.638975 4:-3.1732314 5:3.0103407 6:-3.7247877 7:2.6081066 8:-4.01375 9:6.5649405 10:-2.7881148 11:2.4255655 12:-4.4142137 13:3.9197922 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
