2 1:179.4529 2:-7.387479 3:-11.00708 4:-0.5292518 5:6.9035444 6:-5.4516625 7:-0.999236 8:-3.2473722 9:2.631782 10:-4.1715817 11:2.0414667 12:-4.966257 13:4.863039 14:179.4529 15:-7.387479 16:-11.00708 17:-0.5292518 18:6.9035444 19:-5.4516625 20:-0.999236 21:-3.2473722 22:2.631782 23:-4.1715817 24:2.0414667 25:-4.966257 26:4.863039 
2 1:332.25668 2:20.290367 3:0.4912819 4:-2.8576293 5:5.6350555 6:-3.9400628 7:4.438551 8:-4.9994073 9:5.4860635 10:-4.446114 11:5.170281 12:-5.1986275 13:5.494438 14:332.25668 15:20.290367 16:0.4912819 17:-2.8576293 18:5.6350555 19:-3.9400628 20:4.438551 21:-4.9994073 22:5.4860635 23:-4.446114 24:5.170281 25:-5.1986275 26:5.494438 
2 1:266.6955 2:16.588066 3:3.944861 4:-4.829105 5:7.9626517 6:-4.4504232 7:5.9194403 8:-6.328885 9:6.376831 10:-4.1393695 11:4.704924 12:-4.811418 13:6.0237994 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:266.6955 2:16.588066 3:3.944861 4:-4.829105 5:7.9626517 6:-4.4504232 7:5.9194403 8:-6.328885 9:6.376831 10:-4.1393695 11:4.704924 12:-4.811418 13:6.0237994 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:217.65565 2:1.7394282 3:7.4658623 4:-4.7898054 5:5.216515 6:-4.7087274 7:4.6559405 8:-4.751388 9:5.296606 10:-4.320303 11:4.4204874 12:-4.6747665 13:5.3032594 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:217.65565 2:1.7394282 3:7.4658623 4:-4.7898054 5:5.216515 6:-4.7087274 7:4.6559405 8:-4.751388 9:5.296606 10:-4.320303 11:4.4204874 12:-4.6747665 13:5.3032594 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:214.6194 2:7.287432 3:3.5472245 4:-6.946703 5:6.789477 6:-4.111522 7:2.799801 8:-6.111268 9:3.8163514 10:-5.0316095 11:4.504067 12:-3.587969 13:5.9802217 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:214.6194 2:7.287432 3:3.5472245 4:-6.946703 5:6.789477 6:-4.111522 7:2.799801 8:-6.111268 9:3.8163514 10:-5.0316095 11:4.504067 12:-3.587969 13:5.9802217 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:192.41985 2:8.904023 3:6.1988325 4:-5.6069407 5:6.6776767 6:-1.2574092 7:5.5096374 8:-5.2460494 9:3.4933617 10:-3.6397517 11:2.9483936 12:-6.4824324 13:5.8323436 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:192.41985 2:8.904023 3:6.1988325 4:-5.6069407 5:6.6776767 6:-1.2574092 7:5.5096374 8:-5.2460494 9:3.4933617 10:-3.6397517 11:2.9483936 12:-6.4824324 13:5.8323436 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:179.77046 2:12.607866 3:6.603791 4:-5.456482 5:4.7808585 6:-7.141599 7:5.6750784 8:-0.7829448 9:6.286832 10:-3.5797744 11:2.9153907 12:-4.687515 13:5.291656 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
