2 1:124.948906 2:-5.1650443 3:-2.3039432 4:-3.2836955 5:-0.4930766 6:-1.6590084 7:2.056204 8:-0.3055026 9:4.16733 10:-2.5259397 11:4.9555 12:-4.828453 13:4.5888233 14:124.948906 15:-5.1650443 16:-2.3039432 17:-3.2836955 18:-0.4930766 19:-1.6590084 20:2.056204 21:-0.3055026 22:4.16733 23:-2.5259397 24:4.9555 25:-4.828453 26:4.5888233 
2 1:316.36115 2:11.885525 3:6.4800596 4:-4.556022 5:5.652234 6:-2.7100146 7:2.61118 8:-3.1864674 9:3.9358897 10:-2.811865 11:3.3144155 12:-3.3539438 13:3.751927 14:316.36115 15:11.885525 16:6.4800596 17:-4.556022 18:5.652234 19:-2.7100146 20:2.61118 21:-3.1864674 22:3.9358897 23:-2.811865 24:3.3144155 25:-3.3539438 26:3.751927 
2 1:287.8203 2:9.335737 3:9.701878 4:-5.7930937 5:7.4037156 6:-3.2813249 7:3.5264802 8:-3.425341 9:4.417159 10:-2.846671 11:3.472833 12:-3.3066852 13:3.7182713 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:287.8203 2:9.335737 3:9.701878 4:-5.7930937 5:7.4037156 6:-3.2813249 7:3.5264802 8:-3.425341 9:4.417159 10:-2.846671 11:3.472833 12:-3.3066852 13:3.7182713 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:190.43367 2:3.8718312 3:12.620915 4:-8.48079 5:5.6279016 6:-6.260717 7:3.4913204 8:-5.079276 9:8.527967 10:-4.95101 11:3.3650115 12:-5.023591 13:6.774821 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:190.43367 2:3.8718312 3:12.620915 4:-8.48079 5:5.6279016 6:-6.260717 7:3.4913204 8:-5.079276 9:8.527967 10:-4.95101 11:3.3650115 12:-5.023591 13:6.774821 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:199.79391 2:2.4906204 3:8.596241 4:-4.4334397 5:5.363448 6:-5.406604 7:3.752057 8:-4.4449744 9:6.403463 10:-4.4231043 11:3.986295 12:-4.8726354 13:5.5312457 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:199.79391 2:2.4906204 3:8.596241 4:-4.4334397 5:5.363448 6:-5.406604 7:3.752057 8:-4.4449744 9:6.403463 10:-4.4231043 11:3.986295 12:-4.8726354 13:5.5312457 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:189.31085 2:1.566592 3:7.243805 4:-6.7944093 5:5.937181 6:-4.4640756 7:3.2306125 8:-6.06519 9:4.919427 10:-2.0166366 11:5.7743096 12:-2.709016 13:3.6141722 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:189.31085 2:1.566592 3:7.243805 4:-6.7944093 5:5.937181 6:-4.4640756 7:3.2306125 8:-6.06519 9:4.919427 10:-2.0166366 11:5.7743096 12:-2.709016 13:3.6141722 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:180.5344 2:4.598185 3:9.056054 4:-4.590134 5:6.322611 6:-2.1190286 7:4.602514 8:-2.972607 9:3.1451313 10:-3.922279 11:2.9492624 12:-2.832377 13:4.075176 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:180.5344 2:4.598185 3:9.056054 4:-4.590134 5:6.322611 6:-2.1190286 7:4.602514 8:-2.972607 9:3.1451313 10:-3.922279 11:2.9492624 12:-2.832377 13:4.075176 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:176.96846 2:6.538489 3:3.7333858 4:-6.57405 5:6.565804 6:-3.832247 7:3.3073924 8:-4.6696625 9:3.2579536 10:-1.7140533 11:4.594459 12:-1.8418866 13:4.5832295 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:176.96846 2:6.538489 3:3.7333858 4:-6.57405 5:6.565804 6:-3.832247 7:3.3073924 8:-4.6696625 9:3.2579536 10:-1.7140533 11:4.594459 12:-1.8418866 13:4.5832295 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:173.42824 2:5.776225 3:3.6420267 4:-7.3786182 5:3.8829994 6:-3.445244 7:1.1735885 8:-0.8939408 9:4.0519986 10:-1.7000508 11:3.5528932 12:-3.0273442 13:3.1035528 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:173.42824 2:5.776225 3:3.6420267 4:-7.3786182 5:3.8829994 6:-3.445244 7:1.1735885 8:-0.8939408 9:4.0519986 10:-1.7000508 11:3.5528932 12:-3.0273442 13:3.1035528 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:168.12389 2:5.813287 3:4.191258 4:-7.4990845 5:3.514614 6:-1.356997 7:4.5377903 8:0.118424505 9:6.2183003 10:-0.31524938 11:3.1889892 12:-3.9247515 13:4.8775616 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:168.12389 2:5.813287 3:4.191258 4:-7.4990845 5:3.514614 6:-1.356997 7:4.5377903 8:0.118424505 9:6.2183003 10:-0.31524938 11:3.1889892 12:-3.9247515 13:4.8775616 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:152.44109 2:8.353018 3:7.903942 4:-3.7082362 5:2.7035265 6:-2.4516678 7:6.55728 8:0.7380582 9:4.84132 10:-5.1251917 11:2.482607 12:-2.6711843 13:1.9555119 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:152.44109 2:8.353018 3:7.903942 4:-3.7082362 5:2.7035265 6:-2.4516678 7:6.55728 8:0.7380582 9:4.84132 10:-5.1251917 11:2.482607 12:-2.6711843 13:1.9555119 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:138.3672 2:4.324854 3:4.6721945 4:-5.988117 5:3.6795797 6:-3.3121872 7:3.8029108 8:-1.4482718 9:1.3226961 10:-2.6901777 11:4.978037 12:-5.4098673 13:2.4267206 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:138.3672 2:4.324854 3:4.6721945 4:-5.988117 5:3.6795797 6:-3.3121872 7:3.8029108 8:-1.4482718 9:1.3226961 10:-2.6901777 11:4.978037 12:-5.4098673 13:2.4267206 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:127.143974 2:5.131529 3:6.462597 4:-3.866626 5:1.4757627 6:-1.173537 7:2.5259378 8:-1.9714245 9:3.814981 10:-2.9092996 11:2.2851114 12:-3.4215605 13:3.1942704 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:127.143974 2:5.131529 3:6.462597 4:-3.866626 5:1.4757627 6:-1.173537 7:2.5259378 8:-1.9714245 9:3.814981 10:-2.9092996 11:2.2851114 12:-3.4215605 13:3.1942704 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:121.666336 2:5.169367 3:5.3826404 4:-5.323493 5:4.700404 6:-2.7426088 7:2.1186097 8:-2.6231666 9:4.0310354 10:-0.9019118 11:4.776958 12:-2.8446782 13:1.1488658 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:121.666336 2:5.169367 3:5.3826404 4:-5.323493 5:4.700404 6:-2.7426088 7:2.1186097 8:-2.6231666 9:4.0310354 10:-0.9019118 11:4.776958 12:-2.8446782 13:1.1488658 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:119.05844 2:4.0487976 3:5.3104467 4:-5.011305 5:4.40222 6:-2.7992435 7:1.6334697 8:0.46831468 9:5.5372777 10:-2.1701465 11:1.748966 12:-0.9640474 13:4.3366904 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:119.05844 2:4.0487976 3:5.3104467 4:-5.011305 5:4.40222 6:-2.7992435 7:1.6334697 8:0.46831468 9:5.5372777 10:-2.1701465 11:1.748966 12:-0.9640474 13:4.3366904 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:109.12864 2:-1.5154835 3:3.4107914 4:-4.974803 5:4.518171 6:0.26889682 7:3.8352542 8:-2.5055165 9:7.144212 10:1.1224592 11:2.1774783 12:-1.6002584 13:1.4095718 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:109.12864 2:-1.5154835 3:3.4107914 4:-4.974803 5:4.518171 6:0.26889682 7:3.8352542 8:-2.5055165 9:7.144212 10:1.1224592 11:2.1774783 12:-1.6002584 13:1.4095718 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:112.14024 2:1.630135 3:7.6515718 4:2.1085122 5:4.896798 6:-3.130562 7:2.019214 8:-1.712028 9:0.8627776 10:-2.558417 11:3.941544 12:-2.239896 13:1.7665603 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:112.14024 2:1.630135 3:7.6515718 4:2.1085122 5:4.896798 6:-3.130562 7:2.019214 8:-1.712028 9:0.8627776 10:-2.558417 11:3.941544 12:-2.239896 13:1.7665603 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:113.68802 2:1.5357763 3:4.6108546 4:-4.884667 5:2.381009 6:-3.632876 7:0.2925658 8:-3.128648 9:4.632134 10:0.61847514 11:4.965035 12:-3.3032901 13:4.141886 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:113.68802 2:1.5357763 3:4.6108546 4:-4.884667 5:2.381009 6:-3.632876 7:0.2925658 8:-3.128648 9:4.632134 10:0.61847514 11:4.965035 12:-3.3032901 13:4.141886 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.725494 2:2.184904 3:1.6455461 4:-3.643808 5:-0.026362823 6:-6.092887 7:3.323669 8:-2.420259 9:3.9185424 10:-2.79845 11:-0.2688371 12:-4.317314 13:3.3106217 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.725494 2:2.184904 3:1.6455461 4:-3.643808 5:-0.026362823 6:-6.092887 7:3.323669 8:-2.420259 9:3.9185424 10:-2.79845 11:-0.2688371 12:-4.317314 13:3.3106217 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
