2 1:149.33478 2:1.2004905 3:-0.21185039 4:-2.825488 5:6.432877 6:-6.180212 7:-1.578107 8:-5.0112033 9:3.31843 10:1.6537448 11:4.405581 12:-1.7767297 13:0.90798247 14:149.33478 15:1.2004905 16:-0.21185039 17:-2.825488 18:6.432877 19:-6.180212 20:-1.578107 21:-5.0112033 22:3.31843 23:1.6537448 24:4.405581 25:-1.7767297 26:0.90798247 
2 1:331.62686 2:15.83565 3:2.8628433 4:-2.177733 5:5.3932905 6:-4.399456 7:3.919068 8:-4.360936 9:4.843867 10:-3.849581 11:4.254747 12:-4.2067065 13:4.6629906 14:331.62686 15:15.83565 16:2.8628433 17:-2.177733 18:5.3932905 19:-4.399456 20:3.919068 21:-4.360936 22:4.843867 23:-3.849581 24:4.254747 25:-4.2067065 26:4.6629906 
2 1:292.82196 2:13.369732 3:6.1289577 4:-3.2901864 5:7.0867496 6:-5.041816 7:4.732074 8:-4.607408 9:5.2223682 10:-3.99327 11:4.3031793 12:-4.119682 13:4.841747 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:292.82196 2:13.369732 3:6.1289577 4:-3.2901864 5:7.0867496 6:-5.041816 7:4.732074 8:-4.607408 9:5.2223682 10:-3.99327 11:4.3031793 12:-4.119682 13:4.841747 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:207.81384 2:1.4614968 3:7.2179656 4:-5.2200065 5:5.7691045 6:-5.590895 7:5.0518794 8:-6.3176646 9:4.870514 10:-5.5177546 11:3.8188806 12:-5.87222 13:5.2776465 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:207.81384 2:1.4614968 3:7.2179656 4:-5.2200065 5:5.7691045 6:-5.590895 7:5.0518794 8:-6.3176646 9:4.870514 10:-5.5177546 11:3.8188806 12:-5.87222 13:5.2776465 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:204.49184 2:3.1421626 3:7.1466784 4:-4.1407175 5:6.141078 6:-4.519591 7:3.7117517 8:-5.4633145 9:4.760809 10:-4.0609426 11:3.6661088 12:-5.349063 13:5.048666 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:204.49184 2:3.1421626 3:7.1466784 4:-4.1407175 5:6.141078 6:-4.519591 7:3.7117517 8:-5.4633145 9:4.760809 10:-4.0609426 11:3.6661088 12:-5.349063 13:5.048666 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:189.75002 2:4.9466066 3:7.0182123 4:-1.8127528 5:6.542778 6:-5.5930157 7:2.7041779 8:-6.0603004 9:3.3355167 10:-4.7080326 11:4.5585628 12:-4.1572084 13:4.4331794 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:189.75002 2:4.9466066 3:7.0182123 4:-1.8127528 5:6.542778 6:-5.5930157 7:2.7041779 8:-6.0603004 9:3.3355167 10:-4.7080326 11:4.5585628 12:-4.1572084 13:4.4331794 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:178.48514 2:8.276697 3:5.242119 4:-2.9691594 5:7.2095594 6:-4.3239355 7:1.7119603 8:-5.3820167 9:4.0258493 10:-3.85801 11:3.8187814 12:-4.9145164 13:2.4444213 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:178.48514 2:8.276697 3:5.242119 4:-2.9691594 5:7.2095594 6:-4.3239355 7:1.7119603 8:-5.3820167 9:4.0258493 10:-3.85801 11:3.8187814 12:-4.9145164 13:2.4444213 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:170.58134 2:1.8937256 3:0.36950842 4:-2.1094131 5:3.6540332 6:-1.8476536 7:4.546427 8:-5.6932364 9:3.6385868 10:-2.5726502 11:5.2050886 12:-2.5844433 13:2.3907816 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
2 1:170.58134 2:1.8937256 3:0.36950842 4:-2.1094131 5:3.6540332 6:-1.8476536 7:4.546427 8:-5.6932364 9:3.6385868 10:-2.5726502 11:5.2050886 12:-2.5844433 13:2.3907816 14:86.94581 15:5.3992567 16:1.2129486 17:-0.0012257302 18:1.9110869 19:-1.0384105 20:-0.62720287 21:-2.9839084 22:2.0648973 23:-0.7470349 24:1.1880815 25:-1.8033694 26:1.6699591 
