1 1:103.42988 2:0.50648594 3:7.0954566 4:-3.8857865 5:-4.0214815 6:0.2235772 7:1.9620832 8:-2.8922234 9:2.9087641 10:-3.0605125 11:2.9836445 12:-3.943741 13:1.8689344 14:103.42988 15:0.50648594 16:7.0954566 17:-3.8857865 18:-4.0214815 19:0.2235772 20:1.9620832 21:-2.8922234 22:2.9087641 23:-3.0605125 24:2.9836445 25:-3.943741 26:1.8689344 
1 1:326.13828 2:7.4028964 3:3.211054 4:-1.0037012 5:2.8153226 6:-2.5592175 7:2.5199296 8:-3.0517797 9:3.4605155 10:-2.8620112 11:3.3449295 12:-3.588709 13:3.909859 14:326.13828 15:7.4028964 16:3.211054 17:-1.0037012 18:2.8153226 19:-2.5592175 20:2.5199296 21:-3.0517797 22:3.4605155 23:-2.8620112 24:3.3449295 25:-3.588709 26:3.909859 
1 1:333.654 2:5.6495223 3:5.987958 4:-1.6815389 5:4.103878 6:-2.7510529 7:3.0727415 8:-2.9397988 9:3.5943713 10:-2.5732362 11:3.234207 12:-3.230553 13:3.7132857 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:333.654 2:5.6495223 3:5.987958 4:-1.6815389 5:4.103878 6:-2.7510529 7:3.0727415 8:-2.9397988 9:3.5943713 10:-2.5732362 11:3.234207 12:-3.230553 13:3.7132857 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:219.34296 2:1.3113952 3:7.959519 4:-4.219422 5:5.58375 6:-4.606799 7:5.267014 8:-5.1454077 9:5.118787 10:-4.643088 11:5.0095334 12:-4.9302273 13:4.4029894 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:219.34296 2:1.3113952 3:7.959519 4:-4.219422 5:5.58375 6:-4.606799 7:5.267014 8:-5.1454077 9:5.118787 10:-4.643088 11:5.0095334 12:-4.9302273 13:4.4029894 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:204.73091 2:0.9631452 3:7.624938 4:-2.078794 5:5.614314 6:-3.4964807 7:3.3086796 8:-3.9736176 9:5.1990047 10:-6.6205883 11:2.9955394 12:-5.5987277 13:3.9856293 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:204.73091 2:0.9631452 3:7.624938 4:-2.078794 5:5.614314 6:-3.4964807 7:3.3086796 8:-3.9736176 9:5.1990047 10:-6.6205883 11:2.9955394 12:-5.5987277 13:3.9856293 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:199.04672 2:0.33253303 3:8.07595 4:-1.9834934 5:6.3671064 6:-3.3947375 7:3.7438838 8:-3.0600033 9:6.405259 10:-3.1110842 11:3.607884 12:-3.3408673 13:6.211522 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:199.04672 2:0.33253303 3:8.07595 4:-1.9834934 5:6.3671064 6:-3.3947375 7:3.7438838 8:-3.0600033 9:6.405259 10:-3.1110842 11:3.607884 12:-3.3408673 13:6.211522 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:198.18974 2:-1.0719388 3:4.8517394 4:-1.2973747 5:3.440523 6:-3.6685843 7:-0.8251782 8:-3.9139278 9:3.6285563 10:-3.0939126 11:3.2210557 12:-3.587802 13:5.2398663 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:198.18974 2:-1.0719388 3:4.8517394 4:-1.2973747 5:3.440523 6:-3.6685843 7:-0.8251782 8:-3.9139278 9:3.6285563 10:-3.0939126 11:3.2210557 12:-3.587802 13:5.2398663 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:202.56265 2:0.46338198 3:3.979063 4:-3.6747327 5:4.146232 6:-1.0517908 7:5.004895 8:-2.554386 9:3.1308246 10:-2.7443118 11:2.299816 12:-2.591623 13:2.4101756 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:202.56265 2:0.46338198 3:3.979063 4:-3.6747327 5:4.146232 6:-1.0517908 7:5.004895 8:-2.554386 9:3.1308246 10:-2.7443118 11:2.299816 12:-2.591623 13:2.4101756 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:201.83371 2:0.32351395 3:3.3873103 4:-0.6516797 5:4.973317 6:-0.7312592 7:-0.11581315 8:-3.979106 9:2.54298 10:-2.2335079 11:3.1071997 12:-5.1965084 13:1.570031 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:201.83371 2:0.32351395 3:3.3873103 4:-0.6516797 5:4.973317 6:-0.7312592 7:-0.11581315 8:-3.979106 9:2.54298 10:-2.2335079 11:3.1071997 12:-5.1965084 13:1.570031 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:197.91287 2:2.6464334 3:8.060011 4:2.155832 5:6.8647814 6:2.4862487 7:0.07823179 8:-3.2366133 9:1.7281812 10:-4.1515956 11:2.2632544 12:-2.3516912 13:4.7448545 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
