2 1:116.14984 2:0.68604153 3:1.5554073 4:-3.791395 5:1.8333696 6:-3.077947 7:-2.499664 8:-5.6528153 9:1.4396085 10:-3.0859969 11:1.5498748 12:-3.267871 13:0.3245595 14:116.14984 15:0.68604153 16:1.5554073 17:-3.791395 18:1.8333696 19:-3.077947 20:-2.499664 21:-5.6528153 22:1.4396085 23:-3.0859969 24:1.5498748 25:-3.267871 26:0.3245595 
2 1:270.88596 2:18.457668 3:7.4094257 4:-2.636903 5:5.058709 6:-4.420469 7:4.213212 8:-4.440822 9:4.817361 10:-3.787649 11:4.6015787 12:-4.291686 13:4.893583 14:270.88596 15:18.457668 16:7.4094257 17:-2.636903 18:5.058709 19:-4.420469 20:4.213212 21:-4.440822 22:4.817361 23:-3.787649 24:4.6015787 25:-4.291686 26:4.893583 
2 1:291.13336 2:18.307665 3:8.935311 4:-2.8245955 5:6.194356 6:-4.838904 7:4.9818406 8:-4.8550096 9:5.561896 10:-4.181929 11:5.072723 12:-4.680475 13:5.282325 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:291.13336 2:18.307665 3:8.935311 4:-2.8245955 5:6.194356 6:-4.838904 7:4.9818406 8:-4.8550096 9:5.561896 10:-4.181929 11:5.072723 12:-4.680475 13:5.282325 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:233.8935 2:1.9623635 3:7.665237 4:-3.8830483 5:5.455191 6:-4.53883 7:4.487905 8:-4.4947186 9:5.0391088 10:-3.8983696 11:4.5242314 12:-4.4964547 13:4.7270355 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:233.8935 2:1.9623635 3:7.665237 4:-3.8830483 5:5.455191 6:-4.53883 7:4.487905 8:-4.4947186 9:5.0391088 10:-3.8983696 11:4.5242314 12:-4.4964547 13:4.7270355 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:180.5206 2:3.9952035 3:10.9864645 4:-3.9520133 5:7.7460895 6:-4.6936436 7:6.759728 8:-4.314664 9:6.0162973 10:-4.550439 11:5.440454 12:-5.926623 13:5.399769 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:180.5206 2:3.9952035 3:10.9864645 4:-3.9520133 5:7.7460895 6:-4.6936436 7:6.759728 8:-4.314664 9:6.0162973 10:-4.550439 11:5.440454 12:-5.926623 13:5.399769 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:170.42513 2:8.301052 3:10.717186 4:-1.648283 5:7.9115233 6:-5.2447443 7:3.3563392 8:-5.368733 9:4.0966964 10:-7.907284 11:5.968582 12:-6.025603 13:4.3469405 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:170.42513 2:8.301052 3:10.717186 4:-1.648283 5:7.9115233 6:-5.2447443 7:3.3563392 8:-5.368733 9:4.0966964 10:-7.907284 11:5.968582 12:-6.025603 13:4.3469405 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
2 1:164.57846 2:6.780974 3:12.33471 4:-0.51324236 5:6.9525986 6:-6.8371286 7:3.1971138 8:-2.4897306 9:4.4882574 10:-6.2590814 11:3.8632545 12:-5.683929 13:2.5216684 14:99.93923 15:4.0375957 16:1.98839 17:-2.0228205 18:1.4283217 19:-0.8963252 20:-0.14555253 21:-2.710522 22:1.1888924 23:0.26700062 24:1.1553328 25:-1.2375323 26:1.6794224 
