2 1:121.6866 2:-3.3707094 3:-3.8040156 4:-7.3154945 5:0.5953118 6:0.4911739 7:3.2846062 8:-5.3932443 9:5.4163833 10:1.3315514 11:2.01003 12:-3.1745431 13:2.9393976 14:121.6866 15:-3.3707094 16:-3.8040156 17:-7.3154945 18:0.5953118 19:0.4911739 20:3.2846062 21:-5.3932443 22:5.4163833 23:1.3315514 24:2.01003 25:-3.1745431 26:2.9393976 
2 1:283.37338 2:19.94214 3:6.0947247 4:-3.1127932 5:4.36771 6:-4.7867618 7:4.3523636 8:-4.7160864 9:5.1764607 10:-4.110047 11:4.7503905 12:-4.821212 13:5.031589 14:283.37338 15:19.94214 16:6.0947247 17:-3.1127932 18:4.36771 19:-4.7867618 20:4.3523636 21:-4.7160864 22:5.1764607 23:-4.110047 24:4.7503905 25:-4.821212 26:5.031589 
2 1:294.52484 2:18.6849 3:8.221734 4:-3.526661 5:5.363991 6:-4.846234 7:4.932473 8:-4.6220994 9:5.6650734 10:-4.086222 11:5.0343804 12:-4.842752 13:5.3175673 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:294.52484 2:18.6849 3:8.221734 4:-3.526661 5:5.363991 6:-4.846234 7:4.932473 8:-4.6220994 9:5.6650734 10:-4.086222 11:5.0343804 12:-4.842752 13:5.3175673 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:229.18 2:1.7483582 3:7.5111494 4:-4.338347 5:5.2593374 6:-4.9416866 7:4.2170324 8:-5.099751 9:4.6351843 10:-4.626625 11:4.0036063 12:-5.106398 13:4.4418015 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:229.18 2:1.7483582 3:7.5111494 4:-4.338347 5:5.2593374 6:-4.9416866 7:4.2170324 8:-5.099751 9:4.6351843 10:-4.626625 11:4.0036063 12:-5.106398 13:4.4418015 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:181.24219 2:11.369881 3:12.915284 4:-4.6267276 5:7.326558 6:-6.018533 7:3.4829168 8:-6.336104 9:6.6368394 10:-4.2226806 11:5.446285 12:-6.244229 13:7.541492 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:181.24219 2:11.369881 3:12.915284 4:-4.6267276 5:7.326558 6:-6.018533 7:3.4829168 8:-6.336104 9:6.6368394 10:-4.2226806 11:5.446285 12:-6.244229 13:7.541492 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:173.10658 2:11.5307455 3:11.626074 4:-4.089839 5:6.511408 6:-5.060832 7:3.8345482 8:-3.7616751 9:8.384874 10:-5.3399014 11:3.2421396 12:-7.3324947 13:5.450052 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:173.10658 2:11.5307455 3:11.626074 4:-4.089839 5:6.511408 6:-5.060832 7:3.8345482 8:-3.7616751 9:8.384874 10:-5.3399014 11:3.2421396 12:-7.3324947 13:5.450052 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:171.4932 2:10.328298 3:14.456366 4:0.0044070543 5:5.0325336 6:-3.2596052 7:6.140832 8:-5.694969 9:4.951729 10:-5.05801 11:2.8581262 12:-5.2886434 13:3.6457264 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:171.4932 2:10.328298 3:14.456366 4:0.0044070543 5:5.0325336 6:-3.2596052 7:6.140832 8:-5.694969 9:4.951729 10:-5.05801 11:2.8581262 12:-5.2886434 13:3.6457264 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:167.31816 2:11.810501 3:12.35926 4:-0.55782104 5:9.33433 6:-3.0136495 7:2.865659 8:-3.8472295 9:3.1192017 10:-2.2171092 11:6.4093547 12:-5.051987 13:4.1217394 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:167.31816 2:11.810501 3:12.35926 4:-0.55782104 5:9.33433 6:-3.0136495 7:2.865659 8:-3.8472295 9:3.1192017 10:-2.2171092 11:6.4093547 12:-5.051987 13:4.1217394 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:157.553 2:10.196455 3:6.8617587 4:-3.5633438 5:7.142365 6:-1.0753714 7:2.484288 8:-3.8622913 9:4.856725 10:-2.487724 11:4.370694 12:-2.4317522 13:5.1115546 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:157.553 2:10.196455 3:6.8617587 4:-3.5633438 5:7.142365 6:-1.0753714 7:2.484288 8:-3.8622913 9:4.856725 10:-2.487724 11:4.370694 12:-2.4317522 13:5.1115546 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:161.00192 2:11.671519 3:10.645056 4:-2.3348248 5:6.106794 6:-0.8834601 7:4.687314 8:-3.6772962 9:-0.070289776 10:-5.569747 11:2.8218613 12:-3.534008 13:5.297879 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:161.00192 2:11.671519 3:10.645056 4:-2.3348248 5:6.106794 6:-0.8834601 7:4.687314 8:-3.6772962 9:-0.070289776 10:-5.569747 11:2.8218613 12:-3.534008 13:5.297879 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:161.1299 2:5.721712 3:11.555 4:3.0050905 5:2.5637753 6:-4.2703524 7:3.0637972 8:-7.916883 9:4.0166287 10:-0.34012023 11:4.188823 12:-4.557512 13:2.3583703 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:161.1299 2:5.721712 3:11.555 4:3.0050905 5:2.5637753 6:-4.2703524 7:3.0637972 8:-7.916883 9:4.0166287 10:-0.34012023 11:4.188823 12:-4.557512 13:2.3583703 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:208.87971 2:0.80343974 3:14.223587 4:0.60540783 5:-3.6094973 6:-8.018277 7:4.8793736 8:-6.9072914 9:-0.19982776 10:2.5775638 11:0.5362031 12:-4.062903 13:1.9211067 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:208.87971 2:0.80343974 3:14.223587 4:0.60540783 5:-3.6094973 6:-8.018277 7:4.8793736 8:-6.9072914 9:-0.19982776 10:2.5775638 11:0.5362031 12:-4.062903 13:1.9211067 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:224.9605 2:7.5261264 3:15.67304 4:2.6673934 5:-2.8745253 6:-11.026821 7:5.0645485 8:-7.6439 9:-1.5323234 10:1.1412969 11:3.3365724 12:-3.5271106 13:4.1777678 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:224.9605 2:7.5261264 3:15.67304 4:2.6673934 5:-2.8745253 6:-11.026821 7:5.0645485 8:-7.6439 9:-1.5323234 10:1.1412969 11:3.3365724 12:-3.5271106 13:4.1777678 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:195.1433 2:1.4626608 3:11.657966 4:-1.3949468 5:-2.8226256 6:-7.147708 7:7.9508905 8:-4.896339 9:-2.6830192 10:0.97561806 11:1.6395861 12:-3.6423547 13:3.3074164 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:195.1433 2:1.4626608 3:11.657966 4:-1.3949468 5:-2.8226256 6:-7.147708 7:7.9508905 8:-4.896339 9:-2.6830192 10:0.97561806 11:1.6395861 12:-3.6423547 13:3.3074164 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:201.82721 2:-0.8595527 3:15.940426 4:0.8821435 5:-5.0433006 6:-7.0721498 7:4.9330864 8:-7.573249 9:0.24774323 10:3.6038864 11:2.7455714 12:-2.1335974 13:5.231296 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:201.82721 2:-0.8595527 3:15.940426 4:0.8821435 5:-5.0433006 6:-7.0721498 7:4.9330864 8:-7.573249 9:0.24774323 10:3.6038864 11:2.7455714 12:-2.1335974 13:5.231296 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:174.54771 2:1.3687268 3:11.209399 4:1.3134778 5:2.781371 6:-5.9346466 7:5.4764276 8:-2.5375922 9:1.8150709 10:0.4753991 11:2.134638 12:-1.9988112 13:2.740264 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:174.54771 2:1.3687268 3:11.209399 4:1.3134778 5:2.781371 6:-5.9346466 7:5.4764276 8:-2.5375922 9:1.8150709 10:0.4753991 11:2.134638 12:-1.9988112 13:2.740264 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:158.10522 2:4.5649514 3:7.0253158 4:-1.7819942 5:-0.37864295 6:-4.602421 7:1.7989305 8:-2.9121802 9:4.958819 10:-0.5100426 11:4.889047 12:-5.4952455 13:3.5425463 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
2 1:158.10522 2:4.5649514 3:7.0253158 4:-1.7819942 5:-0.37864295 6:-4.602421 7:1.7989305 8:-2.9121802 9:4.958819 10:-0.5100426 11:4.889047 12:-5.4952455 13:3.5425463 14:95.644684 15:4.237386 16:3.3002605 17:-1.3493515 18:1.7587891 19:-0.7465384 20:-0.35917655 21:-2.6201875 22:1.145906 23:-0.6400635 24:0.76909524 25:-0.3234188 26:1.164639 
