2 1:21.317427 2:5.580327 3:4.1920314 4:-0.6764958 5:4.91335 6:-5.8377347 7:1.7415069 8:-2.40193 9:3.6942573 10:-2.5012848 11:2.336616 12:-2.646821 13:2.7846363 14:21.317427 15:5.580327 16:4.1920314 17:-0.6764958 18:4.91335 19:-5.8377347 20:1.7415069 21:-2.40193 22:3.6942573 23:-2.5012848 24:2.336616 25:-2.646821 26:2.7846363 
2 1:332.0832 2:7.269141 3:3.7012973 4:-1.040195 5:3.0444467 6:-2.5272448 7:2.617982 8:-3.0153673 9:3.516387 10:-2.774926 11:3.3121972 12:-3.4878361 13:3.8696375 14:332.0832 15:7.269141 16:3.7012973 17:-1.040195 18:3.0444467 19:-2.5272448 20:2.617982 21:-3.0153673 22:3.516387 23:-2.774926 24:3.3121972 25:-3.4878361 26:3.8696375 
2 1:324.61407 2:5.3532333 3:6.4941816 4:-1.8177745 5:4.3983736 6:-2.780642 7:3.2447731 8:-2.9738162 9:3.7331676 10:-2.5581656 11:3.306773 12:-3.1379833 13:3.751501 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:324.61407 2:5.3532333 3:6.4941816 4:-1.8177745 5:4.3983736 6:-2.780642 7:3.2447731 8:-2.9738162 9:3.7331676 10:-2.5581656 11:3.306773 12:-3.1379833 13:3.751501 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:202.49944 2:-1.311647 3:9.911444 4:-2.8395913 5:4.0202837 6:-5.681361 7:2.9512303 8:-6.5598598 9:4.3625665 10:-5.341229 11:4.9672313 12:-5.324705 13:6.0496087 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:202.49944 2:-1.311647 3:9.911444 4:-2.8395913 5:4.0202837 6:-5.681361 7:2.9512303 8:-6.5598598 9:4.3625665 10:-5.341229 11:4.9672313 12:-5.324705 13:6.0496087 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:201.52533 2:-2.4053688 3:6.84118 4:-2.0814054 5:6.134775 6:-3.4543233 7:4.100203 8:-2.9724436 9:3.8345122 10:-3.4166825 11:2.8308537 12:-4.382429 13:6.1246963 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:201.52533 2:-2.4053688 3:6.84118 4:-2.0814054 5:6.134775 6:-3.4543233 7:4.100203 8:-2.9724436 9:3.8345122 10:-3.4166825 11:2.8308537 12:-4.382429 13:6.1246963 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:198.20583 2:-2.5338318 3:6.9393663 4:0.8898126 5:1.9657912 6:-3.9552867 7:3.3658907 8:-5.6541166 9:2.2337174 10:-3.5462208 11:4.7889843 12:-5.081047 13:4.4057717 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:198.20583 2:-2.5338318 3:6.9393663 4:0.8898126 5:1.9657912 6:-3.9552867 7:3.3658907 8:-5.6541166 9:2.2337174 10:-3.5462208 11:4.7889843 12:-5.081047 13:4.4057717 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:195.82039 2:-1.2633834 3:4.3750734 4:0.8578365 5:2.181933 6:-4.820337 7:2.4479678 8:-6.4303036 9:-0.29746917 10:-4.9979057 11:4.018891 12:-4.3185015 13:3.2112494 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:195.82039 2:-1.2633834 3:4.3750734 4:0.8578365 5:2.181933 6:-4.820337 7:2.4479678 8:-6.4303036 9:-0.29746917 10:-4.9979057 11:4.018891 12:-4.3185015 13:3.2112494 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:202.16844 2:2.5099978 3:4.5195293 4:-0.19599982 5:3.1965208 6:0.061924867 7:2.7250266 8:-2.5917645 9:3.576271 10:-2.4812126 11:1.7889727 12:-2.741025 13:3.2335024 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:202.16844 2:2.5099978 3:4.5195293 4:-0.19599982 5:3.1965208 6:0.061924867 7:2.7250266 8:-2.5917645 9:3.576271 10:-2.4812126 11:1.7889727 12:-2.741025 13:3.2335024 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:199.76762 2:3.7800133 3:4.020428 4:-4.1490655 5:1.9456502 6:-3.9447365 7:3.61232 8:-1.3311714 9:4.8547273 10:-0.7079032 11:4.256367 12:-0.62104017 13:2.0782607 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:199.76762 2:3.7800133 3:4.020428 4:-4.1490655 5:1.9456502 6:-3.9447365 7:3.61232 8:-1.3311714 9:4.8547273 10:-0.7079032 11:4.256367 12:-0.62104017 13:2.0782607 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:197.54634 2:0.75996363 3:3.8848162 4:-0.116073966 5:4.1046147 6:-3.5018473 7:1.7537829 8:-0.9984815 9:3.36269 10:-0.88627744 11:3.2817788 12:-3.0222642 13:4.677291 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:197.54634 2:0.75996363 3:3.8848162 4:-0.116073966 5:4.1046147 6:-3.5018473 7:1.7537829 8:-0.9984815 9:3.36269 10:-0.88627744 11:3.2817788 12:-3.0222642 13:4.677291 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
2 1:199.27478 2:3.0577915 3:5.0942464 4:-3.7722745 5:5.0219417 6:0.22262074 7:4.213534 8:-3.0702674 9:1.7139999 10:-1.0870938 11:-0.19498037 12:-4.2868443 13:3.6197264 14:98.64154 15:6.245104 16:2.4271157 17:-2.5172696 18:0.6976211 19:-0.8424198 20:2.0980222 21:-2.5144963 22:-0.36000797 23:-0.88828444 24:1.792621 25:-1.4192404 26:2.2707624 
