2 1:97.57179 2:-11.088934 3:-0.71304595 4:-4.3210807 5:-6.1498275 6:-5.819136 7:-0.37998363 8:2.6465518 9:1.7784336 10:-2.2328677 11:1.2281823 12:-1.062346 13:4.5998588 14:97.57179 15:-11.088934 16:-0.71304595 17:-4.3210807 18:-6.1498275 19:-5.819136 20:-0.37998363 21:2.6465518 22:1.7784336 23:-2.2328677 24:1.2281823 25:-1.062346 26:4.5998588 
2 1:323.3938 2:7.0281844 3:4.8482203 4:-1.0804474 5:3.6505294 6:-2.558695 7:2.9326735 8:-2.8968034 9:3.64647 10:-2.7088628 11:3.403439 12:-3.3714743 13:3.829866 14:323.3938 15:7.0281844 16:4.8482203 17:-1.0804474 18:3.6505294 19:-2.558695 20:2.9326735 21:-2.8968034 22:3.64647 23:-2.7088628 24:3.403439 25:-3.3714743 26:3.829866 
2 1:258.53677 2:3.3686292 3:7.905059 4:-3.1588452 5:6.0446243 6:-2.9221222 7:4.944207 8:-4.0216665 9:4.127923 10:-2.6282523 11:4.011329 12:-4.0007763 13:4.5556774 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:258.53677 2:3.3686292 3:7.905059 4:-3.1588452 5:6.0446243 6:-2.9221222 7:4.944207 8:-4.0216665 9:4.127923 10:-2.6282523 11:4.011329 12:-4.0007763 13:4.5556774 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:236.6377 2:-10.945203 3:-2.9475005 4:-1.764197 5:8.901604 6:-1.9419982 7:2.8104537 8:-4.003575 9:1.4963155 10:-2.0544066 11:3.1512036 12:-4.8076034 13:3.8466501 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:236.6377 2:-10.945203 3:-2.9475005 4:-1.764197 5:8.901604 6:-1.9419982 7:2.8104537 8:-4.003575 9:1.4963155 10:-2.0544066 11:3.1512036 12:-4.8076034 13:3.8466501 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:280.72137 2:-9.636484 3:2.5502324 4:-7.406806 5:5.224051 6:0.4898535 7:-6.5082517 8:0.4836811 9:0.819584 10:-3.4801157 11:3.0201683 12:-2.5528984 13:3.1260614 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:280.72137 2:-9.636484 3:2.5502324 4:-7.406806 5:5.224051 6:0.4898535 7:-6.5082517 8:0.4836811 9:0.819584 10:-3.4801157 11:3.0201683 12:-2.5528984 13:3.1260614 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:284.81796 2:-4.2787027 3:4.7681217 4:-8.782216 5:6.1488857 6:2.4485266 7:-11.331896 8:3.4750617 9:0.3222357 10:-5.5556636 11:5.6469593 12:-1.9935985 13:3.812937 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:284.81796 2:-4.2787027 3:4.7681217 4:-8.782216 5:6.1488857 6:2.4485266 7:-11.331896 8:3.4750617 9:0.3222357 10:-5.5556636 11:5.6469593 12:-1.9935985 13:3.812937 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.51237 2:-5.706128 3:9.380122 4:-0.87599605 5:5.7407007 6:-1.8409234 7:-5.277207 8:1.5128192 9:-1.3600211 10:-0.18977371 11:7.410351 12:-4.61084 13:3.7940128 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:215.51237 2:-5.706128 3:9.380122 4:-0.87599605 5:5.7407007 6:-1.8409234 7:-5.277207 8:1.5128192 9:-1.3600211 10:-0.18977371 11:7.410351 12:-4.61084 13:3.7940128 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:213.27156 2:-4.787998 3:6.063707 4:-1.1576045 5:6.71204 6:-2.1358438 7:-2.5653193 8:2.0060463 9:0.7653329 10:1.4128006 11:2.0879786 12:-4.9958706 13:3.2842011 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:213.27156 2:-4.787998 3:6.063707 4:-1.1576045 5:6.71204 6:-2.1358438 7:-2.5653193 8:2.0060463 9:0.7653329 10:1.4128006 11:2.0879786 12:-4.9958706 13:3.2842011 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:206.50548 2:-5.9771333 3:3.9836464 4:-1.4199064 5:3.840454 6:-0.9489614 7:1.525709 8:3.3565192 9:1.2623999 10:-0.6235569 11:3.4398496 12:-0.29254228 13:4.013217 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:206.50548 2:-5.9771333 3:3.9836464 4:-1.4199064 5:3.840454 6:-0.9489614 7:1.525709 8:3.3565192 9:1.2623999 10:-0.6235569 11:3.4398496 12:-0.29254228 13:4.013217 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:230.19388 2:3.4070277 3:6.385973 4:-0.9026698 5:1.2209704 6:-6.945773 7:-0.10469019 8:0.36116225 9:-0.59129006 10:-1.221157 11:2.460344 12:-3.748592 13:3.8145914 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:230.19388 2:3.4070277 3:6.385973 4:-0.9026698 5:1.2209704 6:-6.945773 7:-0.10469019 8:0.36116225 9:-0.59129006 10:-1.221157 11:2.460344 12:-3.748592 13:3.8145914 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
2 1:242.36676 2:3.3322394 3:9.826875 4:0.5202399 5:0.7427714 6:-9.90207 7:0.75725794 8:1.8746024 9:-1.5205685 10:0.20422176 11:2.3612585 12:-0.88704336 13:3.3820662 14:92.47928 15:6.585312 16:1.5166448 17:-1.1206946 18:1.8732375 19:-0.76379794 20:-0.20922601 21:-2.2705266 22:2.0091133 23:-1.3765205 24:1.5894923 25:-1.9000301 26:1.6774464 
