2 1:158.17883 2:0.37518674 3:1.6982355 4:-4.576416 5:-0.5303827 6:-6.5595865 7:-0.82598805 8:0.57281935 9:5.4010935 10:-2.8807096 11:2.0324068 12:-3.028811 13:3.5552306 14:158.17883 15:0.37518674 16:1.6982355 17:-4.576416 18:-0.5303827 19:-6.5595865 20:-0.82598805 21:0.57281935 22:5.4010935 23:-2.8807096 24:2.0324068 25:-3.028811 26:3.5552306 
2 1:229.33629 2:5.2515917 3:4.871829 4:-6.2621737 5:0.65545684 6:-1.4312556 7:5.0565457 8:-1.5414964 9:4.036011 10:-2.064884 11:3.4825342 12:-0.69121253 13:3.9577243 14:229.33629 15:5.2515917 16:4.871829 17:-6.2621737 18:0.65545684 19:-1.4312556 20:5.0565457 21:-1.5414964 22:4.036011 23:-2.064884 24:3.4825342 25:-0.69121253 26:3.9577243 
2 1:229.09265 2:5.580979 3:3.191937 4:-3.9605045 5:0.37290666 6:-3.587548 7:5.2039204 8:-2.9437737 9:1.856421 10:-3.009608 11:3.8820822 12:-4.012126 13:1.0137075 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.61688 2:4.575485 3:2.492746 4:-3.1589026 5:2.2162454 6:-2.1589742 7:4.9034247 8:-2.2535717 9:2.839142 10:-2.4156039 11:3.1370764 12:-4.117308 13:3.137078 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.98155 2:3.001477 3:1.4494466 4:-4.7148743 5:0.049058005 6:-4.67416 7:3.3971481 8:-2.1239188 9:3.4247258 10:-2.214828 11:5.2154775 12:-3.7987413 13:3.27217 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.47061 2:4.7977767 3:0.9878355 4:-4.3296103 5:0.40334395 6:-2.559605 7:4.543367 8:-2.6790817 9:2.335687 10:-1.4867806 11:4.998018 12:-3.5786054 13:4.6707006 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.42162 2:0.33102906 3:3.0800245 4:-3.6575127 5:0.44672346 6:-3.317895 7:2.716413 8:-2.757993 9:1.690925 10:-3.0742896 11:3.289762 12:-0.71400976 13:4.844695 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:226.8015 2:1.6093493 3:4.1788716 4:-2.2384489 5:1.8836651 6:-2.5831747 7:2.3055124 8:-2.7020783 9:1.9924753 10:-3.083773 11:2.8198762 12:-1.8852991 13:6.367122 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.74654 2:4.7389174 3:2.4393165 4:-5.102137 5:2.2399094 6:-1.5195442 7:7.3241925 8:-0.21263897 9:5.1664214 10:2.0136874 11:5.0878973 12:-2.6670377 13:4.696294 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:232.9134 2:4.2643514 3:2.5727062 4:-4.767705 5:1.7717403 6:-1.5698427 7:7.063673 8:-1.2262503 9:4.346315 10:0.48481873 11:4.6040974 12:-2.7832856 13:3.747046 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.9072 2:2.24702 3:1.4610065 4:-4.8973937 5:2.6623654 6:-1.0670787 7:5.9053206 8:0.051750753 9:3.5828912 10:-2.3091035 11:3.0300417 12:-1.8977325 13:4.197511 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
