2 1:122.254395 2:2.3326695 3:1.0177697 4:-6.48431 5:-0.8954452 6:-1.5302441 7:3.7866259 8:-3.9818523 9:2.1585963 10:-2.200664 11:4.031878 12:-3.2109165 13:2.3027155 14:122.254395 15:2.3326695 16:1.0177697 17:-6.48431 18:-0.8954452 19:-1.5302441 20:3.7866259 21:-3.9818523 22:2.1585963 23:-2.200664 24:4.031878 25:-3.2109165 26:2.3027155 
2 1:229.32608 2:4.9668365 3:1.8413974 4:-5.1842694 5:2.8013928 6:-4.134011 7:2.660957 8:-1.878697 9:1.4971626 10:-3.9553077 11:2.9440324 12:-2.54785 13:4.233339 14:229.32608 15:4.9668365 16:1.8413974 17:-5.1842694 18:2.8013928 19:-4.134011 20:2.660957 21:-1.878697 22:1.4971626 23:-3.9553077 24:2.9440324 25:-2.54785 26:4.233339 
2 1:230.78319 2:4.245994 3:1.1745466 4:-5.967616 5:0.10486724 6:-5.3166714 7:4.830245 8:-1.773667 9:1.705825 10:-3.0691082 11:1.8457266 12:-4.1458993 13:3.0712662 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:232.76135 2:6.0341926 3:3.119746 4:-4.8683295 5:1.2445365 6:-3.6633673 7:3.5983984 8:-2.7605844 9:2.4870307 10:-2.6410758 11:3.576514 12:-2.7130823 13:3.335975 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:228.90205 2:2.9091234 3:2.6474795 4:-5.918735 5:1.9141264 6:-2.0583143 7:3.8433905 8:-1.5897912 9:1.7923316 10:-1.2719532 11:2.950796 12:-4.0986724 13:2.9584727 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.90858 2:2.022677 3:1.1997762 4:-6.8921165 5:3.3631816 6:-1.1357186 7:5.3972955 8:0.22728613 9:2.4434903 10:-1.7010436 11:4.466834 12:-3.1693847 13:3.3622696 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:230.87059 2:4.205493 3:3.9719508 4:-3.7147474 5:2.4444776 6:-2.3867502 7:4.865106 8:-3.837013 9:1.1510023 10:-2.395597 11:3.4123106 12:-1.8000348 13:2.0337937 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.29643 2:2.7398932 3:0.18162574 4:-5.255975 5:0.28586924 6:-2.9048598 7:4.364004 8:-2.6288528 9:1.6085453 10:-1.9319829 11:3.7230904 12:-3.0859556 13:1.9416267 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:232.65189 2:3.4757953 3:2.6159072 4:-2.4673376 5:2.0291288 6:-4.2237697 7:1.958363 8:-3.2423534 9:2.8382967 10:-1.2548326 11:5.261531 12:-2.4153802 13:1.4057591 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.85925 2:2.0229237 3:2.7248487 4:-4.5415316 5:0.61118025 6:-4.854829 7:0.62899506 8:-2.362347 9:2.1878948 10:-1.5647402 11:4.675902 12:-1.213099 13:2.3740015 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:234.13577 2:2.869651 3:4.176166 4:-5.895812 5:-0.33454564 6:-2.3809428 7:4.349052 8:-2.3113632 9:1.0282437 10:-1.8906298 11:4.1100144 12:-1.6128536 13:2.1503842 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.4408 2:2.02327 3:1.937203 4:-5.2868166 5:1.8061022 6:-0.9231461 7:5.533745 8:-1.1890339 9:1.7232985 10:-1.1784422 11:2.63569 12:-2.0890234 13:3.3915153 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:228.27692 2:0.2513913 3:0.9376493 4:-6.765728 5:0.77873343 6:-1.7387457 7:2.9730961 8:-1.4189113 9:4.787165 10:1.1062183 11:4.57668 12:-1.0659107 13:4.8402586 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:231.94682 2:4.179437 3:4.1748204 4:-3.8210068 5:1.0689809 6:-4.0082684 7:3.0539258 8:-2.3157978 9:3.5203784 10:-1.1737081 11:4.5772753 12:-1.2260125 13:4.9429216 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:230.55643 2:2.2397532 3:3.5211048 4:-1.7588322 5:3.597615 6:-0.8444986 7:4.931132 8:-3.73923 9:2.179763 10:-2.9669657 11:3.7407029 12:-1.9529669 13:4.129174 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:233.0562 2:2.08806 3:1.2679296 4:-6.0537543 5:1.0203887 6:-2.205139 7:5.2606406 8:-1.2396458 9:2.2856786 10:-2.2236488 11:3.209345 12:-2.4542968 13:3.6834643 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
