1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:153.23878 2:5.4892163 3:4.86731 4:-2.4525921 5:2.3177147 6:-1.6814207 7:3.036919 8:-1.955745 9:-0.8097488 10:-6.0466065 11:2.6544693 12:-5.176528 13:4.4280214 14:153.23878 15:5.4892163 16:4.86731 17:-2.4525921 18:2.3177147 19:-1.6814207 20:3.036919 21:-1.955745 22:-0.8097488 23:-6.0466065 24:2.6544693 25:-5.176528 26:4.4280214 
1 1:195.57535 2:8.33218 3:6.43098 4:0.2219757 5:7.5390778 6:-3.445127 7:1.3929424 8:-3.6033745 9:3.3299763 10:-4.3028584 11:1.3792982 12:-5.1796865 13:0.39682272 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:195.57535 2:8.33218 3:6.43098 4:0.2219757 5:7.5390778 6:-3.445127 7:1.3929424 8:-3.6033745 9:3.3299763 10:-4.3028584 11:1.3792982 12:-5.1796865 13:0.39682272 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:195.44983 2:7.3933535 3:7.987485 4:1.7955627 5:7.002462 6:-1.699803 7:2.1965275 8:-3.0733795 9:4.305653 10:-5.269723 11:1.5263424 12:-4.2891874 13:4.2605114 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:195.44983 2:7.3933535 3:7.987485 4:1.7955627 5:7.002462 6:-1.699803 7:2.1965275 8:-3.0733795 9:4.305653 10:-5.269723 11:1.5263424 12:-4.2891874 13:4.2605114 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:193.65709 2:12.172367 3:7.086727 4:-0.065255664 5:5.7475863 6:-2.6445775 7:2.7957392 8:-3.089811 9:4.960353 10:-4.3548365 11:3.8482606 12:-4.9914804 13:2.4248397 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:193.65709 2:12.172367 3:7.086727 4:-0.065255664 5:5.7475863 6:-2.6445775 7:2.7957392 8:-3.089811 9:4.960353 10:-4.3548365 11:3.8482606 12:-4.9914804 13:2.4248397 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:198.54938 2:6.884646 3:4.2760105 4:-0.15167014 5:5.235939 6:-4.1138797 7:1.7858222 8:-1.9210749 9:2.4350622 10:-1.126102 11:1.8517435 12:-2.7728992 13:5.5106316 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:198.54938 2:6.884646 3:4.2760105 4:-0.15167014 5:5.235939 6:-4.1138797 7:1.7858222 8:-1.9210749 9:2.4350622 10:-1.126102 11:1.8517435 12:-2.7728992 13:5.5106316 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
1 1:191.64903 2:6.3622055 3:5.9524794 4:-0.3856035 5:7.577176 6:-0.8435399 7:0.77092695 8:-2.905708 9:5.749885 10:-1.0838857 11:3.7366881 12:-2.1650076 13:2.946486 14:87.95109 15:5.280229 16:1.8015523 17:-0.17816584 18:2.2184727 19:0.26430365 20:0.22903867 21:-2.9051287 22:0.68064535 23:-1.2971762 24:2.041551 25:-1.8073869 26:1.5547782 
