1 1:170.61647 2:5.307206 3:2.4854655 4:-3.9830635 5:2.7198162 6:-2.7368543 7:2.410269 8:-6.3038797 9:2.2969427 10:0.16744111 11:0.52024376 12:-2.2087529 13:4.753905 14:170.61647 15:5.307206 16:2.4854655 17:-3.9830635 18:2.7198162 19:-2.7368543 20:2.410269 21:-6.3038797 22:2.2969427 23:0.16744111 24:0.52024376 25:-2.2087529 26:4.753905 
1 1:228.91666 2:1.7206857 3:2.971661 4:-3.5958664 5:4.1820955 6:-1.1297758 7:3.66421 8:-3.0278132 9:2.6646333 10:-2.5475566 11:2.8441885 12:-1.685421 13:2.7361085 14:228.91666 15:1.7206857 16:2.971661 17:-3.5958664 18:4.1820955 19:-1.1297758 20:3.66421 21:-3.0278132 22:2.6646333 23:-2.5475566 24:2.8441885 25:-1.685421 26:2.7361085 
1 1:234.52191 2:4.6856275 3:2.6854577 4:-3.3158336 5:1.4888421 6:-4.336931 7:6.1649685 8:-1.5743032 9:0.7846958 10:-2.7280016 11:3.2171023 12:-2.0687768 13:3.917143 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:233.40422 2:4.6303115 3:3.0356915 4:-2.75573 5:2.7723422 6:-2.7410002 7:7.1446805 8:-0.60582584 9:1.8520087 10:-3.6473575 11:2.165611 12:-2.4213493 13:3.911311 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:232.19849 2:4.430246 3:3.861406 4:-3.4025295 5:2.6894996 6:-1.1882898 7:6.910373 8:-1.0068495 9:4.03278 10:-3.9050174 11:1.8863337 12:-3.3511288 13:2.531468 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:233.214 2:3.1344094 3:1.0026963 4:-4.2514133 5:2.3625653 6:-1.3072416 7:4.8352165 8:-0.59645325 9:3.2798853 10:-4.1919913 11:3.0030918 12:-2.6916072 13:2.1327841 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:226.71434 2:4.4055295 3:3.6324704 4:-0.39498866 5:6.174898 6:-1.4896544 7:3.4174392 8:-4.7514677 9:0.9741746 10:-3.8269455 11:3.4643135 12:-0.81853455 13:4.504889 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:224.59421 2:2.6019466 3:3.850837 4:-0.09114796 5:4.551282 6:-1.6451869 7:3.8791702 8:-3.9447305 9:2.7613385 10:0.80440056 11:5.3937073 12:-1.3792952 13:3.3602138 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:230.48224 2:5.8461514 3:2.738667 4:-3.6454246 5:1.41017 6:-2.8357587 7:4.960971 8:-2.6500812 9:2.4204357 10:-2.0531566 11:4.2844787 12:-2.2761898 13:5.2515793 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:230.32932 2:4.5448675 3:1.6945364 4:-2.954563 5:2.7651594 6:-2.4638116 7:6.6733003 8:-2.605014 9:1.3421196 10:-2.1759188 11:3.5965042 12:-2.7269595 13:5.7804446 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
1 1:228.57353 2:2.2826207 3:0.3748561 4:-2.6914573 5:2.5864742 6:-3.013382 7:3.9916058 8:-2.5923922 9:2.6700757 10:-1.5420024 11:4.1723676 12:-2.3782413 13:2.730058 14:83.7856 15:7.733995 16:4.4064736 17:-0.2236641 18:2.7470784 19:-2.0588186 20:0.62596655 21:-1.6902918 22:2.0049617 23:-1.1036918 24:1.3550011 25:-1.5176356 26:2.0148141 
