1 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
1 1:229.44489 2:4.9109416 3:5.267423 4:-0.60845715 5:2.9988635 6:-0.3033346 7:3.7835333 8:-2.4091141 9:2.978602 10:-2.2467313 11:4.634478 12:-1.4462063 13:4.737515 14:229.44489 15:4.9109416 16:5.267423 17:-0.60845715 18:2.9988635 19:-0.3033346 20:3.7835333 21:-2.4091141 22:2.978602 23:-2.2467313 24:4.634478 25:-1.4462063 26:4.737515 
1 1:235.86827 2:6.3849244 3:6.397027 4:-2.06809 5:4.640634 6:1.1138535 7:4.5278335 8:-2.8874197 9:4.799631 10:-1.8538518 11:5.130153 12:-0.36538476 13:2.0845788 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:237.60779 2:7.2067175 3:8.321117 4:-1.203759 5:2.5083508 6:-0.5809723 7:5.819747 8:-1.7821928 9:4.3922873 10:-1.7522662 11:5.965157 12:-1.0962356 13:3.9196396 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:235.74635 2:5.657703 3:7.496551 4:-0.30653602 5:3.1758847 6:-2.1266837 7:3.9860926 8:-2.676859 9:3.400981 10:-0.50411856 11:5.5012193 12:-0.8933189 13:5.9227757 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:237.77286 2:6.53876 3:6.6538687 4:-1.38488 5:3.426865 6:-2.1032732 7:5.5328627 8:-2.8659344 9:3.611728 10:-1.0556028 11:6.3823066 12:-0.8550823 13:3.9341698 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:236.1911 2:7.765385 3:6.329941 4:-0.5925304 5:4.142723 6:-1.3624792 7:7.1273513 8:-1.8847476 9:3.5378568 10:-3.5594985 11:4.6644025 12:-1.7831693 13:1.7678822 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:234.40437 2:6.597897 3:6.7677855 4:-1.2934774 5:3.2706342 6:-0.6344678 7:7.582681 8:-1.7883098 9:2.9295182 10:-2.1184323 11:5.652982 12:-3.206855 13:2.44721 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:239.26315 2:9.177194 3:6.736499 4:0.10884711 5:3.1177433 6:-2.6776295 7:6.0182996 8:-0.8434689 9:3.9484558 10:-1.856086 11:3.8875685 12:-4.1441174 13:3.8540597 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:237.61023 2:8.892146 3:9.10156 4:-0.6104883 5:3.6437616 6:-0.85609424 7:6.340896 8:-1.6663958 9:4.3514075 10:-2.1106155 11:4.4494653 12:-3.1841173 13:3.420277 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
1 1:238.04305 2:7.638804 3:7.54133 4:-2.1043873 5:3.026388 6:-1.9053016 7:4.8328886 8:0.6546564 9:5.7108216 10:-2.8326073 11:4.7666106 12:-1.908498 13:2.7431126 14:69.72543 15:0.7218949 16:1.1905619 17:-1.1399986 18:0.59246457 19:-0.12638943 20:2.087891 21:0.11866718 22:1.0566677 23:-0.69934034 24:0.96356 25:-0.96503806 26:0.61114275 
