2 1:126.17824 2:-2.7755747 3:-0.6156965 4:-3.2958324 5:3.073318 6:-3.8012288 7:-0.5634858 8:-4.9741206 9:5.1945205 10:-0.7966796 11:1.4885502 12:-3.5575795 13:3.4649327 14:126.17824 15:-2.7755747 16:-0.6156965 17:-3.2958324 18:3.073318 19:-3.8012288 20:-0.5634858 21:-4.9741206 22:5.1945205 23:-0.7966796 24:1.4885502 25:-3.5575795 26:3.4649327 
2 1:229.36192 2:2.0398552 3:1.1821635 4:-5.1907277 5:3.3138702 6:-2.1202316 7:2.813469 8:-3.208167 9:0.97810405 10:-1.489693 11:4.0219545 12:-2.1602757 13:4.2760687 14:229.36192 15:2.0398552 16:1.1821635 17:-5.1907277 18:3.3138702 19:-2.1202316 20:2.813469 21:-3.208167 22:0.97810405 23:-1.489693 24:4.0219545 25:-2.1602757 26:4.2760687 
2 1:227.15648 2:2.60377 3:4.4778476 4:-4.544347 5:0.43638885 6:-0.75722957 7:5.0128145 8:-1.1000954 9:2.6720748 10:-1.0791644 11:5.2914896 12:-1.6031706 13:2.7924356 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.71233 2:2.7707477 3:2.894568 4:-2.8681276 5:0.18132082 6:-3.984143 7:3.2523563 8:-1.813507 9:4.2438836 10:-1.7275054 11:2.6862345 12:-2.2364767 13:1.8191482 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.28497 2:0.11468432 3:0.39130685 4:-3.2436635 5:1.1362706 6:-2.0222125 7:2.3528545 8:-1.8630389 9:3.6700907 10:-1.888109 11:4.287653 12:-2.6487188 13:3.2231221 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.42973 2:0.1638994 3:2.2119918 4:-2.9561794 5:3.2456937 6:-0.17422333 7:2.8070474 8:-2.5716488 9:1.2873887 10:-4.4858184 11:1.6989746 12:-1.9794815 13:3.7736719 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.53102 2:-0.12830006 3:-0.527995 4:-6.3994412 5:-1.1531123 6:-2.923426 7:2.8853555 8:-0.7757788 9:2.57232 10:-2.48465 11:3.1639025 12:-2.5021522 13:4.7554717 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.99957 2:1.8091979 3:0.8319176 4:-4.6843333 5:0.50439584 6:-2.5713668 7:5.699695 8:0.23153295 9:4.263999 10:-2.9173748 11:2.1937773 12:-1.0213773 13:4.9069953 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:231.30856 2:2.7345855 3:4.8169327 4:-2.5728414 5:2.5937688 6:-2.8701918 7:5.098083 8:-0.32258058 9:2.2397835 10:-1.9220159 11:6.472415 12:-0.8254916 13:3.3062668 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:230.86148 2:2.3838077 3:2.9429302 4:-4.1008797 5:4.0247517 6:-0.14097641 7:5.6821823 8:0.006701478 9:3.8881607 10:-0.24824171 11:5.7534738 12:-1.716524 13:2.294548 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:225.88864 2:3.16256 3:2.2991285 4:-5.094998 5:-1.1225849 6:-3.7536635 7:2.3551152 8:-3.7670746 9:1.5520333 10:-0.48479065 11:5.2871485 12:-1.4336592 13:5.0261397 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.47664 2:2.5513933 3:1.7348658 4:-5.607223 5:-0.24020916 6:-1.7070297 7:3.4134054 8:-5.2459292 9:-0.4059334 10:-2.7104418 11:6.416848 12:0.49711773 13:4.5505815 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:224.65688 2:1.0819383 3:3.3612766 4:-3.568157 5:1.3041856 6:0.31006747 7:2.9425762 8:-3.3070166 9:3.3996096 10:-1.0215917 11:3.6740205 12:-1.7720172 13:4.660427 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:225.56235 2:1.2693571 3:3.2586696 4:-4.08191 5:3.8211777 6:1.844821 7:4.6426754 8:-3.1657598 9:3.2729492 10:-2.0073977 11:3.8877492 12:-2.1781423 13:4.992845 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.55847 2:1.4502128 3:3.1756337 4:-3.037346 5:0.82865053 6:-1.6838795 7:2.0137105 8:-3.6506686 9:3.0263329 10:-2.3730586 11:3.264752 12:-2.6271207 13:4.119077 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.03674 2:3.3069205 3:3.871313 4:-2.0205915 5:2.8312821 6:-3.1452436 7:1.4099804 8:-3.8413775 9:1.5818546 10:-3.597049 11:3.9507072 12:-1.5087317 13:2.8436105 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:224.26384 2:0.802623 3:2.1260939 4:-3.9818323 5:1.8837204 6:-1.7360317 7:5.5323853 8:0.8475704 9:4.830222 10:-0.27078125 11:3.9758618 12:-0.3924592 13:3.6582952 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:225.4979 2:3.0366955 3:3.0907793 4:-3.574454 5:1.574745 6:-1.1577307 7:4.2314515 8:-2.2895133 9:2.8516536 10:-1.0806655 11:5.9167266 12:-0.6969904 13:3.0377471 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.17393 2:2.9142551 3:4.2603464 4:-2.470331 5:2.4159832 6:-0.9079558 7:4.7889423 8:-1.0618422 9:2.177857 10:-1.7175248 11:5.513181 12:-1.8539026 13:-0.033976126 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:225.68823 2:0.7579833 3:2.145014 4:-3.5633483 5:2.9923053 6:0.32156593 7:6.026998 8:-0.8785549 9:3.5442781 10:0.68649834 11:6.142391 12:-1.2153267 13:1.4719509 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.38795 2:1.3467036 3:2.9862118 4:-4.333354 5:0.97968495 6:-3.8540454 7:4.8120637 8:-1.500388 9:2.1980093 10:-2.75747 11:3.9603338 12:-0.097626954 13:3.0592585 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:228.40007 2:1.3169332 3:3.3829389 4:-3.492559 5:2.5037746 6:-2.7721646 7:5.115759 8:-0.5828414 9:3.6837401 10:-2.1492038 11:3.2474887 12:-0.018594636 13:3.43686 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
2 1:226.95886 2:2.071604 3:3.1476593 4:-3.2028644 5:2.9214807 6:-1.989756 7:3.3015091 8:-1.9896394 9:4.1178327 10:-2.1809533 11:2.2202137 12:-1.3107601 13:2.7474866 14:94.70735 15:5.440991 16:-1.8100514 17:0.7279437 18:3.6070206 19:-1.4654468 20:1.5905519 21:-1.9404145 22:2.2857726 23:-1.3830504 24:2.1232092 25:-1.2183195 26:0.41521394 
