2 1:-1500.0 2:1.4471112E-7 3:9.967915E-6 4:-1.457792E-6 5:-1.6145088E-5 6:-3.8515623E-6 7:3.927674E-6 8:5.211579E-6 9:-7.714893E-6 10:-1.091607E-6 11:-6.5797184E-7 12:-5.028755E-7 13:-2.0930147E-6 14:-1500.0 15:1.4471112E-7 16:9.967915E-6 17:-1.457792E-6 18:-1.6145088E-5 19:-3.8515623E-6 20:3.927674E-6 21:5.211579E-6 22:-7.714893E-6 23:-1.091607E-6 24:-6.5797184E-7 25:-5.028755E-7 26:-2.0930147E-6 
2 1:177.53745 2:-2.3562129 3:2.7640498 4:0.39116722 5:0.65453756 6:-1.4832083 7:2.8296187 8:-1.5129448 9:0.9357451 10:-3.948883 11:1.9533331 12:-4.7009716 13:3.8467822 14:177.53745 15:-2.3562129 16:2.7640498 17:0.39116722 18:0.65453756 19:-1.4832083 20:2.8296187 21:-1.5129448 22:0.9357451 23:-3.948883 24:1.9533331 25:-4.7009716 26:3.8467822 
2 1:212.21162 2:5.23639 3:5.7871094 4:-3.782313 5:2.718806 6:-1.3864709 7:2.3777118 8:-2.6538606 9:-1.028345 10:-6.106448 11:0.54206204 12:-5.431988 13:3.8668404 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:212.21162 2:5.23639 3:5.7871094 4:-3.782313 5:2.718806 6:-1.3864709 7:2.3777118 8:-2.6538606 9:-1.028345 10:-6.106448 11:0.54206204 12:-5.431988 13:3.8668404 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:207.95221 2:5.295363 3:6.7675734 4:-4.5366745 5:3.5387945 6:-3.4801269 7:0.37328762 8:-2.8750749 9:2.9150045 10:-4.442661 11:0.46486574 12:-1.767686 13:3.6212678 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:207.95221 2:5.295363 3:6.7675734 4:-4.5366745 5:3.5387945 6:-3.4801269 7:0.37328762 8:-2.8750749 9:2.9150045 10:-4.442661 11:0.46486574 12:-1.767686 13:3.6212678 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:205.90956 2:6.657928 3:10.112331 4:2.1194413 5:4.7852163 6:-3.8190827 7:0.11662963 8:-4.909925 9:2.3629801 10:-1.9749357 11:2.2944036 12:-2.6253626 13:4.694463 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:205.90956 2:6.657928 3:10.112331 4:2.1194413 5:4.7852163 6:-3.8190827 7:0.11662963 8:-4.909925 9:2.3629801 10:-1.9749357 11:2.2944036 12:-2.6253626 13:4.694463 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:200.61247 2:7.4041333 3:9.92086 4:-0.3848729 5:2.7753093 6:-3.1252491 7:2.54449 8:-3.7053967 9:3.7002907 10:-4.1698437 11:0.184395 12:-2.4319685 13:2.9452336 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:200.61247 2:7.4041333 3:9.92086 4:-0.3848729 5:2.7753093 6:-3.1252491 7:2.54449 8:-3.7053967 9:3.7002907 10:-4.1698437 11:0.184395 12:-2.4319685 13:2.9452336 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
2 1:199.22763 2:4.525549 3:6.313226 4:-0.5178894 5:6.5983377 6:-2.1799397 7:-1.3292671 8:-4.6163125 9:3.355316 10:-1.7843012 11:1.0145032 12:-5.143425 13:1.9552107 14:63.67897 15:0.8187549 16:2.112426 17:-0.6163524 18:0.8008763 19:-0.56837493 20:-0.32075056 21:-1.484839 22:0.065204255 23:-1.0494475 24:0.38048744 25:-0.66980195 26:1.3788654 
