2 1:44.915024 2:-13.815208 3:-0.8569401 4:-1.4292215 5:0.84612495 6:-1.7298714 7:0.84448457 8:-1.5161283 9:1.7555622 10:-1.2150946 11:1.441823 12:-1.775779 13:2.0555773 14:44.915024 15:-13.815208 16:-0.8569401 17:-1.4292215 18:0.84612495 19:-1.7298714 20:0.84448457 21:-1.5161283 22:1.7555622 23:-1.2150946 24:1.441823 25:-1.775779 26:2.0555773 
2 1:193.21909 2:8.657482 3:6.6324396 4:-4.371646 5:4.331976 6:-1.0249294 7:3.461166 8:-2.9683313 9:1.9610354 10:-5.5618987 11:0.5956349 12:-4.0254745 13:2.7772195 14:193.21909 15:8.657482 16:6.6324396 17:-4.371646 18:4.331976 19:-1.0249294 20:3.461166 21:-2.9683313 22:1.9610354 23:-5.5618987 24:0.5956349 25:-4.0254745 26:2.7772195 
2 1:203.22807 2:9.141004 3:10.498365 4:-2.6603658 5:1.1328644 6:-0.87907505 7:2.3796756 8:-5.9755006 9:2.9674299 10:-4.1269526 11:0.7464127 12:-1.5290127 13:3.088638 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:203.22807 2:9.141004 3:10.498365 4:-2.6603658 5:1.1328644 6:-0.87907505 7:2.3796756 8:-5.9755006 9:2.9674299 10:-4.1269526 11:0.7464127 12:-1.5290127 13:3.088638 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:200.92639 2:7.218809 3:7.3573794 4:-3.041851 5:-3.4840612 6:-0.7065671 7:0.8268782 8:-4.599575 9:3.553096 10:-3.2361374 11:3.5229158 12:-2.2301724 13:2.529917 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:200.92639 2:7.218809 3:7.3573794 4:-3.041851 5:-3.4840612 6:-0.7065671 7:0.8268782 8:-4.599575 9:3.553096 10:-3.2361374 11:3.5229158 12:-2.2301724 13:2.529917 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.28119 2:4.990818 3:3.09702 4:-5.236649 5:2.1013768 6:-1.8752342 7:2.2088897 8:-3.5853302 9:3.485851 10:-0.8325731 11:4.19388 12:-0.70449346 13:3.310897 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.28119 2:4.990818 3:3.09702 4:-5.236649 5:2.1013768 6:-1.8752342 7:2.2088897 8:-3.5853302 9:3.485851 10:-0.8325731 11:4.19388 12:-0.70449346 13:3.310897 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:205.0406 2:6.9464087 3:4.5846868 4:-2.6095805 5:-0.22977641 6:-2.5546522 7:3.6553571 8:-5.240999 9:1.5058014 10:-3.2070603 11:1.3089172 12:-2.214024 13:4.186682 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:205.0406 2:6.9464087 3:4.5846868 4:-2.6095805 5:-0.22977641 6:-2.5546522 7:3.6553571 8:-5.240999 9:1.5058014 10:-3.2070603 11:1.3089172 12:-2.214024 13:4.186682 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:205.05376 2:7.0878854 3:4.631145 4:-4.7369385 5:1.8261757 6:-1.0525256 7:3.9085612 8:-6.159648 9:3.475055 10:-0.59024733 11:1.7740276 12:-0.85691714 13:1.7325609 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:205.05376 2:7.0878854 3:4.631145 4:-4.7369385 5:1.8261757 6:-1.0525256 7:3.9085612 8:-6.159648 9:3.475055 10:-0.59024733 11:1.7740276 12:-0.85691714 13:1.7325609 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:206.20251 2:6.811932 3:6.707819 4:-3.144292 5:1.9001585 6:2.2845302 7:3.404256 8:-6.3086467 9:3.1212645 10:-4.2522173 11:1.6390003 12:-3.0509021 13:1.0274894 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:206.20251 2:6.811932 3:6.707819 4:-3.144292 5:1.9001585 6:2.2845302 7:3.404256 8:-6.3086467 9:3.1212645 10:-4.2522173 11:1.6390003 12:-3.0509021 13:1.0274894 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:203.59729 2:3.4125345 3:7.337432 4:0.2275336 5:2.937691 6:-0.058983665 7:2.4814513 8:-2.946969 9:6.16688 10:-2.6056197 11:4.61549 12:-0.12969148 13:-1.0349997 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:203.59729 2:3.4125345 3:7.337432 4:0.2275336 5:2.937691 6:-0.058983665 7:2.4814513 8:-2.946969 9:6.16688 10:-2.6056197 11:4.61549 12:-0.12969148 13:-1.0349997 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.55455 2:6.0566454 3:9.004565 4:0.30987173 5:0.070386834 6:2.73931 7:4.7101808 8:-4.4140587 9:1.3282735 10:-5.854214 11:1.5563556 12:-2.2509556 13:2.9635355 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.55455 2:6.0566454 3:9.004565 4:0.30987173 5:0.070386834 6:2.73931 7:4.7101808 8:-4.4140587 9:1.3282735 10:-5.854214 11:1.5563556 12:-2.2509556 13:2.9635355 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:193.42139 2:6.6641164 3:6.491971 4:-1.9732971 5:3.6111865 6:1.8358388 7:5.3350873 8:-2.2958906 9:5.3590055 10:-2.0983427 11:1.6952606 12:-4.5630927 13:1.1255858 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:193.42139 2:6.6641164 3:6.491971 4:-1.9732971 5:3.6111865 6:1.8358388 7:5.3350873 8:-2.2958906 9:5.3590055 10:-2.0983427 11:1.6952606 12:-4.5630927 13:1.1255858 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:198.86836 2:4.6037936 3:9.878756 4:0.79445094 5:4.836242 6:0.45418543 7:2.597925 8:-6.0589447 9:3.1158228 10:-0.7508214 11:3.7374346 12:-1.4857774 13:4.1525135 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:198.86836 2:4.6037936 3:9.878756 4:0.79445094 5:4.836242 6:0.45418543 7:2.597925 8:-6.0589447 9:3.1158228 10:-0.7508214 11:3.7374346 12:-1.4857774 13:4.1525135 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.3449 2:4.8296185 3:6.213014 4:-3.0023084 5:4.842899 6:1.7181468 7:3.0588248 8:-2.7314146 9:2.4439373 10:-1.4317609 11:3.6231813 12:-3.2072382 13:2.9008522 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.3449 2:4.8296185 3:6.213014 4:-3.0023084 5:4.842899 6:1.7181468 7:3.0588248 8:-2.7314146 9:2.4439373 10:-1.4317609 11:3.6231813 12:-3.2072382 13:2.9008522 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:196.85274 2:5.595365 3:4.526739 4:-6.83047 5:-0.6761057 6:-1.6676527 7:1.2934458 8:-7.6285114 9:1.0294294 10:-0.17818208 11:3.399525 12:-4.7631397 13:2.0126967 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:196.85274 2:5.595365 3:4.526739 4:-6.83047 5:-0.6761057 6:-1.6676527 7:1.2934458 8:-7.6285114 9:1.0294294 10:-0.17818208 11:3.399525 12:-4.7631397 13:2.0126967 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:200.74503 2:5.1385956 3:6.18229 4:-0.9371331 5:0.13599327 6:-2.4981887 7:3.1372168 8:-1.267299 9:4.5036707 10:-2.0596483 11:1.685996 12:-3.4163144 13:3.6705222 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:200.74503 2:5.1385956 3:6.18229 4:-0.9371331 5:0.13599327 6:-2.4981887 7:3.1372168 8:-1.267299 9:4.5036707 10:-2.0596483 11:1.685996 12:-3.4163144 13:3.6705222 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.62573 2:5.7259636 3:4.9370484 4:-3.267046 5:-0.28152913 6:0.5440406 7:3.466914 8:-4.809309 9:1.7644924 10:-4.171411 11:2.2939463 12:-0.47797006 13:4.205027 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:202.62573 2:5.7259636 3:4.9370484 4:-3.267046 5:-0.28152913 6:0.5440406 7:3.466914 8:-4.809309 9:1.7644924 10:-4.171411 11:2.2939463 12:-0.47797006 13:4.205027 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:201.97984 2:7.122862 3:6.1599274 4:-2.779878 5:1.0138837 6:0.041356057 7:2.8554277 8:-2.8349447 9:6.4196367 10:-3.3198779 11:2.701312 12:-0.37005728 13:1.3533381 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
2 1:201.97984 2:7.122862 3:6.1599274 4:-2.779878 5:1.0138837 6:0.041356057 7:2.8554277 8:-2.8349447 9:6.4196367 10:-3.3198779 11:2.701312 12:-0.37005728 13:1.3533381 14:61.562786 15:1.650496 16:2.2167718 17:-0.4279628 18:0.7511587 19:-0.16217056 20:0.4125786 21:-0.6769892 22:0.8891139 23:-0.8659531 24:0.60858035 25:-1.0310493 26:0.6301315 
