2 1:235.12459 2:-8.314528 3:2.4470556 4:-1.2677792 5:3.1911807 6:-4.0878787 7:1.7150863 8:-4.4092155 9:-2.0407486 10:-2.4899812 11:0.00660596 12:-5.9229755 13:2.199329 14:235.12459 15:-8.314528 16:2.4470556 17:-1.2677792 18:3.1911807 19:-4.0878787 20:1.7150863 21:-4.4092155 22:-2.0407486 23:-2.4899812 24:0.00660596 25:-5.9229755 26:2.199329 
2 1:262.02866 2:-9.868768 3:3.9879239 4:0.53522414 5:3.3182135 6:-1.4282722 7:4.1479826 8:-1.2291212 9:1.722851 10:-1.59725 11:1.400813 12:-2.8654156 13:0.92150325 14:262.02866 15:-9.868768 16:3.9879239 17:0.53522414 18:3.3182135 19:-1.4282722 20:4.1479826 21:-1.2291212 22:1.722851 23:-1.59725 24:1.400813 25:-2.8654156 26:0.92150325 
2 1:261.65094 2:-9.001619 3:6.4430585 4:2.1698492 5:2.7615862 6:-2.8114638 7:2.5572333 8:-1.5528247 9:0.884678 10:-0.40256783 11:2.8588133 12:-2.2472548 13:2.1537335 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:262.13794 2:-8.947953 3:5.697843 4:0.2848196 5:1.0090533 6:-3.4990282 7:3.4875696 8:-1.0551131 9:0.6475267 10:-0.6912287 11:2.975676 12:-1.8242545 13:2.2866578 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:262.24222 2:-10.053153 3:6.3381343 4:-0.18103275 5:1.2430112 6:-3.7435489 7:2.045301 8:-1.7110537 9:0.45272467 10:-1.5853666 11:1.6778591 12:-2.6058617 13:1.9338733 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:262.61737 2:-10.07334 3:7.804183 4:1.6763978 5:1.9618886 6:-4.466003 7:2.4950445 8:-1.2248425 9:0.78182614 10:-2.8085113 11:1.2883952 12:-1.5369637 13:2.70937 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:263.77963 2:-9.826611 3:4.204376 4:-0.97099054 5:1.8791746 6:-2.4574807 7:3.8293335 8:-1.1040471 9:2.2040396 10:-0.6492542 11:1.5394043 12:-2.3201513 13:0.25944385 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:261.6787 2:-7.6462154 3:5.663015 4:0.5459163 5:1.0253873 6:-4.4340324 7:1.3340831 8:-2.3146472 9:1.377426 10:-1.8486851 11:0.19707216 12:-3.673849 13:1.4920406 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:260.97583 2:-6.920519 3:8.44444 4:1.7967979 5:1.1183021 6:-4.035007 7:1.9485539 8:-2.363937 9:0.48578948 10:-1.239537 11:3.4823518 12:-1.3281413 13:2.2987998 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:258.1489 2:-11.932281 3:6.821444 4:0.50748485 5:2.742527 6:-1.4912273 7:2.4900503 8:1.1508901 9:2.8524399 10:1.2273272 11:2.4772344 12:-0.9015974 13:2.3342574 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
2 1:262.77713 2:-6.7285967 3:8.133436 4:1.3453673 5:0.29865515 6:-4.741256 7:2.3434682 8:-2.044922 9:1.5870942 10:-2.3379633 11:2.3787918 12:-1.8917646 13:2.696184 14:81.64891 15:-0.30641022 16:3.5784047 17:1.098585 18:1.3884616 19:-0.9682322 20:1.0240699 21:-0.2896877 22:1.0903666 23:0.1573778 24:0.84183747 25:-1.4176865 26:0.6037039 
