2 1:218.76863 2:-8.1697645 3:8.237029 4:2.1461158 5:3.6527228 6:-1.6765094 7:2.8806646 8:0.8282486 9:3.550007 10:-3.6222684 11:-0.117984615 12:-1.7632606 13:4.6891575 14:218.76863 15:-8.1697645 16:8.237029 17:2.1461158 18:3.6527228 19:-1.6765094 20:2.8806646 21:0.8282486 22:3.550007 23:-3.6222684 24:-0.117984615 25:-1.7632606 26:4.6891575 
2 1:258.21677 2:-8.324862 3:7.2001853 4:3.7061162 5:3.7859495 6:-4.449825 7:2.8147256 8:-1.0083481 9:1.1394429 10:-3.0018208 11:0.4774251 12:-2.2127001 13:3.2175827 14:258.21677 15:-8.324862 16:7.2001853 17:3.7061162 18:3.7859495 19:-4.449825 20:2.8147256 21:-1.0083481 22:1.1394429 23:-3.0018208 24:0.4774251 25:-2.2127001 26:3.2175827 
2 1:259.35306 2:-8.996439 3:7.2331815 4:3.2315812 5:2.206595 6:-3.8702943 7:2.5208504 8:0.74098206 9:3.3593671 10:-1.3883722 11:2.1987715 12:-2.2409499 13:1.734729 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:259.0587 2:-8.728401 3:6.2019057 4:1.3238306 5:2.559662 6:-3.2939103 7:2.892698 8:0.42921883 9:3.198848 10:-0.85563314 11:3.0369997 12:-1.5371859 13:1.238297 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.09494 2:-11.838881 3:6.60982 4:1.0822442 5:2.4306571 6:-4.3234763 7:1.6054412 8:-0.83261144 9:0.3318594 10:-2.4391448 11:-0.24527566 12:-1.8064245 13:0.43239856 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.9236 2:-9.23143 3:6.724876 4:2.593103 5:2.387771 6:-3.4805014 7:2.2616944 8:-1.7808709 9:1.5818347 10:-2.7472517 11:0.56871104 12:-2.1208837 13:1.319627 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.38257 2:-9.872147 3:5.437333 4:1.8919542 5:2.4010444 6:-3.5935307 7:1.611027 8:-1.8411303 9:2.1982925 10:-2.3878994 11:1.7030134 12:-2.413745 13:1.3155566 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:263.55328 2:-8.680128 3:6.938078 4:3.3848004 5:2.4666543 6:-3.3684762 7:2.406937 8:-1.4034952 9:3.2463186 10:-0.5710423 11:1.6577972 12:-1.8314751 13:0.11838861 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:261.43466 2:-9.609961 3:5.747673 4:3.154421 5:1.5459386 6:-4.3785553 7:0.3837587 8:-3.2383552 9:1.8302265 10:-1.5158188 11:2.0845757 12:-1.1743337 13:1.0322675 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.72348 2:-10.21345 3:4.9450316 4:1.4660606 5:2.592154 6:-4.824575 7:-0.3482922 8:-3.560609 9:1.0762777 10:-0.69445676 11:3.1777663 12:-0.7369987 13:2.97477 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
2 1:260.08682 2:-7.9921985 3:5.649946 4:1.1922536 5:2.7005835 6:-3.1059735 7:2.4557588 8:-0.26291806 9:1.9199347 10:-0.9340558 11:1.4843782 12:-3.4401124 13:1.9535651 14:83.38548 15:0.12793264 16:3.306791 17:1.0933341 18:1.289916 19:-0.86482507 20:1.416611 21:-0.6128471 22:0.8752225 23:-0.3597171 24:0.6344801 25:-1.4671743 26:0.29829478 
