1 1:219.14618 2:-7.995725 3:3.5855205 4:-0.72941846 5:0.62536746 6:-5.586503 7:0.20077607 8:-0.46947873 9:4.745203 10:1.8466778 11:4.081854 12:-2.7506552 13:1.0374037 14:219.14618 15:-7.995725 16:3.5855205 17:-0.72941846 18:0.62536746 19:-5.586503 20:0.20077607 21:-0.46947873 22:4.745203 23:1.8466778 24:4.081854 25:-2.7506552 26:1.0374037 
1 1:261.8575 2:-7.985101 3:6.254759 4:-0.9675995 5:1.8898134 6:-2.6516354 7:1.700994 8:-0.6637552 9:2.8432968 10:-0.8424264 11:1.4467887 12:-1.8857918 13:2.7421665 14:261.8575 15:-7.985101 16:6.254759 17:-0.9675995 18:1.8898134 19:-2.6516354 20:1.700994 21:-0.6637552 22:2.8432968 23:-0.8424264 24:1.4467887 25:-1.8857918 26:2.7421665 
1 1:258.2775 2:-9.855839 3:4.936634 4:0.041284647 5:1.3618333 6:-4.7730403 7:1.6690768 8:-0.10276344 9:3.9214609 10:0.13979648 11:2.1580918 12:-2.8644366 13:2.3756847 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:261.36673 2:-8.387932 3:6.365271 4:-0.6947259 5:-0.5992553 6:-3.4202654 7:3.2703996 8:0.041407593 9:2.3077505 10:-2.120083 11:0.92825997 12:-2.3993757 13:3.1203485 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:267.88782 2:-7.756481 3:6.970748 4:-1.1497191 5:-0.9341673 6:-3.1908686 7:3.6053126 8:0.29077855 9:2.9718068 10:-0.7138018 11:1.8819839 12:-2.6796668 13:0.8869512 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:268.0912 2:-6.67165 3:8.11879 4:1.3855187 5:-0.45382184 6:-2.8225484 7:2.485778 8:-2.2119503 9:2.7001712 10:-3.1397982 11:1.2986908 12:-1.776092 13:2.8627472 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:260.57452 2:-6.46762 3:5.255918 4:-0.31392154 5:0.9809256 6:-3.8873844 7:1.7496144 8:-0.56338066 9:2.3335512 10:-1.2115272 11:2.6340475 12:-3.7825825 13:2.6789155 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:259.29526 2:-7.125759 3:7.2409534 4:1.7206662 5:2.1529253 6:-1.9613948 7:2.84837 8:-0.58239734 9:3.2142422 10:-0.26581118 11:3.1638088 12:-3.020536 13:1.8933725 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:259.0676 2:-8.696486 3:3.8192563 4:-0.3846436 5:-0.25833526 6:-5.1286325 7:3.517528 8:-0.9394519 9:0.6744325 10:-1.4397181 11:2.2187533 12:-3.0860782 13:1.1728826 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:258.09656 2:-7.1502256 3:6.5931506 4:-0.17360891 5:0.92514646 6:-3.6661925 7:3.3443177 8:-0.53445995 9:2.2738845 10:-0.35536367 11:1.7879655 12:-2.95757 13:4.2649484 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:260.1159 2:-6.623097 3:6.269973 4:-0.09153495 5:1.8519915 6:-2.8084974 7:3.0666268 8:-2.3305843 9:0.4079661 10:-1.4541359 11:0.97369695 12:-4.003531 13:1.9491011 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:258.5498 2:-7.8616405 3:5.369959 4:-1.0844235 5:1.2776601 6:-3.4225345 7:4.0210133 8:-0.89651865 9:1.2903435 10:-0.30535 11:2.7829883 12:-3.5153644 13:0.7464685 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
1 1:260.72125 2:-7.5621686 3:6.209091 4:0.39219555 5:0.32776168 6:-4.0375957 7:2.3867044 8:-2.1152034 9:0.8924548 10:-1.6577139 11:2.0104709 12:-3.4120054 13:2.755212 14:85.829254 15:0.96005183 16:3.8334196 17:1.3533348 18:1.342573 19:-0.69386965 20:1.7655953 21:-1.0057782 22:1.080598 23:-0.17344615 24:0.8218953 25:-1.2838404 26:0.900788 
