1 1:223.04988 2:-9.630669 3:3.643812 4:1.3874018 5:4.816864 6:-4.217935 7:1.4375286 8:-0.4644298 9:3.5292845 10:-0.90180486 11:1.5568498 12:-3.308454 13:1.6310759 14:223.04988 15:-9.630669 16:3.643812 17:1.3874018 18:4.816864 19:-4.217935 20:1.4375286 21:-0.4644298 22:3.5292845 23:-0.90180486 24:1.5568498 25:-3.308454 26:1.6310759 
1 1:270.81363 2:-4.362189 3:6.6549478 4:-0.22800244 5:1.3156717 6:-4.1565156 7:2.4245706 8:-1.7183267 9:1.8087784 10:0.6921786 11:3.7295103 12:-2.2499304 13:2.6954436 14:270.81363 15:-4.362189 16:6.6549478 17:-0.22800244 18:1.3156717 19:-4.1565156 20:2.4245706 21:-1.7183267 22:1.8087784 23:0.6921786 24:3.7295103 25:-2.2499304 26:2.6954436 
1 1:285.32382 2:2.2743325 3:7.391595 4:-3.967682 5:1.7108283 6:-3.711958 7:3.6610727 8:-0.9729882 9:1.6859417 10:-2.5811937 11:3.3299675 12:-0.5662956 13:3.6977313 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:278.99234 2:-2.0826123 3:5.4394283 4:-4.8774133 5:1.1568047 6:-2.835395 7:3.8891144 8:-1.2988708 9:0.34744188 10:-2.4867904 11:2.4122615 12:-1.7304193 13:2.4620204 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:273.51257 2:-2.630524 3:4.676855 4:-2.7973113 5:2.340192 6:-4.009769 7:4.13183 8:-0.01318835 9:1.316052 10:-2.379397 11:2.4904463 12:-4.0998316 13:1.9855213 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:270.88705 2:-4.1093187 3:5.327354 4:-2.747604 5:1.2562749 6:-4.5648026 7:3.4101899 8:-1.4949379 9:-0.29052535 10:-0.8366535 11:3.2437577 12:-2.9692984 13:2.254933 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:265.32648 2:-6.0930085 3:5.928463 4:-0.33224195 5:-0.18610978 6:-4.4293327 7:4.4297514 8:0.13633418 9:-0.4495515 10:-2.12751 11:1.8892224 12:-2.7281187 13:2.991818 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:262.09753 2:-7.1496153 3:4.617462 4:-0.25042924 5:1.2233876 6:-4.825249 7:3.5742028 8:-0.30656356 9:0.24243085 10:-2.3684814 11:1.2576206 12:-3.8673887 13:1.7761774 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:258.9107 2:-7.863105 3:6.1579175 4:2.2892394 5:3.9457095 6:-3.7489114 7:2.55697 8:0.015860334 9:2.510369 10:-0.69821626 11:0.9722761 12:-4.015611 13:0.43089685 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:260.54694 2:-7.1851463 3:5.2454486 4:3.0296423 5:3.37641 6:-3.8816404 7:3.022242 8:-1.3339757 9:2.6063693 10:-0.5559517 11:2.2363114 12:-3.7529845 13:1.8291806 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:258.58295 2:-9.113872 3:4.5909543 4:1.9256773 5:2.5941892 6:-4.0836935 7:1.8798412 8:-0.5446904 9:1.2687768 10:-1.88346 11:2.2039473 12:-2.2310655 13:2.860317 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:259.5708 2:-8.645324 3:6.2026744 4:3.1546764 5:2.9420846 6:-5.3426642 7:1.8533285 8:-0.22844666 9:2.8735273 10:-0.2034949 11:2.772385 12:-2.6099627 13:2.5429125 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
1 1:256.69144 2:-9.787227 3:6.763162 4:4.632464 5:4.724667 6:-3.859889 7:2.0079331 8:-2.18591 9:0.38908568 10:-2.507085 11:1.9050536 12:-2.7151375 13:0.9260629 14:96.95941 15:5.0992837 16:5.329023 17:1.5568173 18:2.4272325 19:-1.28198 20:1.5741774 21:-2.0201359 22:0.90900457 23:-1.0439758 24:2.1409802 25:-1.6224002 26:0.77496076 
