1 1:182.515 2:-3.3697286 3:0.5961845 4:-7.3137884 5:-3.0461817 6:-4.469663 7:1.8910211 8:-2.1200655 9:2.07914 10:-4.1552587 11:0.24666151 12:-4.461039 13:2.28764 14:182.515 15:-3.3697286 16:0.5961845 17:-7.3137884 18:-3.0461817 19:-4.469663 20:1.8910211 21:-2.1200655 22:2.07914 23:-4.1552587 24:0.24666151 25:-4.461039 26:2.28764 
1 1:272.73544 2:-0.6163709 3:5.4591794 4:-3.838091 5:-1.1694303 6:-6.172462 7:1.8361424 8:-2.5872228 9:-0.6307347 10:-3.341091 11:3.406002 12:-4.0328574 13:1.8869828 14:272.73544 15:-0.6163709 16:5.4591794 17:-3.838091 18:-1.1694303 19:-6.172462 20:1.8361424 21:-2.5872228 22:-0.6307347 23:-3.341091 24:3.406002 25:-4.0328574 26:1.8869828 
1 1:269.73978 2:-2.5239878 3:4.50408 4:-5.491035 5:-2.487357 6:-4.8459 7:4.2540936 8:-0.6897949 9:0.07065507 10:-2.9573689 11:2.991168 12:-2.733725 13:2.0628457 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:269.80637 2:-2.5105639 3:5.998459 4:-3.267509 5:-0.4271681 6:-4.327629 7:4.568582 8:-0.85486174 9:1.4816188 10:-0.5806531 11:3.1233172 12:-3.1834247 13:3.0464964 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:274.87665 2:-5.2078457 3:5.90712 4:-3.9451401 5:-0.14632955 6:-3.3618991 7:5.3579645 8:-1.175027 9:1.5283945 10:-3.1095438 11:2.4851985 12:0.03608376 13:2.439094 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:276.0762 2:0.1877014 3:6.277952 4:-4.9301114 5:-0.13658817 6:-4.996367 7:4.072081 8:-1.4508135 9:1.2769483 10:-0.85185164 11:2.4145954 12:-3.6506767 13:2.1247976 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:273.68866 2:-0.804303 3:7.220511 4:-4.943864 5:-1.7407261 6:-4.4561224 7:2.0773294 8:-3.2121668 9:1.0171863 10:-1.2929343 11:3.8536377 12:-2.2186246 13:3.6441221 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:276.90796 2:-3.1508217 3:9.652666 4:-3.565847 5:-3.312264 6:-4.1979165 7:3.1404073 8:-1.0778425 9:3.6943212 10:-1.778213 11:1.7201815 12:-2.3030198 13:1.879643 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:281.55136 2:-6.3239784 3:7.5268493 4:-1.7896765 5:-3.0500193 6:-2.3558524 7:4.3686485 8:-0.78929114 9:3.4325478 10:-1.5394073 11:1.4522115 12:-1.9971069 13:1.1774509 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:280.232 2:-5.5776815 3:8.304795 4:-0.49361774 5:-2.4840906 6:-4.397563 7:1.9791242 8:-2.589362 9:2.0346887 10:-2.2280831 11:1.2604216 12:-1.107508 13:1.6511871 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:276.2378 2:-1.1981533 3:10.009734 4:-1.2916222 5:-1.1406881 6:-4.1723156 7:2.3131323 8:-2.2119184 9:1.6151941 10:-2.2740033 11:2.371501 12:-4.0781612 13:3.0700235 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:274.6246 2:-1.3975203 3:7.735982 4:-3.8856595 5:-2.1138124 6:-5.939665 7:2.2259717 8:-1.4154955 9:1.4085915 10:-3.545985 11:1.4770807 12:-4.0093117 13:2.9143136 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:272.6242 2:-3.4624362 3:5.683513 4:-3.5745208 5:-2.0562818 6:-5.3525624 7:3.6415045 8:1.0340911 9:2.1390924 10:-0.95350367 11:4.597601 12:-3.0053136 13:1.4280444 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
1 1:271.315 2:-1.440811 3:6.6418915 4:-3.9841356 5:-1.0931151 6:-5.160155 7:1.9665626 8:-1.9977597 9:1.6501251 10:-2.22288 11:2.5092902 12:-2.4029183 13:2.3554091 14:97.583755 15:3.7036817 16:5.0844874 17:0.92919457 18:1.5538415 19:0.47332782 20:1.3912549 21:-1.639803 22:2.224663 23:-0.15100327 24:1.2661319 25:-2.5833125 26:1.3583122 
