2 1:107.5944 2:-18.487885 3:1.3144007 4:-2.7769475 5:1.1005613 6:-1.7711582 7:1.1495591 8:-1.4530782 9:1.0872368 10:-1.37222 11:1.2741671 12:-1.3854841 13:1.3617266 14:107.5944 15:-18.487885 16:1.3144007 17:-2.7769475 18:1.1005613 19:-1.7711582 20:1.1495591 21:-1.4530782 22:1.0872368 23:-1.37222 24:1.2741671 25:-1.3854841 26:1.3617266 
2 1:263.84106 2:-7.2597904 3:5.329394 4:0.5736567 5:2.3982022 6:-4.692795 7:2.5265 8:-0.6310819 9:1.6782051 10:-2.105679 11:1.3581564 12:-3.3934956 13:2.2939382 14:263.84106 15:-7.2597904 16:5.329394 17:0.5736567 18:2.3982022 19:-4.692795 20:2.5265 21:-0.6310819 22:1.6782051 23:-2.105679 24:1.3581564 25:-3.3934956 26:2.2939382 
2 1:263.7599 2:-7.5382752 3:5.266901 4:0.48898414 5:1.300645 6:-4.3221426 7:2.8429968 8:-1.0095419 9:2.1046145 10:-0.020956382 11:3.5362115 12:-4.2452903 13:1.1876438 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:262.71518 2:-8.62028 3:4.9195657 4:-0.2648756 5:-0.8070527 6:-5.2189918 7:3.5647283 8:-0.18209934 9:3.617644 10:-0.23191755 11:1.0768434 12:-4.80817 13:0.43614137 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:266.18625 2:-5.7850246 3:7.8563914 4:-0.115098886 5:1.1353205 6:-3.2638564 7:2.7665143 8:-0.70049316 9:2.6502743 10:-1.7258879 11:2.8719687 12:-1.9940909 13:2.8990848 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:264.77432 2:-7.1028476 3:5.358145 4:-0.32914245 5:1.600255 6:-3.6853976 7:3.7608168 8:1.2460129 9:3.4808981 10:-0.98152786 11:1.3048459 12:-2.8463156 13:2.0627956 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:262.6363 2:-4.295627 3:7.033114 4:-0.7731869 5:0.79085326 6:-4.651588 7:2.937672 8:-1.4394656 9:2.4538982 10:-0.38586727 11:1.9515089 12:-3.8811152 13:1.0817717 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:263.064 2:-4.570633 3:6.773986 4:-0.86317474 5:1.5369072 6:-4.746131 7:0.07395766 8:-2.0464978 9:1.9160277 10:-0.44839114 11:2.1646373 12:-3.480701 13:1.7254754 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:264.40802 2:-5.3327026 3:8.239575 4:0.9256097 5:2.6868951 6:-4.1777873 7:-0.99455655 8:-1.854562 9:1.8925823 10:-1.5663259 11:1.72403 12:-3.4320776 13:1.2667172 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:266.48697 2:-5.6708555 3:5.942254 4:-0.32811478 5:2.0521476 6:-4.1356235 7:1.8098048 8:-1.6815437 9:0.5564648 10:-1.1424925 11:3.4945722 12:-1.5041088 13:2.7577603 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:263.5843 2:-5.75343 3:5.1492605 4:-2.8265283 5:0.066034615 6:-4.877418 7:3.5456727 8:-1.1733236 9:1.2122754 10:-0.57238513 11:3.4554684 12:-1.1137514 13:3.3511684 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:261.71732 2:-6.8451285 3:6.3445296 4:-1.0316701 5:1.622775 6:-4.4216776 7:0.738353 8:-2.004325 9:1.3811407 10:-0.8283007 11:2.0327923 12:-2.8912814 13:0.74066746 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:262.82635 2:-7.179063 3:6.7618217 4:-1.0030588 5:0.8977681 6:-3.8132029 7:2.2475183 8:-0.8716798 9:0.60927784 10:-1.976133 11:2.181929 12:-1.7567885 13:2.6672993 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:263.54456 2:-7.3394537 3:4.0334306 4:-3.1804972 5:-1.214094 6:-5.6942096 7:1.3360502 8:-1.5592353 9:2.419629 10:-1.0473583 11:3.0724308 12:-0.22177957 13:3.9754171 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:267.88486 2:-6.888771 3:4.4703045 4:-2.9211695 5:-0.53016704 6:-5.0297728 7:1.7282511 8:-1.7431475 9:1.5274223 10:-0.73190606 11:1.6777644 12:-2.2418485 13:2.4391682 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:272.88937 2:-4.0283647 3:4.746352 4:-2.764507 5:-0.69130504 6:-4.498645 7:1.2912503 8:-2.7047262 9:2.099788 10:-1.6694705 11:1.687663 12:-2.7382815 13:2.8307242 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:275.33298 2:-3.0742447 3:6.676679 4:-1.4274437 5:0.8867526 6:-2.799978 7:2.4348364 8:-2.7511237 9:0.64739877 10:-2.672811 11:1.8526196 12:-2.0214832 13:3.8805656 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:272.68488 2:-4.7054086 3:5.275329 4:-2.030153 5:0.88662744 6:-4.176213 7:3.18897 8:-2.1409075 9:1.666212 10:-0.8944436 11:2.7624228 12:-1.0286142 13:3.4421086 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:272.52576 2:-6.0179725 3:6.055841 4:-2.2631032 5:-0.5765975 6:-3.903486 7:2.0418217 8:-1.8233465 9:0.9619672 10:-3.2554958 11:0.4099161 12:-1.5160567 13:3.6392107 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:270.16702 2:-4.872768 3:5.8517666 4:-1.0017395 5:-0.020028673 6:-5.100288 7:2.206931 8:-1.7240578 9:2.4950125 10:-0.5780671 11:2.0698552 12:-3.030869 13:2.9396954 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:267.7712 2:-5.6522226 3:7.2653027 4:0.02830188 5:2.0661142 6:-4.5596833 7:2.260368 8:-2.6152875 9:0.96916085 10:-1.236234 11:3.0375676 12:-1.6929287 13:1.2172142 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:265.99072 2:-5.9645267 3:5.103742 4:-1.2004899 5:1.828418 6:-4.4728494 7:2.6763067 8:-1.3275534 9:2.7658741 10:-0.21832193 11:2.7216573 12:-2.8014352 13:2.3524632 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
2 1:266.12775 2:-5.254663 3:6.3396673 4:-1.1820544 5:0.7759162 6:-5.9073725 7:2.4982576 8:-0.3560524 9:2.6243255 10:-0.30364668 11:0.18474999 12:-4.007689 13:2.6328492 14:79.53238 15:-1.4452393 16:2.866015 17:1.0379736 18:0.7578646 19:-1.5445573 20:0.5129213 21:-0.22934112 22:0.78018945 23:0.19655651 24:1.2006596 25:-0.99739593 26:0.70333546 
