2 1:178.3803 2:-6.1979666 3:8.082608 4:2.845081 5:3.3577647 6:-5.3917594 7:4.8410516 8:-0.33240768 9:-1.8109013 10:-4.5381293 11:2.2731082 12:-2.7830782 13:-0.15190673 14:178.3803 15:-6.1979666 16:8.082608 17:2.845081 18:3.3577647 19:-5.3917594 20:4.8410516 21:-0.33240768 22:-1.8109013 23:-4.5381293 24:2.2731082 25:-2.7830782 26:-0.15190673 
2 1:260.07727 2:-7.5693893 3:6.533288 4:1.5511129 5:1.9731896 6:-3.6180604 7:2.4391665 8:-2.9936142 9:0.39675954 10:-2.5559423 11:1.6853192 12:-3.3489375 13:0.88424957 14:260.07727 15:-7.5693893 16:6.533288 17:1.5511129 18:1.9731896 19:-3.6180604 20:2.4391665 21:-2.9936142 22:0.39675954 23:-2.5559423 24:1.6853192 25:-3.3489375 26:0.88424957 
2 1:259.2594 2:-8.592344 3:7.1068454 4:3.315038 5:4.7502627 6:-2.8140643 7:2.142393 8:-2.5302608 9:-0.16243882 10:-1.2856481 11:1.9165674 12:-2.8655984 13:2.1804192 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:262.10767 2:-7.674206 3:6.1119833 4:0.75869 5:2.5780797 6:-4.3027024 7:3.364987 8:0.19244394 9:1.2094642 10:-0.7661439 11:1.8021433 12:-3.2059362 13:2.3017757 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:256.4406 2:-9.148575 3:4.98361 4:1.1683476 5:2.1954305 6:-4.6665835 7:2.447066 8:-1.4009924 9:1.086335 10:-1.4216851 11:2.1138918 12:-3.1418483 13:1.3024668 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:257.09442 2:-9.73901 3:4.530845 4:0.82045716 5:2.3635905 6:-5.0157223 7:0.38162473 8:-0.75423175 9:1.5766747 10:-1.151757 11:1.4848987 12:-2.6563647 13:4.0559516 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:259.93683 2:-8.617478 3:7.3459167 4:2.3877058 5:2.2636986 6:-3.9828143 7:2.5724185 8:-0.96778643 9:2.5453324 10:0.1341428 11:2.605228 12:-2.6053627 13:1.9429679 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.9854 2:-10.025133 3:5.1478877 4:0.9877823 5:1.6400714 6:-5.589875 7:0.98919445 8:-2.6432931 9:0.26469588 10:-2.28059 11:2.0439117 12:-2.9261358 13:1.1810026 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.9045 2:-9.623699 3:4.822994 4:0.83974445 5:1.4019177 6:-5.582193 7:1.2944087 8:-0.5859884 9:-0.018313292 10:-2.2041087 11:1.1962987 12:-3.269232 13:1.3492714 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.8758 2:-9.816039 3:6.3824883 4:2.0599272 5:2.1034489 6:-3.0962412 7:2.7963736 8:-0.685367 9:-0.37952262 10:-2.3559663 11:1.0518092 12:-2.9331932 13:2.3311296 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:262.0784 2:-11.8199 3:4.9509306 4:-0.08915633 5:0.9609085 6:-3.485741 7:2.6809402 8:0.34101558 9:0.7940461 10:-1.0133572 11:0.7081057 12:-2.9454327 13:2.5219095 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.95135 2:-10.348267 3:5.974139 4:2.2504187 5:1.7829947 6:-2.7770617 7:2.758702 8:-1.6594152 9:1.4882218 10:-0.7618866 11:3.4208152 12:-1.1463659 13:4.430293 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:263.2766 2:-7.5638795 3:7.3734946 4:1.3686391 5:1.3356129 6:-4.2679653 7:3.3586016 8:-0.7778999 9:0.49214897 10:-1.8229173 11:1.874363 12:-2.7221372 13:2.7617188 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:261.07587 2:-8.389044 3:6.254752 4:0.9638429 5:1.6153857 6:-2.8524187 7:3.275227 8:-0.82912606 9:0.0744335 10:-2.1641233 11:1.1860185 12:-2.9351315 13:3.4197793 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:261.20468 2:-9.491754 3:6.0526123 4:1.3206915 5:0.84415954 6:-4.2960835 7:1.5164157 8:-0.90565383 9:1.7543856 10:-1.2808506 11:1.6489887 12:-3.8789158 13:1.1101602 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.43988 2:-7.7594056 3:6.7812147 4:2.8333478 5:2.356702 6:-4.034621 7:2.560394 8:-2.7917004 9:0.6335117 10:-2.522762 11:2.3858888 12:-2.509381 13:1.6362052 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.46637 2:-10.134978 3:5.4720144 4:3.0818937 5:1.9299153 6:-5.464739 7:2.244492 8:-1.6866719 9:0.5981123 10:-1.4442241 11:2.3357215 12:-2.7568884 13:2.1829462 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
