1 1:213.92897 2:-8.268849 3:5.124879 4:-2.3097095 5:-0.58234066 6:-2.5303032 7:0.7246273 8:-4.7254786 9:0.22646177 10:-0.9816971 11:2.759561 12:-0.7928588 13:3.2328587 14:213.92897 15:-8.268849 16:5.124879 17:-2.3097095 18:-0.58234066 19:-2.5303032 20:0.7246273 21:-4.7254786 22:0.22646177 23:-0.9816971 24:2.759561 25:-0.7928588 26:3.2328587 
1 1:271.8833 2:-16.964169 3:10.111652 4:-3.093953 5:0.31854564 6:0.21188954 7:0.009592812 8:0.29370058 9:1.449569 10:-0.5467721 11:1.5758476 12:-1.8054808 13:0.06740927 14:271.8833 15:-16.964169 16:10.111652 17:-3.093953 18:0.31854564 19:0.21188954 20:0.009592812 21:0.29370058 22:1.449569 23:-0.5467721 24:1.5758476 25:-1.8054808 26:0.06740927 
1 1:264.85403 2:-9.109991 3:7.170183 4:0.4187627 5:1.9358884 6:-2.6094904 7:2.7534833 8:0.40882143 9:1.4961355 10:-1.8338376 11:1.7030327 12:-3.0714116 13:1.2500628 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:261.71588 2:-10.342604 3:6.0493555 4:0.8812508 5:2.0884194 6:-2.8465772 7:2.1126797 8:-1.3645297 9:2.1038923 10:-2.2110329 11:2.5302188 12:-1.8768224 13:1.2019142 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:298.0479 2:-0.2315361 3:5.639254 4:-4.5537205 5:4.0081697 6:0.6625901 7:4.937204 8:-4.7626114 9:2.8089857 10:-1.6164526 11:0.14220108 12:-3.9853463 13:1.4737673 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:279.4048 2:-5.2173877 3:5.0648866 4:-0.7651953 5:5.652914 6:-0.92071766 7:5.2240973 8:-1.1037197 9:1.7493728 10:-3.143325 11:0.6859533 12:-2.7297535 13:1.1441927 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:269.0837 2:-10.94265 3:3.3687553 4:2.0594866 5:3.5544808 6:-4.010403 7:4.291024 8:-1.3442528 9:1.0593984 10:-2.3042483 11:1.050662 12:-2.4713862 13:2.266599 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:267.86966 2:-8.127543 3:4.568047 4:1.082158 5:2.7405598 6:-4.2646923 7:2.8228006 8:-1.5782737 9:2.6031694 10:-1.2121476 11:1.87328 12:-2.405867 13:2.484941 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:266.89374 2:-8.781179 3:4.9200583 4:1.3776242 5:4.2485347 6:-3.3143876 7:3.36919 8:-0.57125396 9:2.5957258 10:-0.9221141 11:0.87019527 12:-3.1471663 13:2.2346096 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:267.00223 2:-6.709183 3:6.144307 4:2.1793303 5:4.464214 6:-3.8914583 7:3.0627863 8:-0.7334442 9:1.0779654 10:-1.7375684 11:1.7897731 12:-3.2693872 13:1.6864003 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
1 1:264.6383 2:-8.561287 3:4.110294 4:0.3194426 5:1.0841715 6:-3.7360494 7:3.3748982 8:0.6228338 9:2.068317 10:-2.5691745 11:1.530573 12:-1.9331264 13:2.1689477 14:98.16156 15:6.167378 16:4.2699733 17:0.5700362 18:2.58347 19:-0.5763559 20:1.6016945 21:-3.7830803 22:0.27363256 23:-1.5441211 24:1.6513609 25:-0.8414349 26:1.6784395 
